Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume BTC
2020-05-15,EOSBTC,0.0002679,0.000275,0.0002671,0.0002741,1214138.04,328.78
2020-05-14,EOSBTC,0.0002712,0.0002742,0.0002593,0.0002679,2480537.33,662.45
2020-05-13,EOSBTC,0.0002769,0.0002774,0.0002695,0.0002712,1769407.62,483.85
2020-05-12,EOSBTC,0.0002801,0.0002812,0.0002734,0.0002769,2080521.13,577.95
2020-05-11,EOSBTC,0.00028,0.0002832,0.0002712,0.0002801,2301918.14,637.74
2020-05-10,EOSBTC,0.0002885,0.0002892,0.0002736,0.00028,5638932.17,1585.77
2020-05-09,EOSBTC,0.0002808,0.0002911,0.0002801,0.0002885,2026265.89,580.32
2020-05-08,EOSBTC,0.0002763,0.0002821,0.0002735,0.0002808,2482573.37,690.47
2020-05-07,EOSBTC,0.0002902,0.0002942,0.0002741,0.0002763,2954315.65,842.31
2020-05-06,EOSBTC,0.0003071,0.0003104,0.0002882,0.0002902,2111045.3,637.25
2020-05-05,EOSBTC,0.0003121,0.0003143,0.0003067,0.0003071,1285679.11,398.54
2020-05-04,EOSBTC,0.0003191,0.0003192,0.0003072,0.0003121,2522027.85,787.64
2020-05-03,EOSBTC,0.0003278,0.0003329,0.0003161,0.0003191,1621202.03,523.12
2020-05-02,EOSBTC,0.0003257,0.0003296,0.0003222,0.0003278,1068935.29,348.0
2020-05-01,EOSBTC,0.0003274,0.0003303,0.0003227,0.0003257,1761090.19,575.89
2020-04-30,EOSBTC,0.0003423,0.0003475,0.0003201,0.0003274,3051864.89,1006.24
2020-04-29,EOSBTC,0.0003568,0.0003606,0.0003384,0.0003423,4112688.62,1440.61
2020-04-28,EOSBTC,0.0003529,0.0003577,0.0003507,0.0003568,1837049.29,648.58
2020-04-27,EOSBTC,0.0003556,0.0003637,0.0003491,0.0003529,2265111.72,805.42
2020-04-26,EOSBTC,0.0003584,0.0003614,0.0003545,0.0003556,1289359.68,461.45
2020-04-25,EOSBTC,0.0003609,0.0003649,0.0003523,0.0003584,1609269.62,579.01
2020-04-24,EOSBTC,0.0003581,0.0003619,0.0003551,0.0003609,1664147.19,598.66
2020-04-23,EOSBTC,0.0003681,0.0003689,0.000355,0.0003581,1343214.21,487.15
2020-04-22,EOSBTC,0.0003685,0.000371,0.0003656,0.0003681,957036.48,352.16
2020-04-21,EOSBTC,0.0003672,0.0003739,0.0003655,0.0003685,1301948.68,479.9
