Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USDT
2020-05-15,NEOUSDT,10.19,10.25,9.897,10.04,93479.73,942445.87
2020-05-14,NEOUSDT,10.29,10.56,9.91,10.19,623168.74,6400187.06
2020-05-13,NEOUSDT,10,10.48,9.812,10.29,543025.44,5510481.8
2020-05-12,NEOUSDT,9.629,10.2,9.567,10,566132.0,5627356.74
2020-05-11,NEOUSDT,9.725,10.22,9.256,9.629,955644.81,9312169.54
2020-05-10,NEOUSDT,10.99,11.06,9.362,9.725,1800078.22,17947498.35
2020-05-09,NEOUSDT,11.3,11.65,10.72,10.99,1513657.85,16987458.51
2020-05-08,NEOUSDT,9.891,11.83,9.785,11.3,1453862.32,15687732.17
2020-05-07,NEOUSDT,9.148,9.94,9.001,9.891,920851.3,8827777.1
2020-05-06,NEOUSDT,9.101,9.488,8.99,9.148,637971.45,5919908.69
2020-05-05,NEOUSDT,9.005,9.185,8.845,9.101,307640.72,2775985.53
2020-05-04,NEOUSDT,9.069,9.134,8.61,9.005,446498.18,3971954.73
2020-05-03,NEOUSDT,9.225,9.319,8.697,9.069,457269.97,4126377.02
2020-05-02,NEOUSDT,9.011,9.265,8.928,9.225,300686.57,2735223.94
2020-05-01,NEOUSDT,8.897,9.398,8.883,9.011,486684.58,4450618.72
2020-04-30,NEOUSDT,9.207,9.641,8.617,8.897,919550.86,8408477.94
2020-04-29,NEOUSDT,8.457,9.38,8.457,9.207,928595.9,8317676.4
2020-04-28,NEOUSDT,8.426,8.6,8.252,8.457,320153.25,2700666.92
2020-04-27,NEOUSDT,8.631,8.676,8.145,8.426,380481.38,3195657.72
2020-04-26,NEOUSDT,8.428,8.687,8.295,8.631,509487.02,4333819.03
2020-04-25,NEOUSDT,8.07,8.615,7.914,8.428,724063.74,6060974.73
2020-04-24,NEOUSDT,7.854,8.298,7.827,8.07,692939.48,5630226.13
2020-04-23,NEOUSDT,7.534,8.02,7.404,7.854,674723.31,5230979.55
2020-04-22,NEOUSDT,7.227,7.631,7.201,7.534,420138.46,3119347.91
2020-04-21,NEOUSDT,7.205,7.35,7.136,7.227,258030.01,1871651.18
2020-04-20,NEOUSDT,7.614,7.817,7.118,7.205,586309.22,4376639.52
2020-04-19,NEOUSDT,7.877,7.91,7.45,7.614,449485.13,3447267.56
2020-04-18,NEOUSDT,7.468,7.939,7.456,7.877,383653.22,2968450.79
2020-04-17,NEOUSDT,7.616,7.664,7.428,7.468,276405.07,2082005.9
2020-04-16,NEOUSDT,6.993,7.706,6.813,7.616,766669.28,5659571.86
2020-04-15,NEOUSDT,7.257,7.376,6.965,6.993,319211.36,2284280.91
2020-04-14,NEOUSDT,7.281,7.431,7.142,7.257,327038.2,2385341.49
2020-04-13,NEOUSDT,7.356,7.361,7.007,7.281,365451.7,2625017.09
2020-04-12,NEOUSDT,7.306,7.732,7.177,7.356,367512.3,2752190.03
2020-04-11,NEOUSDT,7.299,7.536,7.139,7.306,282561.59,2071785.08
2020-04-10,NEOUSDT,8.019,8.025,7.1,7.299,640460.97,4778468.08
2020-04-09,NEOUSDT,7.995,8.151,7.792,8.019,448120.62,3588342.71
2020-04-08,NEOUSDT,7.721,8.03,7.651,7.995,475242.69,3750956.23
2020-04-07,NEOUSDT,7.823,8.16,7.458,7.721,898272.85,7065244.47
2020-04-06,NEOUSDT,7.017,7.846,7.007,7.823,721498.4,5419056.04
2020-04-05,NEOUSDT,7.188,7.243,6.89,7.017,271886.83,1914499.62
2020-04-04,NEOUSDT,7.02,7.29,6.866,7.188,384281.45,2710686.18
2020-04-03,NEOUSDT,6.976,7.236,6.86,7.02,415225.98,2922766.0
2020-04-02,NEOUSDT,6.812,7.35,6.768,6.976,883506.78,6167534.48
2020-04-01,NEOUSDT,6.772,6.84,6.401,6.812,584161.48,3867874.77
2020-03-31,NEOUSDT,6.568,6.95,6.514,6.772,496543.32,3346208.04
2020-03-30,NEOUSDT,6.179,6.754,6.171,6.568,405132.86,2640783.29
2020-03-29,NEOUSDT,6.628,6.679,6.13,6.179,410248.69,2608308.43
2020-03-28,NEOUSDT,6.503,6.707,6.225,6.628,592612.67,3804911.63
2020-03-27,NEOUSDT,7.03,7.163,6.421,6.503,366841.82,2528402.53
2020-03-26,NEOUSDT,6.93,7.05,6.72,7.03,347307.66,2378817.27
2020-03-25,NEOUSDT,6.897,7.094,6.609,6.93,654530.31,4490507.38
2020-03-24,NEOUSDT,6.683,6.978,6.525,6.897,884719.44,5990610.48
2020-03-23,NEOUSDT,5.947,6.693,5.832,6.683,945219.25,5962394.57
2020-03-22,NEOUSDT,6.236,6.468,5.862,5.947,802111.59,4914060.24
2020-03-21,NEOUSDT,6.273,6.441,5.862,6.236,932710.15,5730235.51
2020-03-20,NEOUSDT,6.472,7.2,5.701,6.273,1871897.66,12241011.12
2020-03-19,NEOUSDT,5.726,6.82,5.671,6.472,1340815.0,8347937.45
2020-03-18,NEOUSDT,5.626,5.742,5.34,5.726,640712.05,3552666.31
2020-03-17,NEOUSDT,5.394,5.895,5.319,5.626,647732.85,3660130.97
2020-03-16,NEOUSDT,5.979,5.979,4.904,5.394,1244540.97,6580220.9
2020-03-15,NEOUSDT,5.752,6.4,5.674,5.979,698520.27,4202239.05
2020-03-14,NEOUSDT,6.216,6.269,5.651,5.752,592554.22,3577002.88
2020-03-13,NEOUSDT,5.706,6.773,3.89,6.216,2717799.36,15561838.96
2020-03-12,NEOUSDT,9.43,9.585,5.43,5.706,2939317.59,20326056.8
2020-03-11,NEOUSDT,9.87,9.998,8.77,9.43,902242.98,8528489.39
2020-03-10,NEOUSDT,9.902,10.19,9.582,9.87,730960.31,7227544.54
2020-03-09,NEOUSDT,10.05,10.35,9.389,9.902,1065184.46,10490892.7
2020-03-08,NEOUSDT,11.59,11.59,9.884,10.05,824820.02,8851368.29
2020-03-07,NEOUSDT,12.38,12.45,11.55,11.59,475034.74,5718393.42
2020-03-06,NEOUSDT,12.07,12.39,11.93,12.38,374988.04,4556014.43
2020-03-05,NEOUSDT,11.76,12.39,11.75,12.07,509714.21,6191591.59
2020-03-04,NEOUSDT,11.56,12.06,11.49,11.76,342012.36,4027676.36
2020-03-03,NEOUSDT,12.09,12.09,11.35,11.56,542810.31,6333250.01
2020-03-02,NEOUSDT,11.31,12.21,11.18,12.09,603056.25,7079577.46
2020-03-01,NEOUSDT,11.1,11.87,11.05,11.31,742050.0,8502879.48
2020-02-29,NEOUSDT,11.31,11.53,10.91,11.1,475451.9,5335573.82
2020-02-28,NEOUSDT,11.51,11.66,10.63,11.31,745852.43,8276487.74
2020-02-27,NEOUSDT,11.01,11.71,10.4,11.51,825462.6,9199794.88
2020-02-26,NEOUSDT,12.39,12.53,10.76,11.01,1462189.57,16675208.03
2020-02-25,NEOUSDT,13.36,13.5,12.31,12.39,672302.18,8696351.27
2020-02-24,NEOUSDT,14.29,14.44,12.99,13.36,710397.34,9662325.41
2020-02-23,NEOUSDT,13.72,14.47,13.71,14.29,457918.3,6495117.35
2020-02-22,NEOUSDT,14.02,14.08,13.5,13.72,383770.96,5272575.63
2020-02-21,NEOUSDT,14.03,14.33,13.71,14.02,529883.1,7455585.02
2020-02-20,NEOUSDT,14.04,14.4,13.4,14.03,768011.42,10715846.26
2020-02-19,NEOUSDT,15.5,15.54,13.7,14.04,750691.75,11174764.13
2020-02-18,NEOUSDT,15.03,15.66,14.26,15.5,1119797.5,16943649.63
2020-02-17,NEOUSDT,14.63,15.17,13.38,15.03,1391161.49,19919297.42
2020-02-16,NEOUSDT,15.13,15.87,13.41,14.63,1483397.33,21969283.2
2020-02-15,NEOUSDT,16.68,16.74,14.55,15.13,1146873.53,17972027.95
2020-02-14,NEOUSDT,15.14,16.75,14.83,16.68,838146.4,13338506.18
2020-02-13,NEOUSDT,14.82,15.85,14.48,15.14,1095200.67,16715646.33
2020-02-12,NEOUSDT,13.79,15.32,13.79,14.82,1066192.9,15661437.58
2020-02-11,NEOUSDT,13.55,13.99,12.95,13.79,842909.81,11377325.67
2020-02-10,NEOUSDT,14.2,14.29,13.2,13.55,834619.41,11349296.98
2020-02-09,NEOUSDT,12.69,14.21,12.67,14.2,960109.25,12950971.18
2020-02-08,NEOUSDT,12.79,13.05,12.11,12.69,507722.72,6468521.26
2020-02-07,NEOUSDT,12.91,13.29,12.69,12.79,633922.96,8220165.52
2020-02-06,NEOUSDT,12.76,13.21,12.41,12.91,620428.98,8011578.19
2020-02-05,NEOUSDT,12.18,12.91,12.08,12.76,711142.56,8967853.19
2020-02-04,NEOUSDT,11.88,12.32,11.52,12.18,451003.62,5390974.49
2020-02-03,NEOUSDT,12.02,12.35,11.7,11.88,426189.53,5117049.41
2020-02-02,NEOUSDT,11.42,12.58,11.22,12.02,779914.75,9464457.11
2020-02-01,NEOUSDT,11.45,11.64,11.16,11.42,213230.08,2429889.52
2020-01-31,NEOUSDT,11.74,11.74,11.09,11.45,307252.67,3522298.82
2020-01-30,NEOUSDT,11.2,11.81,10.87,11.74,388955.93,4442675.7
2020-01-29,NEOUSDT,11.36,11.7,11.11,11.2,360230.18,4110670.91
2020-01-28,NEOUSDT,11.08,11.42,11.03,11.36,267417.22,2994817.62
2020-01-27,NEOUSDT,10.8,11.3,10.69,11.08,291294.54,3205079.21
2020-01-26,NEOUSDT,10.35,10.81,10.26,10.8,142192.78,1508866.25
2020-01-25,NEOUSDT,10.51,10.51,10.19,10.35,87626.71,905070.31
2020-01-24,NEOUSDT,10.62,10.69,10.14,10.51,218286.71,2282032.33
2020-01-23,NEOUSDT,11.25,11.28,10.39,10.62,265031.4,2826135.96
2020-01-22,NEOUSDT,11.23,11.39,11.14,11.25,144079.46,1622493.37
2020-01-21,NEOUSDT,11.11,11.31,10.83,11.23,159096.26,1769551.52
2020-01-20,NEOUSDT,11.25,11.32,10.81,11.11,197245.4,2193568.47
2020-01-19,NEOUSDT,11.88,12.22,10.77,11.25,461205.76,5238699.23
2020-01-18,NEOUSDT,11.85,12.34,11.29,11.88,499821.05,5943098.67
2020-01-17,NEOUSDT,11.27,11.96,11.13,11.85,470675.44,5434715.34
2020-01-16,NEOUSDT,11.41,11.6,10.73,11.27,458573.26,5071237.03
2020-01-15,NEOUSDT,11.2,12,10.71,11.41,680465.53,7780076.08
2020-01-14,NEOUSDT,10,11.69,10,11.2,863343.98,9263296.73
2020-01-13,NEOUSDT,10.27,10.3,9.805,10,188901.29,1876658.48
2020-01-12,NEOUSDT,9.696,10.44,9.616,10.27,352258.75,3589772.02
2020-01-11,NEOUSDT,9.862,10.05,9.576,9.696,215224.62,2112385.12
2020-01-10,NEOUSDT,9.387,9.899,9.042,9.862,228845.77,2162862.0
2020-01-09,NEOUSDT,9.448,9.521,9.31,9.387,125971.15,1183323.53
2020-01-08,NEOUSDT,9.801,10.2,9.3,9.448,317473.92,3085110.62
2020-01-07,NEOUSDT,9.757,9.943,9.363,9.801,297681.27,2877405.14
2020-01-06,NEOUSDT,9.02,9.8,8.988,9.757,393765.58,3754450.84
2020-01-05,NEOUSDT,9.077,9.245,8.964,9.02,122173.2,1115548.82
2020-01-04,NEOUSDT,8.888,9.1,8.779,9.077,104295.77,932893.8
2020-01-03,NEOUSDT,8.462,9.018,8.321,8.888,184353.16,1620321.7
2020-01-02,NEOUSDT,8.85,8.85,8.446,8.462,139191.06,1199528.13
2020-01-01,NEOUSDT,8.678,9,8.632,8.85,103367.34,913206.38
2019-12-31,NEOUSDT,8.943,9.051,8.61,8.678,133896.74,1182040.81
2019-12-30,NEOUSDT,9.201,9.266,8.885,8.943,213916.76,1936594.75
2019-12-29,NEOUSDT,8.766,9.363,8.758,9.201,324369.09,2959328.71
2019-12-28,NEOUSDT,8.723,8.843,8.664,8.766,151986.14,1332436.09
2019-12-27,NEOUSDT,8.525,8.754,8.467,8.723,202914.7,1748635.51
2019-12-26,NEOUSDT,8.601,8.85,8.482,8.525,178855.11,1551626.26
2019-12-25,NEOUSDT,8.695,8.723,8.444,8.601,84172.46,721050.47
2019-12-24,NEOUSDT,8.558,8.862,8.453,8.695,116422.49,1006247.61
2019-12-23,NEOUSDT,8.88,9.012,8.502,8.558,184839.25,1632903.3
2019-12-22,NEOUSDT,8.503,8.924,8.48,8.88,151762.28,1323385.3
2019-12-21,NEOUSDT,8.601,8.612,8.452,8.503,61513.52,523812.35
2019-12-20,NEOUSDT,8.585,8.7,8.457,8.601,75911.85,650436.98
2019-12-19,NEOUSDT,8.78,8.85,8.479,8.585,125479.91,1081325.03
2019-12-18,NEOUSDT,7.882,8.899,7.749,8.78,285959.35,2376842.0
2019-12-17,NEOUSDT,8.362,8.402,7.759,7.882,171277.26,1386460.73
2019-12-16,NEOUSDT,8.914,8.977,8.186,8.362,236053.25,2021422.93
2019-12-15,NEOUSDT,8.804,9.008,8.664,8.914,131137.49,1156058.06
2019-12-14,NEOUSDT,8.894,9.171,8.66,8.804,233265.58,2078942.17
2019-12-13,NEOUSDT,8.644,9.128,8.565,8.894,246980.97,2199099.27
2019-12-12,NEOUSDT,8.537,8.662,8.299,8.644,95334.44,807187.17
2019-12-11,NEOUSDT,8.535,8.641,8.415,8.537,97648.45,832162.67
2019-12-10,NEOUSDT,8.721,8.76,8.425,8.535,176657.08,1522108.75
2019-12-09,NEOUSDT,9.031,9.087,8.63,8.721,201793.39,1798235.38
2019-12-08,NEOUSDT,8.911,9.123,8.75,9.031,176546.11,1580350.36
2019-12-07,NEOUSDT,8.746,9.191,8.73,8.911,291070.3,2630190.31
2019-12-06,NEOUSDT,8.731,8.84,8.599,8.746,134009.17,1166547.62
2019-12-05,NEOUSDT,8.6,8.81,8.444,8.731,203204.09,1753391.12
2019-12-04,NEOUSDT,8.937,9.256,8.552,8.6,316914.63,2793145.7
2019-12-03,NEOUSDT,8.937,9.116,8.84,8.937,179328.7,1612166.74
2019-12-02,NEOUSDT,9.246,9.29,8.807,8.937,243191.53,2187987.59
2019-12-01,NEOUSDT,9.316,9.525,8.901,9.246,262471.75,2415150.46
2019-11-30,NEOUSDT,9.705,9.801,9.17,9.316,307547.31,2905378.32
2019-11-29,NEOUSDT,9.264,9.946,9.236,9.705,306222.87,2951987.94
2019-11-28,NEOUSDT,9.452,9.59,9.17,9.264,254626.88,2404941.42
2019-11-27,NEOUSDT,9.27,9.731,8.701,9.452,501728.52,4647245.97
2019-11-26,NEOUSDT,9.06,9.399,8.902,9.27,336318.35,3070303.89
2019-11-25,NEOUSDT,8.971,9.55,8.307,9.06,733243.16,6559680.28
2019-11-24,NEOUSDT,10,10.02,8.888,8.971,535602.76,5046121.13
2019-11-23,NEOUSDT,9.671,10.18,9.425,10,543861.15,5324353.6
2019-11-22,NEOUSDT,11.05,11.2,9.26,9.671,911873.61,9149747.29
2019-11-21,NEOUSDT,11.5,11.57,10.58,11.05,602301.19,6696425.36
2019-11-20,NEOUSDT,11.72,12,11.35,11.5,532513.7,6227643.79
2019-11-19,NEOUSDT,11.32,11.78,11,11.72,527004.96,5971740.54
2019-11-18,NEOUSDT,12.06,12.07,11,11.32,447096.97,5167469.1
2019-11-17,NEOUSDT,12.39,12.41,11.97,12.06,291911.87,3554841.7
2019-11-16,NEOUSDT,12.01,12.54,11.87,12.39,421845.42,5194571.22
2019-11-15,NEOUSDT,12.67,12.87,11.7,12.01,620326.44,7582157.49
2019-11-14,NEOUSDT,13.16,13.38,12.43,12.67,726710.4,9282191.62
2019-11-13,NEOUSDT,12.12,13.43,11.95,13.16,1024306.34,13230299.07
2019-11-12,NEOUSDT,11.15,12.6,11.1,12.12,1286767.82,15500613.19
2019-11-11,NEOUSDT,11.02,11.43,10.56,11.15,458596.26,5059292.78
2019-11-10,NEOUSDT,10.68,11.38,10.58,11.02,343236.55,3765285.48
2019-11-09,NEOUSDT,10.64,10.81,10.52,10.68,145207.22,1546734.83
2019-11-08,NEOUSDT,11.12,11.19,10.38,10.64,317277.21,3408893.04
2019-11-07,NEOUSDT,11.09,11.17,10.73,11.12,310591.55,3388738.85
2019-11-06,NEOUSDT,11.14,11.32,10.95,11.09,310049.9,3449764.25
2019-11-05,NEOUSDT,11.41,11.42,11,11.14,505202.73,5647708.34
2019-11-04,NEOUSDT,11.05,11.72,10.92,11.41,658757.76,7451664.67
2019-11-03,NEOUSDT,10.95,11.12,10.68,11.05,392186.8,4282465.21
2019-11-02,NEOUSDT,10.61,11.3,10.54,10.95,711828.21,7841408.34
2019-11-01,NEOUSDT,10.54,10.7,10.23,10.61,558240.04,5855624.51
2019-10-31,NEOUSDT,11.26,11.35,10.16,10.54,1204940.8,12819213.41
2019-10-30,NEOUSDT,10.78,11.54,10.12,11.26,1482538.44,15921462.56
2019-10-29,NEOUSDT,10.68,11.31,10.31,10.78,1155715.33,12493926.31
2019-10-28,NEOUSDT,11.5,13.43,10.42,10.68,3177423.36,36659855.52
2019-10-27,NEOUSDT,9.12,12.6,9.11,11.5,3801723.99,41902013.02
2019-10-26,NEOUSDT,7.786,9.138,7.764,9.12,1109046.77,9598303.75
2019-10-25,NEOUSDT,6.966,7.825,6.836,7.786,399492.8,2954961.55
2019-10-24,NEOUSDT,6.907,7.091,6.76,6.966,139227.89,964915.98
2019-10-23,NEOUSDT,7.264,7.271,6.635,6.907,217946.77,1512228.46
2019-10-22,NEOUSDT,7.398,7.5,7.232,7.264,128152.22,948494.35
2019-10-21,NEOUSDT,7.303,7.465,7.15,7.398,182987.94,1336394.62
2019-10-20,NEOUSDT,7.105,7.366,7.028,7.303,93028.98,669721.53
2019-10-19,NEOUSDT,7.111,7.19,7,7.105,108793.43,773561.02
2019-10-18,NEOUSDT,7.252,7.319,6.954,7.111,150580.07,1072082.38
2019-10-17,NEOUSDT,6.995,7.262,6.873,7.252,187525.14,1325728.1
2019-10-16,NEOUSDT,7.367,7.449,6.765,6.995,281234.66,1978018.36
2019-10-15,NEOUSDT,7.529,7.563,7.27,7.367,223474.28,1664831.06
2019-10-14,NEOUSDT,7.296,7.53,7.272,7.529,121344.29,893836.26
2019-10-13,NEOUSDT,7.24,7.522,7.186,7.296,118205.43,869953.61
2019-10-12,NEOUSDT,7.219,7.372,7.202,7.24,62635.61,456994.28
2019-10-11,NEOUSDT,7.468,7.63,7.195,7.219,196357.09,1439797.38
2019-10-10,NEOUSDT,7.75,7.781,7.33,7.468,180386.31,1357396.75
2019-10-09,NEOUSDT,7.498,7.818,7.398,7.75,346832.33,2651099.25
2019-10-08,NEOUSDT,7.445,7.609,7.329,7.498,196953.79,1467083.9
2019-10-07,NEOUSDT,7.14,7.565,7.066,7.445,224503.18,1651085.44
2019-10-06,NEOUSDT,7.334,7.399,6.973,7.14,203143.12,1459305.04
2019-10-05,NEOUSDT,7.346,7.415,7.17,7.334,148025.48,1079904.31
2019-10-04,NEOUSDT,7.342,7.5,7.155,7.346,119547.81,877216.91
2019-10-03,NEOUSDT,7.617,7.655,7.145,7.342,145846.88,1069635.51
2019-10-02,NEOUSDT,7.472,7.655,7.316,7.617,187018.51,1392057.85
2019-10-01,NEOUSDT,7.599,8.08,7.41,7.472,454306.25,3512248.06
2019-09-30,NEOUSDT,7.126,7.606,6.861,7.599,273790.2,2002237.58
2019-09-29,NEOUSDT,7.305,7.327,6.936,7.126,129453.81,921880.82
2019-09-28,NEOUSDT,7.338,7.501,7.113,7.305,177768.8,1299556.57
2019-09-27,NEOUSDT,7.147,7.493,6.938,7.338,221963.08,1588900.51
2019-09-26,NEOUSDT,7.454,7.516,6.692,7.147,353392.65,2522350.09
2019-09-25,NEOUSDT,7.231,7.618,6.966,7.454,369392.69,2676970.23
2019-09-24,NEOUSDT,8.617,8.768,6.762,7.231,631744.58,4920481.55
2019-09-23,NEOUSDT,9.068,9.167,8.552,8.617,202436.89,1798755.73
2019-09-22,NEOUSDT,9.419,9.419,9.013,9.068,144118.61,1320022.4
2019-09-21,NEOUSDT,9.549,9.63,9.367,9.419,95558.44,909787.7
2019-09-20,NEOUSDT,9.715,9.755,9.333,9.549,164411.87,1562087.1
2019-09-19,NEOUSDT,10.11,10.11,9.33,9.715,371107.34,3561816.74
2019-09-18,NEOUSDT,9.505,10.33,9.505,10.11,368909.7,3655411.18
2019-09-17,NEOUSDT,9.082,9.85,9.031,9.505,327608.89,3075639.46
2019-09-16,NEOUSDT,9.062,9.213,8.877,9.082,143412.16,1296081.1
2019-09-15,NEOUSDT,9.104,9.153,9.02,9.062,76679.91,695991.19
2019-09-14,NEOUSDT,8.941,9.189,8.885,9.104,90308.68,816806.8
2019-09-13,NEOUSDT,9.015,9.038,8.773,8.941,67371.94,601074.91
2019-09-12,NEOUSDT,8.798,9.055,8.732,9.015,121514.93,1083206.6
2019-09-11,NEOUSDT,8.834,9.033,8.662,8.798,125781.44,1107960.67
2019-09-10,NEOUSDT,9.089,9.2,8.688,8.834,159291.34,1423765.47
2019-09-09,NEOUSDT,9.262,9.299,8.829,9.089,147817.58,1337793.48
