Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2020-05-15,DASHBTC,0.00762,0.00793,0.0076,0.00771,3637.79,28.16
2020-05-14,DASHBTC,0.00794,0.00794,0.00758,0.00762,13085.59,101.63
2020-05-13,DASHBTC,0.00832,0.00832,0.00789,0.00794,11772.01,95.53
2020-05-12,DASHBTC,0.00814,0.00853,0.00803,0.00832,15669.73,129.04
2020-05-11,DASHBTC,0.00826,0.00837,0.00792,0.00814,17827.94,144.35
2020-05-10,DASHBTC,0.00834,0.00853,0.00818,0.00826,8934.53,74.37
2020-05-09,DASHBTC,0.00835,0.00843,0.0082,0.00834,16097.94,134.14
2020-05-08,DASHBTC,0.00789,0.00835,0.00785,0.00835,14061.4,113.0
2020-05-07,DASHBTC,0.00843,0.0085,0.00785,0.00789,16834.2,138.41
2020-05-06,DASHBTC,0.00879,0.0089,0.00839,0.00843,13991.21,121.54
2020-05-05,DASHBTC,0.00897,0.00902,0.00878,0.00879,13383.3,119.23
2020-05-04,DASHBTC,0.00911,0.00916,0.00879,0.00897,10868.93,97.4
2020-05-03,DASHBTC,0.00928,0.00932,0.00906,0.00911,3867.49,35.35
2020-05-02,DASHBTC,0.0094,0.00946,0.00922,0.00928,7670.31,71.76
2020-05-01,DASHBTC,0.00936,0.00954,0.00923,0.0094,16194.25,152.17
2020-04-30,DASHBTC,0.00973,0.00997,0.00922,0.00936,20772.87,196.63
2020-04-29,DASHBTC,0.01063,0.01068,0.00957,0.00973,17433.06,177.11
2020-04-28,DASHBTC,0.01064,0.01075,0.01039,0.01063,16786.52,177.58
2020-04-27,DASHBTC,0.01093,0.01098,0.01048,0.01064,16345.98,174.83
2020-04-26,DASHBTC,0.01137,0.01155,0.01088,0.01093,16142.5,181.36
2020-04-25,DASHBTC,0.01085,0.01145,0.01078,0.01137,18995.57,211.65
2020-04-24,DASHBTC,0.01086,0.01099,0.01082,0.01085,21820.82,237.81
2020-04-23,DASHBTC,0.01135,0.01145,0.01076,0.01086,27213.9,303.7
2020-04-22,DASHBTC,0.01088,0.01152,0.01086,0.01135,23994.68,269.94
