Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2020-05-15,DASHETH,0.367,0.373,0.366,0.366,131.14,48.43
2020-05-14,DASHETH,0.37,0.374,0.365,0.367,546.99,202.36
2020-05-13,DASHETH,0.386,0.387,0.369,0.37,789.36,297.73
2020-05-12,DASHETH,0.375,0.393,0.372,0.386,992.62,380.46
2020-05-11,DASHETH,0.384,0.385,0.371,0.375,2049.87,769.78
2020-05-10,DASHETH,0.378,0.389,0.366,0.384,2563.57,971.59
2020-05-09,DASHETH,0.387,0.387,0.376,0.378,589.01,225.0
2020-05-08,DASHETH,0.371,0.388,0.368,0.387,733.45,276.34
2020-05-07,DASHETH,0.387,0.388,0.37,0.371,1018.72,385.07
2020-05-06,DASHETH,0.387,0.389,0.382,0.387,705.2,271.79
2020-05-05,DASHETH,0.385,0.39,0.381,0.387,283.63,109.54
2020-05-04,DASHETH,0.386,0.393,0.381,0.385,756.91,293.22
2020-05-03,DASHETH,0.389,0.39,0.381,0.386,121.22,46.73
2020-05-02,DASHETH,0.391,0.393,0.386,0.389,156.49,60.94
2020-05-01,DASHETH,0.392,0.394,0.386,0.391,561.67,219.41
2020-04-30,DASHETH,0.397,0.405,0.386,0.392,952.98,374.51
2020-04-29,DASHETH,0.419,0.42,0.391,0.397,913.66,370.57
2020-04-28,DASHETH,0.421,0.425,0.413,0.419,1097.79,458.55
2020-04-27,DASHETH,0.426,0.427,0.418,0.421,411.71,173.94
2020-04-26,DASHETH,0.442,0.448,0.425,0.426,815.75,353.83
2020-04-25,DASHETH,0.434,0.444,0.423,0.442,1042.03,453.69
2020-04-24,DASHETH,0.438,0.441,0.432,0.434,373.56,163.11
2020-04-23,DASHETH,0.442,0.447,0.433,0.438,1252.6,549.45
2020-04-22,DASHETH,0.436,0.456,0.435,0.442,985.63,439.14
2020-04-21,DASHETH,0.436,0.44,0.431,0.436,833.62,362.41
2020-04-20,DASHETH,0.446,0.453,0.435,0.436,1131.71,499.57
2020-04-19,DASHETH,0.428,0.459,0.426,0.446,1195.75,534.16
2020-04-18,DASHETH,0.448,0.456,0.423,0.428,1134.36,505.74
2020-04-17,DASHETH,0.441,0.45,0.44,0.448,1121.16,498.28
2020-04-16,DASHETH,0.463,0.464,0.438,0.441,630.12,280.81
2020-04-15,DASHETH,0.457,0.463,0.454,0.463,308.26,141.08
2020-04-14,DASHETH,0.468,0.47,0.453,0.457,492.27,226.9
2020-04-13,DASHETH,0.466,0.478,0.461,0.468,685.22,321.67
2020-04-12,DASHETH,0.474,0.478,0.466,0.466,763.1,360.22
2020-04-11,DASHETH,0.471,0.484,0.465,0.474,1589.51,758.18
2020-04-10,DASHETH,0.488,0.492,0.457,0.471,3073.12,1467.14
2020-04-09,DASHETH,0.436,0.498,0.436,0.488,2169.77,1022.92
2020-04-08,DASHETH,0.438,0.447,0.428,0.436,1206.27,527.59
2020-04-07,DASHETH,0.427,0.44,0.424,0.438,1493.31,643.02
2020-04-06,DASHETH,0.469,0.474,0.426,0.427,1356.58,605.7
2020-04-05,DASHETH,0.475,0.475,0.465,0.469,543.78,255.68
2020-04-04,DASHETH,0.477,0.488,0.472,0.475,1696.38,817.06
2020-04-03,DASHETH,0.478,0.487,0.474,0.477,1821.4,876.37
2020-04-02,DASHETH,0.486,0.487,0.473,0.478,765.24,367.85
2020-04-01,DASHETH,0.489,0.492,0.482,0.486,495.18,241.25
2020-03-31,DASHETH,0.498,0.5,0.487,0.489,500.74,246.61
2020-03-30,DASHETH,0.486,0.508,0.482,0.498,867.74,430.43
2020-03-29,DASHETH,0.498,0.502,0.485,0.486,1093.41,541.14
2020-03-28,DASHETH,0.515,0.522,0.491,0.498,1154.46,579.27
2020-03-27,DASHETH,0.494,0.536,0.489,0.515,1988.28,1031.07
2020-03-26,DASHETH,0.498,0.507,0.491,0.494,467.17,233.24
2020-03-25,DASHETH,0.502,0.507,0.491,0.498,1039.54,516.94
2020-03-24,DASHETH,0.521,0.524,0.494,0.502,1790.57,906.69
2020-03-23,DASHETH,0.509,0.529,0.501,0.521,1571.12,811.21
2020-03-22,DASHETH,0.538,0.542,0.507,0.509,1500.62,792.63
2020-03-21,DASHETH,0.537,0.568,0.533,0.538,2798.85,1528.88
2020-03-20,DASHETH,0.48,0.558,0.458,0.537,5053.98,2621.66
2020-03-19,DASHETH,0.531,0.531,0.47,0.48,3372.25,1676.1
2020-03-18,DASHETH,0.394,0.535,0.39,0.531,3510.97,1623.3
2020-03-17,DASHETH,0.388,0.395,0.38,0.394,1507.16,583.16
2020-03-16,DASHETH,0.382,0.395,0.372,0.388,1916.42,733.78
2020-03-15,DASHETH,0.375,0.39,0.373,0.382,668.41,254.29
2020-03-14,DASHETH,0.384,0.384,0.366,0.375,730.32,272.92
2020-03-13,DASHETH,0.412,0.416,0.339,0.384,6568.4,2466.27
2020-03-12,DASHETH,0.371,0.417,0.357,0.412,8430.63,3187.64
2020-03-11,DASHETH,0.372,0.379,0.366,0.371,517.79,192.65
2020-03-10,DASHETH,0.363,0.376,0.36,0.372,537.01,196.73
2020-03-09,DASHETH,0.37,0.37,0.354,0.363,1459.46,525.01
2020-03-08,DASHETH,0.372,0.374,0.354,0.37,1818.63,667.75
2020-03-07,DASHETH,0.383,0.384,0.366,0.372,817.12,306.72
2020-03-06,DASHETH,0.394,0.394,0.382,0.383,659.52,256.71
2020-03-05,DASHETH,0.388,0.396,0.387,0.394,821.23,321.85
2020-03-04,DASHETH,0.396,0.398,0.386,0.388,419.89,164.83
2020-03-03,DASHETH,0.389,0.399,0.386,0.396,621.11,243.09
2020-03-02,DASHETH,0.388,0.398,0.387,0.389,1059.99,414.72
2020-03-01,DASHETH,0.393,0.401,0.388,0.388,1527.0,603.79
2020-02-29,DASHETH,0.389,0.396,0.386,0.393,640.75,249.04
2020-02-28,DASHETH,0.394,0.408,0.381,0.389,2331.43,917.57
2020-02-27,DASHETH,0.377,0.399,0.371,0.394,1864.22,720.57
2020-02-26,DASHETH,0.387,0.389,0.363,0.377,1883.76,702.49
2020-02-25,DASHETH,0.389,0.39,0.377,0.387,1160.58,445.12
2020-02-24,DASHETH,0.394,0.395,0.381,0.389,820.07,318.89
2020-02-23,DASHETH,0.397,0.401,0.393,0.394,463.09,184.21
2020-02-22,DASHETH,0.405,0.414,0.395,0.397,695.72,281.85
2020-02-21,DASHETH,0.408,0.412,0.398,0.405,1142.79,464.72
2020-02-20,DASHETH,0.406,0.409,0.398,0.408,835.43,337.4
2020-02-19,DASHETH,0.409,0.417,0.401,0.406,1701.0,693.29
2020-02-18,DASHETH,0.428,0.431,0.405,0.409,823.03,343.65
2020-02-17,DASHETH,0.427,0.447,0.417,0.428,2107.51,904.06
2020-02-16,DASHETH,0.456,0.461,0.415,0.427,2948.4,1288.22
2020-02-15,DASHETH,0.467,0.47,0.437,0.456,1557.51,705.89
2020-02-14,DASHETH,0.488,0.494,0.465,0.467,754.46,361.17
2020-02-13,DASHETH,0.503,0.508,0.481,0.488,1359.27,670.3
2020-02-12,DASHETH,0.546,0.547,0.488,0.503,1158.99,600.25
2020-02-11,DASHETH,0.572,0.575,0.544,0.546,1062.72,594.35
2020-02-10,DASHETH,0.562,0.58,0.555,0.572,823.48,467.18
2020-02-09,DASHETH,0.566,0.576,0.552,0.562,523.06,294.79
2020-02-08,DASHETH,0.531,0.59,0.525,0.566,1989.34,1119.9
2020-02-07,DASHETH,0.564,0.564,0.53,0.531,692.4,377.96
2020-02-06,DASHETH,0.603,0.606,0.559,0.564,522.64,303.83
2020-02-05,DASHETH,0.587,0.632,0.583,0.603,442.15,267.73
2020-02-04,DASHETH,0.607,0.611,0.583,0.587,991.7,586.21
2020-02-03,DASHETH,0.606,0.616,0.597,0.607,310.65,189.2
2020-02-02,DASHETH,0.635,0.636,0.601,0.606,203.46,125.19
2020-02-01,DASHETH,0.643,0.651,0.633,0.635,249.58,160.3
2020-01-31,DASHETH,0.66,0.675,0.637,0.643,381.74,247.08
2020-01-30,DASHETH,0.7,0.719,0.66,0.66,1335.14,934.88
2020-01-29,DASHETH,0.659,0.728,0.654,0.7,1299.85,889.42
2020-01-28,DASHETH,0.663,0.676,0.649,0.659,540.66,357.44
2020-01-27,DASHETH,0.662,0.704,0.66,0.663,1144.56,785.43
2020-01-26,DASHETH,0.633,0.689,0.627,0.662,758.78,500.57
2020-01-25,DASHETH,0.616,0.639,0.612,0.633,223.24,138.7
2020-01-24,DASHETH,0.631,0.647,0.599,0.616,392.09,244.19
2020-01-23,DASHETH,0.641,0.645,0.614,0.631,579.24,363.6
2020-01-22,DASHETH,0.657,0.657,0.638,0.641,267.75,171.89
2020-01-21,DASHETH,0.658,0.681,0.647,0.657,605.53,400.65
2020-01-20,DASHETH,0.628,0.693,0.607,0.658,1308.07,854.46
2020-01-19,DASHETH,0.58,0.65,0.555,0.628,2303.6,1376.12
2020-01-18,DASHETH,0.667,0.682,0.545,0.58,3521.62,2181.63
2020-01-17,DASHETH,0.775,0.776,0.647,0.667,1781.25,1282.81
2020-01-16,DASHETH,0.802,0.812,0.705,0.775,3248.86,2454.62
2020-01-15,DASHETH,0.537,0.861,0.537,0.802,11880.38,8633.32
2020-01-14,DASHETH,0.483,0.572,0.482,0.537,3738.54,1976.21
2020-01-13,DASHETH,0.452,0.493,0.445,0.483,3484.89,1644.14
2020-01-12,DASHETH,0.446,0.473,0.437,0.452,4253.31,1918.62
2020-01-11,DASHETH,0.393,0.46,0.389,0.446,4229.03,1787.89
2020-01-10,DASHETH,0.367,0.403,0.365,0.393,1801.23,702.57
2020-01-09,DASHETH,0.373,0.38,0.364,0.367,575.58,214.47
2020-01-08,DASHETH,0.383,0.393,0.37,0.373,512.73,195.08
2020-01-07,DASHETH,0.393,0.403,0.377,0.383,1588.28,619.93
2020-01-06,DASHETH,0.378,0.409,0.37,0.393,1823.27,718.02
2020-01-05,DASHETH,0.344,0.386,0.342,0.378,559.27,203.7
2020-01-04,DASHETH,0.327,0.356,0.323,0.344,4541.81,1565.05
2020-01-03,DASHETH,0.315,0.331,0.315,0.327,278.08,89.86
2020-01-02,DASHETH,0.32,0.32,0.314,0.315,110.16,34.92
2020-01-01,DASHETH,0.319,0.325,0.315,0.32,114.62,36.54
2019-12-31,DASHETH,0.321,0.325,0.318,0.319,228.36,73.38
2019-12-30,DASHETH,0.332,0.332,0.32,0.321,1104.91,363.22
2019-12-29,DASHETH,0.326,0.343,0.323,0.332,1498.06,498.75
2019-12-28,DASHETH,0.313,0.335,0.311,0.326,560.41,181.92
2019-12-27,DASHETH,0.318,0.319,0.31,0.313,458.5,144.14
2019-12-26,DASHETH,0.326,0.326,0.305,0.318,1789.09,562.77
2019-12-25,DASHETH,0.326,0.381,0.319,0.326,1620.95,537.2
2019-12-24,DASHETH,0.336,0.336,0.325,0.326,184.2,60.83
2019-12-23,DASHETH,0.335,0.338,0.329,0.336,161.18,53.64
2019-12-22,DASHETH,0.336,0.337,0.329,0.335,106.37,35.41
2019-12-21,DASHETH,0.337,0.34,0.334,0.336,61.73,20.82
2019-12-20,DASHETH,0.334,0.34,0.333,0.337,141.19,47.48
2019-12-19,DASHETH,0.335,0.342,0.333,0.334,2003.97,670.91
2019-12-18,DASHETH,0.338,0.348,0.334,0.335,426.81,145.48
2019-12-17,DASHETH,0.347,0.347,0.33,0.338,641.98,217.66
2019-12-16,DASHETH,0.356,0.358,0.344,0.347,1240.89,436.16
2019-12-15,DASHETH,0.349,0.359,0.345,0.356,188.27,66.04
2019-12-14,DASHETH,0.35,0.355,0.347,0.349,166.86,58.6
2019-12-13,DASHETH,0.344,0.352,0.342,0.35,292.76,101.85
2019-12-12,DASHETH,0.36,0.36,0.344,0.344,96.0,33.33
2019-12-11,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-12-10,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-12-09,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-12-08,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-12-07,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-12-06,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-12-05,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-12-04,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-12-03,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-12-02,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-12-01,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-11-30,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-11-29,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-11-28,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-11-27,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-11-26,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-11-25,DASHETH,0.361,0.361,0.361,0.361,0.0,0.0
2019-11-24,DASHETH,0.359,0.369,0.358,0.361,42.26,15.22
2019-11-23,DASHETH,0.368,0.374,0.357,0.359,95.67,35.1
