Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume ETH
2020-05-15,ETCETH,0.03087,0.03122,0.03082,0.0309,917767.96,28465.33
2020-05-14,ETCETH,0.03113,0.03154,0.03074,0.03087,3526304.41,109569.55
2020-05-13,ETCETH,0.03207,0.03229,0.03106,0.03113,3373555.46,107020.56
2020-05-12,ETCETH,0.03239,0.03261,0.03153,0.03207,3603051.55,115998.88
2020-05-11,ETCETH,0.033,0.03312,0.03164,0.03239,3174665.81,102899.67
2020-05-10,ETCETH,0.03359,0.0336,0.03035,0.033,1271063.42,41685.65
2020-05-09,ETCETH,0.03379,0.03405,0.03328,0.03359,3632596.8,122406.21
2020-05-08,ETCETH,0.03349,0.03413,0.03304,0.03379,3532721.93,118421.53
2020-05-07,ETCETH,0.0344,0.03458,0.03316,0.03349,3338034.76,113060.39
2020-05-06,ETCETH,0.03503,0.03504,0.0342,0.0344,3155600.87,109416.01
2020-05-05,ETCETH,0.03492,0.03595,0.03461,0.03503,3269991.95,115239.51
2020-05-04,ETCETH,0.03435,0.03564,0.03376,0.03492,2624259.64,91181.66
2020-05-03,ETCETH,0.03493,0.03544,0.03352,0.03435,1261913.21,43458.71
2020-05-02,ETCETH,0.03136,0.03571,0.03109,0.03493,2076609.37,66577.08
2020-05-01,ETCETH,0.03126,0.03153,0.03071,0.03136,3243494.67,101041.15
2020-04-30,ETCETH,0.03129,0.03159,0.03021,0.03126,3602025.94,111651.02
2020-04-29,ETCETH,0.03126,0.03221,0.03085,0.03129,3420804.19,107000.06
2020-04-28,ETCETH,0.03107,0.0313,0.03086,0.03126,3112607.24,96561.76
2020-04-27,ETCETH,0.03148,0.03163,0.03086,0.03107,3231218.57,100747.22
2020-04-26,ETCETH,0.02959,0.03193,0.02947,0.03148,3358968.6,102735.36
2020-04-25,ETCETH,0.02981,0.03001,0.02915,0.02959,3112679.65,91846.73
2020-04-24,ETCETH,0.03019,0.03033,0.0296,0.02981,3097755.54,92661.6
2020-04-23,ETCETH,0.02948,0.03047,0.02882,0.03019,3261177.21,96806.87
2020-04-22,ETCETH,0.03045,0.0306,0.02947,0.02948,2758939.58,82805.72
2020-04-21,ETCETH,0.03068,0.03074,0.03003,0.03045,3183196.69,96745.92
2020-04-20,ETCETH,0.03042,0.03121,0.03003,0.03068,3290339.36,100346.46
2020-04-19,ETCETH,0.03018,0.03077,0.02999,0.03042,3287614.76,99874.13
2020-04-18,ETCETH,0.03148,0.03178,0.02985,0.03018,3179130.21,98661.57
2020-04-17,ETCETH,0.03179,0.03201,0.0312,0.03148,3014295.65,95424.05
2020-04-16,ETCETH,0.0334,0.03347,0.03103,0.03179,1496279.15,47590.94
2020-04-15,ETCETH,0.03309,0.03361,0.03307,0.0334,2399991.13,79830.42
2020-04-14,ETCETH,0.03312,0.03335,0.03277,0.03309,3062890.28,101133.19
2020-04-13,ETCETH,0.0335,0.03365,0.03282,0.03312,2896973.96,96406.49
2020-04-12,ETCETH,0.03334,0.03367,0.03304,0.0335,2895174.84,96401.75
2020-04-11,ETCETH,0.03326,0.03373,0.03289,0.03334,2904563.58,96852.9
2020-04-10,ETCETH,0.03469,0.03537,0.03289,0.03326,3169875.32,106892.26
2020-04-09,ETCETH,0.03366,0.03495,0.03324,0.03469,3012079.41,102316.08
2020-04-08,ETCETH,0.03324,0.03443,0.03278,0.03366,3032422.37,101915.69
2020-04-07,ETCETH,0.03279,0.03352,0.03231,0.03324,3275164.72,107961.73
2020-04-06,ETCETH,0.03526,0.03593,0.03268,0.03279,3121574.69,106972.3
2020-04-05,ETCETH,0.03574,0.03594,0.03474,0.03526,2727234.55,96840.39
2020-04-04,ETCETH,0.03622,0.03643,0.0356,0.03574,2711978.02,97817.1
2020-04-03,ETCETH,0.03605,0.03661,0.03562,0.03622,3140039.81,113122.17
2020-04-02,ETCETH,0.03705,0.03705,0.0355,0.03605,2471723.72,90210.56
2020-04-01,ETCETH,0.03717,0.03825,0.03642,0.03705,2815593.07,104983.35
2020-03-31,ETCETH,0.03753,0.03769,0.0367,0.03717,2719608.36,101142.44
2020-03-30,ETCETH,0.03867,0.03885,0.03697,0.03753,2771765.61,104557.58
2020-03-29,ETCETH,0.03675,0.03956,0.03661,0.03867,2790720.68,106200.22
2020-03-28,ETCETH,0.03749,0.03784,0.03642,0.03675,2672022.3,99311.43
2020-03-27,ETCETH,0.03682,0.03835,0.03663,0.03749,2649060.91,98735.65
2020-03-26,ETCETH,0.03689,0.03736,0.03651,0.03682,2714190.51,100317.83
2020-03-25,ETCETH,0.03656,0.03799,0.03575,0.03689,3155531.9,116598.53
2020-03-24,ETCETH,0.03657,0.03812,0.03592,0.03656,2958840.91,108334.24
2020-03-23,ETCETH,0.03751,0.03943,0.03641,0.03657,2864098.89,108347.49
2020-03-22,ETCETH,0.03777,0.03867,0.03669,0.03751,2835757.65,106686.26
2020-03-21,ETCETH,0.0367,0.03849,0.0365,0.03777,3116752.13,116154.75
2020-03-20,ETCETH,0.03698,0.03879,0.03584,0.0367,3432592.7,126892.59
2020-03-19,ETCETH,0.03897,0.03912,0.03679,0.03698,3011730.8,114607.56
