Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2020-05-15,LTCBTC,0.004491,0.004591,0.00448,0.004532,37523.96,170.45
2020-05-14,LTCBTC,0.004645,0.004645,0.004464,0.004491,111847.08,506.96
2020-05-13,LTCBTC,0.004787,0.004792,0.004609,0.004645,64967.15,305.93
2020-05-12,LTCBTC,0.004847,0.00487,0.004725,0.004787,96092.03,461.45
2020-05-11,LTCBTC,0.00482,0.004867,0.004662,0.004847,151867.83,723.75
2020-05-10,LTCBTC,0.004924,0.004954,0.00475,0.00482,136627.57,662.49
2020-05-09,LTCBTC,0.004867,0.005039,0.004847,0.004924,109925.92,542.8
2020-05-08,LTCBTC,0.004744,0.004909,0.004713,0.004867,110813.84,530.89
2020-05-07,LTCBTC,0.004914,0.004964,0.004677,0.004744,144713.66,702.9
2020-05-06,LTCBTC,0.005159,0.005212,0.004897,0.004914,89606.46,455.34
2020-05-05,LTCBTC,0.005294,0.005329,0.005152,0.005159,78963.75,413.72
2020-05-04,LTCBTC,0.005404,0.005405,0.005252,0.005294,97327.31,516.88
2020-05-03,LTCBTC,0.005484,0.005543,0.005341,0.005404,57306.38,310.09
2020-05-02,LTCBTC,0.005332,0.005563,0.005302,0.005484,59198.64,319.36
2020-05-01,LTCBTC,0.005372,0.005454,0.005302,0.005332,86642.93,465.79
2020-04-30,LTCBTC,0.005558,0.005635,0.005233,0.005372,224376.49,1208.2
2020-04-29,LTCBTC,0.0059,0.005948,0.005465,0.005558,162832.63,928.22
2020-04-28,LTCBTC,0.005721,0.005938,0.005665,0.0059,94962.4,547.16
2020-04-27,LTCBTC,0.005788,0.005845,0.005656,0.005721,78973.51,453.01
2020-04-26,LTCBTC,0.005885,0.005944,0.005787,0.005788,75302.25,441.05
2020-04-25,LTCBTC,0.005932,0.006013,0.00586,0.005885,117157.43,694.75
2020-04-24,LTCBTC,0.005742,0.005972,0.005729,0.005932,112031.84,657.39
2020-04-23,LTCBTC,0.005871,0.005886,0.005662,0.005742,105155.09,608.91
2020-04-22,LTCBTC,0.005933,0.005945,0.005866,0.005871,90290.21,532.82
2020-04-21,LTCBTC,0.005891,0.005971,0.005858,0.005933,79392.38,469.97
2020-04-20,LTCBTC,0.005929,0.005999,0.005855,0.005891,96880.91,574.1
2020-04-19,LTCBTC,0.006088,0.006103,0.005884,0.005929,86713.31,520.47
2020-04-18,LTCBTC,0.006002,0.006101,0.005953,0.006088,84572.38,509.6
2020-04-17,LTCBTC,0.005989,0.006032,0.005911,0.006002,77081.38,460.37
2020-04-16,LTCBTC,0.005923,0.006145,0.005826,0.005989,115963.64,695.66
2020-04-15,LTCBTC,0.005999,0.006035,0.005913,0.005923,66751.84,400.27
2020-04-14,LTCBTC,0.006027,0.00604,0.005973,0.005999,59969.18,360.11
2020-04-13,LTCBTC,0.00608,0.006097,0.005953,0.006027,103758.07,623.46
2020-04-12,LTCBTC,0.006185,0.006236,0.006036,0.00608,90145.81,553.93
2020-04-11,LTCBTC,0.006161,0.006241,0.006126,0.006185,72499.35,448.09
2020-04-10,LTCBTC,0.006342,0.006371,0.00605,0.006161,169514.38,1051.78
2020-04-09,LTCBTC,0.006322,0.006398,0.006262,0.006342,89821.08,567.46
2020-04-08,LTCBTC,0.006224,0.006397,0.006167,0.006322,115504.3,728.27
2020-04-07,LTCBTC,0.006142,0.006409,0.006142,0.006224,152346.12,954.79
2020-04-06,LTCBTC,0.005955,0.006235,0.005916,0.006142,97362.25,587.84
2020-04-05,LTCBTC,0.005938,0.006006,0.005927,0.005955,71050.24,424.22
2020-04-04,LTCBTC,0.00601,0.006039,0.005882,0.005938,74765.72,446.17
2020-04-03,LTCBTC,0.005869,0.006045,0.00586,0.00601,186958.86,1108.0
2020-04-02,LTCBTC,0.005906,0.005992,0.005853,0.005869,130283.25,770.78
2020-04-01,LTCBTC,0.006095,0.006162,0.005895,0.005906,125259.09,758.13
2020-03-31,LTCBTC,0.00609,0.006119,0.005984,0.006095,88872.44,536.95
2020-03-30,LTCBTC,0.00631,0.006346,0.006006,0.00609,99836.29,613.98
2020-03-29,LTCBTC,0.006225,0.006331,0.006167,0.00631,109044.47,681.04
2020-03-28,LTCBTC,0.005978,0.00631,0.00588,0.006225,136160.48,826.75
