Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume OMG,Volume BTC
2020-05-15,OMGBTC,9.65e-05,0.0001107,9.6e-05,0.0001086,1633317.3,174.1
2020-05-14,OMGBTC,8.18e-05,0.0001033,7.73e-05,9.65e-05,3773903.7,332.29
2020-05-13,OMGBTC,8.16e-05,8.49e-05,8.01e-05,8.18e-05,2801074.42,228.61
2020-05-12,OMGBTC,7.76e-05,8.4e-05,7.65e-05,8.16e-05,3117080.89,247.11
2020-05-11,OMGBTC,7.71e-05,7.92e-05,7.41e-05,7.76e-05,2642535.99,202.25
2020-05-10,OMGBTC,7.76e-05,7.91e-05,7.63e-05,7.71e-05,1091964.63,84.7
2020-05-09,OMGBTC,7.76e-05,7.95e-05,7.58e-05,7.76e-05,2940656.83,228.82
2020-05-08,OMGBTC,7.1e-05,8.24e-05,7.07e-05,7.76e-05,3129455.78,238.38
2020-05-07,OMGBTC,7.47e-05,7.54e-05,7.01e-05,7.1e-05,2662977.65,195.2
2020-05-06,OMGBTC,7.86e-05,7.88e-05,7.45e-05,7.47e-05,2421088.45,186.99
2020-05-05,OMGBTC,8.07e-05,8.11e-05,7.85e-05,7.86e-05,2486144.53,197.64
2020-05-04,OMGBTC,8.18e-05,8.25e-05,7.82e-05,8.07e-05,1952378.99,156.59
2020-05-03,OMGBTC,8.38e-05,8.42e-05,8.18e-05,8.18e-05,838434.75,69.04
2020-05-02,OMGBTC,8.54e-05,8.59e-05,8.31e-05,8.38e-05,1426209.38,120.43
2020-05-01,OMGBTC,8.56e-05,8.77e-05,8.42e-05,8.54e-05,2731027.15,234.09
2020-04-30,OMGBTC,8.73e-05,9.0e-05,8.35e-05,8.56e-05,2902790.77,249.85
2020-04-29,OMGBTC,8.61e-05,9.28e-05,8.21e-05,8.73e-05,2849058.48,242.9
2020-04-28,OMGBTC,8.46e-05,8.63e-05,8.34e-05,8.61e-05,2892242.29,244.36
2020-04-27,OMGBTC,8.61e-05,8.88e-05,8.39e-05,8.46e-05,2661051.0,228.46
2020-04-26,OMGBTC,8.35e-05,8.65e-05,8.35e-05,8.61e-05,2534584.7,215.65
2020-04-25,OMGBTC,8.22e-05,8.38e-05,8.14e-05,8.35e-05,2605799.87,215.2
2020-04-24,OMGBTC,7.97e-05,8.23e-05,7.95e-05,8.22e-05,2866340.26,232.04
2020-04-23,OMGBTC,8.13e-05,8.27e-05,7.92e-05,7.97e-05,3435579.4,278.11
2020-04-22,OMGBTC,8.19e-05,8.3e-05,8.09e-05,8.13e-05,3057386.46,250.71
2020-04-21,OMGBTC,7.91e-05,9.03e-05,7.86e-05,8.19e-05,3217418.03,260.11
2020-04-20,OMGBTC,8.11e-05,8.2e-05,7.79e-05,7.91e-05,2911623.8,234.47
2020-04-19,OMGBTC,8.22e-05,8.26e-05,8.1e-05,8.11e-05,3086470.52,252.34
2020-04-18,OMGBTC,8.11e-05,8.24e-05,8.01e-05,8.22e-05,3341579.33,271.3
2020-04-17,OMGBTC,7.93e-05,8.13e-05,7.91e-05,8.11e-05,2891337.98,231.35
2020-04-16,OMGBTC,7.93e-05,8.02e-05,7.77e-05,7.93e-05,1960474.59,155.5
2020-04-15,OMGBTC,8.05e-05,8.15e-05,7.91e-05,7.93e-05,2106162.2,170.22
2020-04-14,OMGBTC,8.13e-05,8.17e-05,8.03e-05,8.05e-05,2247647.62,181.99
2020-04-13,OMGBTC,8.2e-05,8.44e-05,8.05e-05,8.13e-05,2002957.81,163.61
2020-04-12,OMGBTC,8.18e-05,8.32e-05,8.08e-05,8.2e-05,2066712.11,168.82
2020-04-11,OMGBTC,8.1e-05,8.29e-05,8.06e-05,8.18e-05,2313162.41,189.11
2020-04-10,OMGBTC,8.35e-05,8.39e-05,7.87e-05,8.1e-05,2342041.07,191.19
2020-04-09,OMGBTC,8.46e-05,8.55e-05,8.27e-05,8.35e-05,2155693.5,181.52
2020-04-08,OMGBTC,8.32e-05,8.57e-05,8.24e-05,8.46e-05,2257160.45,190.04
2020-04-07,OMGBTC,8.16e-05,8.65e-05,8.16e-05,8.32e-05,2292890.45,193.01
2020-04-06,OMGBTC,7.99e-05,8.26e-05,7.9e-05,8.16e-05,2534766.33,203.67
2020-04-05,OMGBTC,8.04e-05,8.18e-05,7.95e-05,7.99e-05,2277914.91,183.97
2020-04-04,OMGBTC,8.09e-05,8.21e-05,7.94e-05,8.04e-05,2629814.88,213.41
2020-04-03,OMGBTC,8.12e-05,8.3e-05,8.0e-05,8.09e-05,2604631.45,210.74
2020-04-02,OMGBTC,8.04e-05,8.21e-05,7.78e-05,8.12e-05,2192658.15,175.9
2020-04-01,OMGBTC,8.04e-05,8.23e-05,8.0e-05,8.04e-05,1971839.94,160.0
2020-03-31,OMGBTC,7.95e-05,8.06e-05,7.9e-05,8.04e-05,1991124.31,158.36
2020-03-30,OMGBTC,7.93e-05,8.11e-05,7.9e-05,7.95e-05,2198716.2,175.51
