Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume BTC
2020-04-29,BCHBTC,0.0306,0.0313,0.0302,0.0313,1.591,0.04871
2020-04-28,BCHBTC,0.031,0.031,0.0306,0.0306,0.5075,0.01553
2020-04-27,BCHBTC,0.032,0.032,0.031,0.031,35.92,1.115
2020-04-26,BCHBTC,0.0318,0.032,0.0317,0.032,1.322,0.04208
2020-04-25,BCHBTC,0.0326,0.0326,0.0315,0.0318,4.572,0.1453
2020-04-24,BCHBTC,0.0314,0.0326,0.0314,0.0326,0.038,0.001239
2020-04-23,BCHBTC,0.0327,0.0327,0.0314,0.0314,1.595,0.0509
2020-04-22,BCHBTC,0.031,0.0327,0.031,0.0327,3.473,0.1114
2020-04-21,BCHBTC,0.0323,0.0323,0.031,0.031,30.02,0.9607
2020-04-20,BCHBTC,0.0329,0.0333,0.0323,0.0323,33.05,1.074
2020-04-19,BCHBTC,0.0338,0.0338,0.0329,0.0329,0.1054,0.003498
2020-04-18,BCHBTC,0.0333,0.0338,0.0333,0.0338,10.1,0.3383
2020-04-17,BCHBTC,0.0333,0.0333,0.0333,0.0333,0.0,0.0
2020-04-16,BCHBTC,0.0326,0.0333,0.032,0.0333,16.02,0.5224
2020-04-15,BCHBTC,0.0326,0.0326,0.0325,0.0326,31.87,1.037
2020-04-14,BCHBTC,0.0326,0.0326,0.0325,0.0326,11.11,0.3616
2020-04-13,BCHBTC,0.0327,0.0334,0.0326,0.0326,5.431,0.1791
2020-04-12,BCHBTC,0.0327,0.0327,0.0327,0.0327,0.0,0.0
2020-04-11,BCHBTC,0.0327,0.0327,0.0327,0.0327,0.0,0.0
2020-04-10,BCHBTC,0.0327,0.0327,0.0327,0.0327,0.0,0.0
2020-04-09,BCHBTC,0.0327,0.0327,0.0327,0.0327,0.0,0.0
2020-04-08,BCHBTC,0.035,0.0375,0.0327,0.0327,5.205,0.1921
2020-04-07,BCHBTC,0.035,0.0357,0.035,0.035,0.6855,0.0241
2020-04-06,BCHBTC,0.035,0.036,0.0349,0.035,19.21,0.6784
2020-04-05,BCHBTC,0.035,0.035,0.0323,0.035,7.629,0.2666
2020-04-04,BCHBTC,0.035,0.035,0.035,0.035,0.564,0.01974
2020-04-03,BCHBTC,0.0332,0.035,0.0332,0.035,1.002,0.03506
2020-04-02,BCHBTC,0.0348,0.0348,0.033,0.0332,1.053,0.03477
2020-04-01,BCHBTC,0.033,0.035,0.033,0.0348,3.368,0.1174
2020-03-31,BCHBTC,0.033,0.033,0.033,0.033,0.0,0.0
2020-03-30,BCHBTC,0.033,0.033,0.033,0.033,0.0,0.0
2020-03-29,BCHBTC,0.033,0.033,0.033,0.033,0.0,0.0
2020-03-28,BCHBTC,0.033,0.033,0.033,0.033,0.0997,0.00329
2020-03-27,BCHBTC,0.033,0.033,0.033,0.033,0.0,0.0
2020-03-26,BCHBTC,0.033,0.033,0.033,0.033,0.0,0.0
2020-03-25,BCHBTC,0.034,0.034,0.0328,0.033,3.138,0.1034
2020-03-24,BCHBTC,0.0345,0.0345,0.034,0.034,2.0,0.068
2020-03-23,BCHBTC,0.036,0.036,0.0345,0.0345,2.0,0.069
2020-03-22,BCHBTC,0.0356,0.036,0.0356,0.036,0.047,0.001692
2020-03-21,BCHBTC,0.034,0.0356,0.034,0.0356,3.721,0.1305
2020-03-20,BCHBTC,0.0359,0.0361,0.034,0.034,6.266,0.2208
2020-03-19,BCHBTC,0.034,0.0369,0.0337,0.0359,15.48,0.5445
2020-03-18,BCHBTC,0.034,0.0344,0.034,0.034,15.35,0.523
2020-03-17,BCHBTC,0.0336,0.0344,0.0312,0.034,7.644,0.2621
2020-03-16,BCHBTC,0.0335,0.0343,0.0323,0.0336,25.03,0.8304
2020-03-15,BCHBTC,0.0329,0.0335,0.0319,0.0335,19.65,0.6443
2020-03-14,BCHBTC,0.032,0.0329,0.03,0.0329,2.881,0.08963
2020-03-13,BCHBTC,0.0295,0.0329,0.0244,0.032,17.27,0.5282
2020-03-12,BCHBTC,0.0341,0.0365,0.0295,0.0295,7.344,0.2421
2020-03-11,BCHBTC,0.0341,0.0341,0.0335,0.0341,9.115,0.3061
2020-03-10,BCHBTC,0.0345,0.0345,0.0339,0.0341,1.734,0.05931
2020-03-09,BCHBTC,0.0338,0.0345,0.0327,0.0345,2.117,0.07156
2020-03-08,BCHBTC,0.0375,0.0375,0.0338,0.0338,4.391,0.1503
2020-03-07,BCHBTC,0.038,0.038,0.0372,0.0375,3.65,0.136
2020-03-06,BCHBTC,0.037,0.038,0.037,0.038,1.0,0.038
2020-03-05,BCHBTC,0.0374,0.0374,0.0365,0.037,4.003,0.1479
2020-03-04,BCHBTC,0.0375,0.0375,0.0374,0.0374,5.227,0.1955
2020-03-03,BCHBTC,0.0375,0.0378,0.0373,0.0375,8.481,0.3197
2020-03-02,BCHBTC,0.0367,0.0375,0.0362,0.0375,13.17,0.4868
2020-03-01,BCHBTC,0.0364,0.037,0.0364,0.0367,3.116,0.1153
2020-02-29,BCHBTC,0.0364,0.0364,0.0364,0.0364,11.52,0.4192
2020-02-28,BCHBTC,0.0374,0.0374,0.0358,0.0364,25.5,0.923
2020-02-27,BCHBTC,0.0348,0.0387,0.0348,0.0374,69.89,2.582
2020-02-26,BCHBTC,0.0375,0.0382,0.0348,0.0348,95.12,3.393
2020-02-25,BCHBTC,0.0393,0.0396,0.0375,0.0375,83.36,3.221
2020-02-24,BCHBTC,0.0399,0.0402,0.0383,0.0393,16.61,0.6539
2020-02-23,BCHBTC,0.0388,0.0399,0.0388,0.0399,16.85,0.6608
2020-02-22,BCHBTC,0.0399,0.0399,0.0388,0.0388,0.0102,0.0003958
2020-02-21,BCHBTC,0.0385,0.0411,0.0385,0.0399,22.11,0.8746
2020-02-20,BCHBTC,0.0392,0.0392,0.0379,0.0385,13.61,0.5318
2020-02-19,BCHBTC,0.0418,0.0418,0.0392,0.0392,13.05,0.5293
2020-02-18,BCHBTC,0.0416,0.0425,0.0405,0.0418,23.28,0.9543
2020-02-17,BCHBTC,0.0402,0.0424,0.038,0.0416,55.11,2.206
2020-02-16,BCHBTC,0.0448,0.0464,0.0401,0.0402,10.3,0.4362
2020-02-15,BCHBTC,0.0474,0.0474,0.0426,0.0448,5.875,0.271
2020-02-14,BCHBTC,0.0448,0.048,0.0448,0.0474,1.529,0.07228
2020-02-13,BCHBTC,0.0458,0.0458,0.0441,0.0448,4.165,0.1838
2020-02-12,BCHBTC,0.0446,0.0464,0.0421,0.0458,27.0,1.212
2020-02-11,BCHBTC,0.0446,0.0446,0.0446,0.0446,0.0,0.0
2020-02-10,BCHBTC,0.0446,0.0446,0.0446,0.0446,0.0,0.0
2020-02-09,BCHBTC,0.0453,0.0456,0.0446,0.0446,2.932,0.1334
2020-02-08,BCHBTC,0.0445,0.0468,0.0444,0.0453,6.102,0.2816
2020-02-07,BCHBTC,0.0442,0.0465,0.0442,0.0445,1.504,0.06805
2020-02-06,BCHBTC,0.0459,0.0462,0.0442,0.0442,1.053,0.04836
2020-02-05,BCHBTC,0.0406,0.0459,0.0406,0.0459,34.44,1.526
2020-02-04,BCHBTC,0.0404,0.0414,0.0404,0.0406,0.905,0.03675
2020-02-03,BCHBTC,0.0404,0.0404,0.0404,0.0404,0.0,0.0
2020-02-02,BCHBTC,0.0401,0.0414,0.0399,0.0404,0.1879,0.007626
2020-02-01,BCHBTC,0.0402,0.0402,0.0401,0.0401,0.298,0.01195
2020-01-31,BCHBTC,0.0415,0.0415,0.04,0.0402,23.31,0.9341
2020-01-30,BCHBTC,0.0418,0.0418,0.0407,0.0415,8.55,0.3548
2020-01-29,BCHBTC,0.0407,0.0418,0.0407,0.0418,0.5298,0.02168
2020-01-28,BCHBTC,0.0407,0.0409,0.0402,0.0407,7.676,0.3124
2020-01-27,BCHBTC,0.0407,0.0426,0.0407,0.0407,6.698,0.279
2020-01-26,BCHBTC,0.0373,0.0407,0.0373,0.0407,11.11,0.4469
2020-01-25,BCHBTC,0.0366,0.0375,0.0366,0.0373,0.6212,0.02281
2020-01-24,BCHBTC,0.0384,0.0384,0.0364,0.0366,7.74,0.2906
2020-01-23,BCHBTC,0.0398,0.0406,0.0384,0.0384,1.006,0.03941
2020-01-22,BCHBTC,0.0396,0.0398,0.0396,0.0398,0.152,0.00605
2020-01-21,BCHBTC,0.04,0.04,0.0396,0.0396,1.098,0.04368
2020-01-20,BCHBTC,0.0377,0.04,0.0377,0.04,5.205,0.2007
2020-01-19,BCHBTC,0.039,0.039,0.0377,0.0377,0.3219,0.01233
2020-01-18,BCHBTC,0.0424,0.0444,0.039,0.039,4.143,0.1762
2020-01-17,BCHBTC,0.0378,0.0425,0.0362,0.0424,50.67,2.001
2020-01-16,BCHBTC,0.0373,0.0381,0.0369,0.0378,8.579,0.3243
2020-01-15,BCHBTC,0.0402,0.0402,0.037,0.0373,1.106,0.04323
2020-01-14,BCHBTC,0.033,0.0414,0.033,0.0402,32.88,1.208
2020-01-13,BCHBTC,0.033,0.033,0.033,0.033,0.0,0.0
2020-01-12,BCHBTC,0.033,0.033,0.033,0.033,0.0,0.0
2020-01-11,BCHBTC,0.0331,0.0335,0.0328,0.033,4.881,0.162
2020-01-10,BCHBTC,0.0304,0.0331,0.0304,0.0331,20.99,0.6679
2020-01-09,BCHBTC,0.0294,0.0304,0.0294,0.0304,0.476,0.01439
2020-01-08,BCHBTC,0.0302,0.0302,0.0288,0.0294,0.5014,0.01474
2020-01-07,BCHBTC,0.0317,0.0317,0.0295,0.0302,0.5,0.01491
2020-01-06,BCHBTC,0.03,0.0317,0.03,0.0317,7.122,0.222
2020-01-05,BCHBTC,0.0302,0.0302,0.0296,0.03,19.39,0.5793
2020-01-04,BCHBTC,0.03,0.0302,0.03,0.0302,0.18,0.005436
2020-01-03,BCHBTC,0.029,0.03,0.0279,0.03,1.612,0.04664
2020-01-02,BCHBTC,0.029,0.029,0.029,0.029,0.0,0.0
2020-01-01,BCHBTC,0.029,0.029,0.029,0.029,0.0,0.0
2019-12-31,BCHBTC,0.029,0.029,0.0284,0.029,6.535,0.1866
2019-12-30,BCHBTC,0.0284,0.029,0.0284,0.029,1.663,0.04815
2019-12-29,BCHBTC,0.0282,0.0288,0.0282,0.0284,0.2263,0.006461
2019-12-28,BCHBTC,0.0276,0.0282,0.0276,0.0282,0.001,2.82e-05
2019-12-27,BCHBTC,0.026,0.0276,0.026,0.0276,0.2291,0.006102
2019-12-26,BCHBTC,0.0257,0.0265,0.0257,0.026,3.4,0.0897
2019-12-25,BCHBTC,0.0257,0.0257,0.0257,0.0257,0.0,0.0
2019-12-24,BCHBTC,0.0254,0.0258,0.0254,0.0257,0.095,0.002442
2019-12-23,BCHBTC,0.0262,0.0262,0.0254,0.0254,1.093,0.02817
2019-12-22,BCHBTC,0.0282,0.0282,0.026,0.0262,16.69,0.4369
2019-12-21,BCHBTC,0.0282,0.0282,0.0282,0.0282,0.0,0.0
2019-12-20,BCHBTC,0.0263,0.0282,0.0263,0.0282,2.4,0.06578
2019-12-19,BCHBTC,0.0259,0.0263,0.0259,0.0263,3.599,0.09368
2019-12-18,BCHBTC,0.0271,0.0271,0.0257,0.0259,17.75,0.4605
2019-12-17,BCHBTC,0.0286,0.0286,0.0265,0.0271,21.16,0.5947
2019-12-16,BCHBTC,0.0293,0.0293,0.0285,0.0286,0.6322,0.01822
2019-12-15,BCHBTC,0.029,0.0293,0.0289,0.0293,2.439,0.07068
2019-12-14,BCHBTC,0.0289,0.029,0.0289,0.029,0.0287,0.0008323
2019-12-13,BCHBTC,0.0287,0.0289,0.0287,0.0289,0.1497,0.004302
2019-12-12,BCHBTC,0.0282,0.0287,0.0282,0.0287,0.3397,0.009749
2019-12-11,BCHBTC,0.0282,0.0282,0.0282,0.0282,0.1804,0.005087
2019-12-10,BCHBTC,0.0282,0.0282,0.0282,0.0282,0.0,0.0
2019-12-09,BCHBTC,0.0282,0.0282,0.0282,0.0282,0.0,0.0
2019-12-08,BCHBTC,0.0282,0.0282,0.0282,0.0282,0.0,0.0
2019-12-07,BCHBTC,0.0282,0.0282,0.0282,0.0282,0.0,0.0
2019-12-06,BCHBTC,0.0282,0.0282,0.0282,0.0282,0.0,0.0
2019-12-05,BCHBTC,0.0282,0.0282,0.0282,0.0282,0.0,0.0
2019-12-04,BCHBTC,0.029,0.029,0.0282,0.0282,0.9868,0.02783
2019-12-03,BCHBTC,0.029,0.029,0.029,0.029,0.0,0.0
2019-12-02,BCHBTC,0.029,0.029,0.029,0.029,0.0,0.0
2019-12-01,BCHBTC,0.0287,0.029,0.0287,0.029,0.5077,0.01471
2019-11-30,BCHBTC,0.0292,0.0292,0.0284,0.0287,1.209,0.03432
2019-11-29,BCHBTC,0.0292,0.0292,0.0292,0.0292,0.2077,0.006065
2019-11-28,BCHBTC,0.031,0.031,0.0292,0.0292,0.0019,5.548e-05
2019-11-27,BCHBTC,0.0281,0.031,0.0281,0.031,1.198,0.03666
2019-11-26,BCHBTC,0.0281,0.0294,0.0281,0.0281,0.4,0.01138
2019-11-25,BCHBTC,0.0296,0.0298,0.0281,0.0281,7.045,0.1996
2019-11-24,BCHBTC,0.0289,0.0296,0.0281,0.0296,1.523,0.0443
2019-11-23,BCHBTC,0.0289,0.0289,0.0289,0.0289,0.0,0.0
