Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2020-04-29,ETHBTC,0.0251,0.0261,0.0251,0.0256,8.198,0.211
2020-04-28,ETHBTC,0.0252,0.0254,0.0251,0.0251,1.753,0.04411
2020-04-27,ETHBTC,0.0257,0.0257,0.025,0.0252,5.399,0.1365
2020-04-26,ETHBTC,0.0256,0.0259,0.0256,0.0257,3.66,0.09399
2020-04-25,ETHBTC,0.0248,0.0262,0.0248,0.0256,6.957,0.1785
2020-04-24,ETHBTC,0.0248,0.0248,0.0248,0.0248,0.0,0.0
2020-04-23,ETHBTC,0.0257,0.0257,0.0248,0.0248,39.91,1.002
2020-04-22,ETHBTC,0.025,0.0275,0.0249,0.0257,18.5,0.4737
2020-04-21,ETHBTC,0.025,0.0253,0.0249,0.025,5.767,0.145
2020-04-20,ETHBTC,0.0252,0.0253,0.0246,0.025,35.34,0.8832
2020-04-19,ETHBTC,0.026,0.026,0.025,0.0252,8.005,0.205
2020-04-18,ETHBTC,0.0241,0.026,0.0241,0.026,96.07,2.395
2020-04-17,ETHBTC,0.0243,0.0243,0.0237,0.0241,3.375,0.08096
2020-04-16,ETHBTC,0.0235,0.0247,0.023,0.0243,59.88,1.419
2020-04-15,ETHBTC,0.0235,0.0235,0.0229,0.0235,50.85,1.171
2020-04-14,ETHBTC,0.023,0.0235,0.0228,0.0235,11.07,0.2564
2020-04-13,ETHBTC,0.0226,0.0233,0.0226,0.023,1.498,0.03438
2020-04-12,ETHBTC,0.023,0.0232,0.0226,0.0226,2.443,0.05641
2020-04-11,ETHBTC,0.0231,0.0231,0.023,0.023,0.3236,0.007455
2020-04-10,ETHBTC,0.0231,0.0231,0.0225,0.0231,29.31,0.6728
2020-04-09,ETHBTC,0.0235,0.0235,0.0231,0.0231,0.2608,0.006038
2020-04-08,ETHBTC,0.023,0.0235,0.023,0.0235,37.28,0.8704
2020-04-07,ETHBTC,0.0233,0.0236,0.023,0.023,73.57,1.709
2020-04-06,ETHBTC,0.0212,0.0233,0.0212,0.0233,153.57,3.419
2020-04-05,ETHBTC,0.0211,0.0212,0.0208,0.0212,7.172,0.1503
2020-04-04,ETHBTC,0.0211,0.0211,0.0205,0.0211,5.11,0.1073
2020-04-03,ETHBTC,0.0207,0.0211,0.0207,0.0211,0.4752,0.01003
2020-04-02,ETHBTC,0.0205,0.021,0.0205,0.0207,6.535,0.1349
2020-04-01,ETHBTC,0.0204,0.0211,0.0204,0.0205,14.37,0.2989
2020-03-31,ETHBTC,0.021,0.021,0.0202,0.0204,9.172,0.1866
2020-03-30,ETHBTC,0.021,0.0211,0.0209,0.021,38.04,0.8002
2020-03-29,ETHBTC,0.021,0.021,0.0206,0.021,6.099,0.1273
2020-03-28,ETHBTC,0.0208,0.021,0.0203,0.021,7.335,0.1502
2020-03-27,ETHBTC,0.0203,0.0209,0.0203,0.0208,1.233,0.02571
2020-03-26,ETHBTC,0.0204,0.0204,0.0202,0.0203,1.714,0.03492
2020-03-25,ETHBTC,0.0207,0.0208,0.0204,0.0204,9.547,0.1958
2020-03-24,ETHBTC,0.0209,0.0209,0.0205,0.0207,6.462,0.1335
2020-03-23,ETHBTC,0.0209,0.0209,0.0205,0.0209,5.241,0.1086
2020-03-22,ETHBTC,0.0213,0.0215,0.0208,0.0209,22.55,0.4753
2020-03-21,ETHBTC,0.0215,0.0215,0.0213,0.0213,22.07,0.4735
2020-03-20,ETHBTC,0.022,0.023,0.0205,0.0215,163.51,3.598
2020-03-19,ETHBTC,0.0219,0.0222,0.0217,0.022,15.4,0.3377
2020-03-18,ETHBTC,0.0221,0.0221,0.0216,0.0219,19.0,0.4128
2020-03-17,ETHBTC,0.022,0.0225,0.0217,0.0221,29.42,0.6537
2020-03-16,ETHBTC,0.023,0.0232,0.022,0.022,127.35,2.826
2020-03-15,ETHBTC,0.0238,0.0238,0.0222,0.023,46.71,1.059
2020-03-14,ETHBTC,0.0236,0.0243,0.0232,0.0238,33.86,0.8067
2020-03-13,ETHBTC,0.0226,0.0254,0.0221,0.0236,210.68,4.944
2020-03-12,ETHBTC,0.0246,0.0249,0.0214,0.0226,375.76,8.617
2020-03-11,ETHBTC,0.0252,0.0254,0.024,0.0246,8.748,0.2189
2020-03-10,ETHBTC,0.0254,0.0257,0.0252,0.0252,4.751,0.121
2020-03-09,ETHBTC,0.0246,0.0262,0.0246,0.0254,3.693,0.09407
2020-03-08,ETHBTC,0.0271,0.0271,0.0245,0.0246,21.25,0.5419
2020-03-07,ETHBTC,0.0267,0.0274,0.0265,0.0271,8.474,0.2284
2020-03-06,ETHBTC,0.0256,0.0267,0.0253,0.0267,6.671,0.1724
2020-03-05,ETHBTC,0.0255,0.0258,0.0255,0.0256,1.771,0.04556
2020-03-04,ETHBTC,0.0257,0.0257,0.0254,0.0255,24.24,0.6189
2020-03-03,ETHBTC,0.026,0.0261,0.0256,0.0257,3.265,0.08399
2020-03-02,ETHBTC,0.0257,0.0262,0.0256,0.026,3.317,0.08598
2020-03-01,ETHBTC,0.0258,0.0258,0.0257,0.0257,3.599,0.09249
2020-02-29,ETHBTC,0.0262,0.0263,0.0258,0.0258,42.36,1.103
2020-02-28,ETHBTC,0.026,0.0263,0.0256,0.0262,23.59,0.6107
2020-02-27,ETHBTC,0.0262,0.0262,0.0248,0.026,50.53,1.302
2020-02-26,ETHBTC,0.0272,0.0272,0.0249,0.0262,13.39,0.3408
2020-02-25,ETHBTC,0.0274,0.0274,0.027,0.0272,54.52,1.482
2020-02-24,ETHBTC,0.0272,0.0278,0.0272,0.0274,0.9749,0.02674
2020-02-23,ETHBTC,0.0271,0.0273,0.0271,0.0272,1.46,0.03977
2020-02-22,ETHBTC,0.0272,0.0274,0.027,0.0271,18.29,0.4978
2020-02-21,ETHBTC,0.0264,0.0273,0.0264,0.0272,22.64,0.6162
2020-02-20,ETHBTC,0.0274,0.0274,0.0264,0.0264,3.135,0.08382
2020-02-19,ETHBTC,0.0274,0.0278,0.027,0.0274,3.369,0.0919
2020-02-18,ETHBTC,0.0263,0.0284,0.0263,0.0274,40.88,1.145
2020-02-17,ETHBTC,0.0261,0.0263,0.0251,0.0263,26.7,0.6783
2020-02-16,ETHBTC,0.0269,0.0273,0.0255,0.0261,86.09,2.295
2020-02-15,ETHBTC,0.0273,0.0277,0.0269,0.0269,34.78,0.9574
2020-02-14,ETHBTC,0.0265,0.0275,0.026,0.0273,40.42,1.068
2020-02-13,ETHBTC,0.0256,0.0266,0.0252,0.0265,49.44,1.303
2020-02-12,ETHBTC,0.0225,0.0264,0.0225,0.0256,69.73,1.683
2020-02-11,ETHBTC,0.0225,0.0225,0.0225,0.0225,0.0,0.0
2020-02-10,ETHBTC,0.0224,0.0225,0.0222,0.0225,5.644,0.1262
2020-02-09,ETHBTC,0.0225,0.0227,0.0223,0.0224,91.3,2.054
2020-02-08,ETHBTC,0.0228,0.0231,0.0222,0.0225,21.75,0.4979
