Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MON,Volume AJPY
2020-04-29,MONAJPY,136.1,136.9,133.6,136.5,75320.0,10176756.6
2020-04-28,MONAJPY,129.8,137.8,129.2,136.1,71488.0,9499498.1
2020-04-27,MONAJPY,130.2,131.6,129,129.8,66990.0,8739797.0
2020-04-26,MONAJPY,128.4,131.5,128.4,130.2,47603.0,6171579.6
2020-04-25,MONAJPY,128,131.6,127.8,128.4,57296.0,7428836.1
2020-04-24,MONAJPY,128.1,130.1,127.3,128,57976.0,7464901.3
2020-04-23,MONAJPY,128,130.4,125.1,128.1,73572.0,9454901.3
2020-04-22,MONAJPY,124.5,128,123.7,128,36946.0,4634199.0
2020-04-21,MONAJPY,126,126,122.1,124.5,25930.0,3208315.0
2020-04-20,MONAJPY,128.4,129,126,126,27905.0,3546582.8
2020-04-19,MONAJPY,130,130.5,127.2,128.4,34008.0,4382804.9
2020-04-18,MONAJPY,128,130.5,127.6,130,27290.0,3524113.4
2020-04-17,MONAJPY,129,129.6,127,128,38912.0,4994811.9
2020-04-16,MONAJPY,123.7,132,122.2,129,89573.0,11453056.5
2020-04-15,MONAJPY,128.5,129.8,122.6,123.7,17907.0,2258469.9
2020-04-14,MONAJPY,130,130.4,128.4,128.5,29033.0,3753044.8
2020-04-13,MONAJPY,134,134,127.1,130,67870.0,8820018.0
2020-04-12,MONAJPY,132,136.4,129.8,134,61277.0,8204323.1
2020-04-11,MONAJPY,134.2,135,130.1,132,46441.0,6160372.9
2020-04-10,MONAJPY,138.9,138.9,129.1,134.2,90015.0,12045413.9
2020-04-09,MONAJPY,140.5,140.5,136.5,138.9,67805.0,9408869.1
2020-04-08,MONAJPY,135.9,141.3,133.5,140.5,68960.0,9515025.4
2020-04-07,MONAJPY,138.4,141.7,134,135.9,167672.0,23095044.7
2020-04-06,MONAJPY,128,138.5,128,138.4,136800.0,18223386.8
2020-04-05,MONAJPY,130.2,131.2,127.6,128,37847.0,4902055.5
2020-04-04,MONAJPY,131.9,132.2,129,130.2,18258.0,2375868.4
2020-04-03,MONAJPY,131,133.3,128,131.9,95778.0,12541564.4
2020-04-02,MONAJPY,128.2,133.8,126.1,131,103804.0,13500690.1
2020-04-01,MONAJPY,128.3,129.7,123.7,128.2,69950.0,8787157.9
2020-03-31,MONAJPY,127.6,132,125.7,128.3,50812.0,6577798.2
2020-03-30,MONAJPY,120.7,130,118.1,127.6,86768.0,10853722.4
2020-03-29,MONAJPY,130,131,120.1,120.7,76544.0,9633109.4
2020-03-28,MONAJPY,134.1,134.4,126,130,86313.0,11269741.8
2020-03-27,MONAJPY,139.7,141.5,134.1,134.1,64700.0,8926851.2
2020-03-26,MONAJPY,139.4,139.7,133,139.7,67617.0,9214776.3
2020-03-25,MONAJPY,142,145,136.1,139.4,88972.0,12407978.8
2020-03-24,MONAJPY,140,142.2,137,142,90570.0,12691657.4
2020-03-23,MONAJPY,128.4,140,126,140,176517.0,23496603.3
2020-03-22,MONAJPY,137,143.3,128,128.4,122771.0,16766790.5
2020-03-21,MONAJPY,140.5,141.7,132,137,83460.0,11494125.3
2020-03-20,MONAJPY,137,147.5,130.3,140.5,281610.0,39230590.0
2020-03-19,MONAJPY,117.3,144.7,115,137,339235.0,43486413.6
2020-03-18,MONAJPY,115.3,120,112.1,117.3,121182.0,14021290.9
2020-03-17,MONAJPY,106.2,117,106.2,115.3,144851.0,16319599.8
2020-03-16,MONAJPY,119,119,105,106.2,190805.0,21050491.8
2020-03-15,MONAJPY,113,124.5,111.5,119,139463.0,16331916.2
2020-03-14,MONAJPY,125.3,129.4,110,113,152671.0,18140102.4
2020-03-13,MONAJPY,103.5,132,92.3,125.3,525461.0,60706790.2
2020-03-12,MONAJPY,154.8,155.8,103.1,103.5,449132.0,58341503.2
2020-03-11,MONAJPY,156.4,159.1,148.1,154.8,155253.0,23854054.6
2020-03-10,MONAJPY,146.4,164.9,141.1,156.4,341254.0,52707478.1
2020-03-09,MONAJPY,149,156.5,129,146.4,334814.0,47256117.4
2020-03-08,MONAJPY,182,182,146,149,214959.0,35073830.6
2020-03-07,MONAJPY,192.7,193.8,180.3,182,104767.0,19782270.7
2020-03-06,MONAJPY,197.1,200.9,188.1,192.7,159677.0,30869725.3
2020-03-05,MONAJPY,209.5,212.4,196.2,197.1,162082.0,33234804.7
2020-03-04,MONAJPY,193,210,191.1,209.5,245491.0,49599250.8
2020-03-03,MONAJPY,196.3,196.5,186.9,193,160395.0,30715465.9
2020-03-02,MONAJPY,178.3,199.8,177.1,196.3,186482.0,35056785.8
2020-03-01,MONAJPY,177.5,183.5,173.6,178.3,78814.0,14150201.9
2020-02-29,MONAJPY,176.8,187.4,175,177.5,146565.0,26389077.1
2020-02-28,MONAJPY,182.7,184.8,166,176.8,221174.0,38602796.2
2020-02-27,MONAJPY,176,197.4,167.7,182.7,298914.0,55346832.3
2020-02-26,MONAJPY,183,186.5,164,176,273547.0,47261376.5
2020-02-25,MONAJPY,214.4,214.4,181,183,291246.0,57190863.4
2020-02-24,MONAJPY,231.2,231.3,208.6,214.4,204796.0,44692011.5
2020-02-23,MONAJPY,225,235.8,222.6,231.2,231597.0,53206375.9
2020-02-22,MONAJPY,213.5,229,210.7,225,113326.0,24685798.1
2020-02-21,MONAJPY,210.6,220,210.1,213.5,125826.0,27154966.5
2020-02-20,MONAJPY,202,225,200.2,210.6,345751.0,73767585.8
2020-02-19,MONAJPY,297.8,299,197.8,202,1091005.0,255938002.6
2020-02-18,MONAJPY,263.9,300,258.8,297.8,463908.0,130488119.3
2020-02-17,MONAJPY,253.5,264.9,245.1,263.9,150584.0,37907696.5
2020-02-16,MONAJPY,244.9,256.5,241,253.5,145296.0,36439971.7
2020-02-15,MONAJPY,258,260.1,243.1,244.9,202702.0,51349623.8
2020-02-14,MONAJPY,247.5,260.5,241.2,258,172441.0,43315958.4
2020-02-13,MONAJPY,257.6,265.1,239,247.5,285975.0,71397124.0
2020-02-12,MONAJPY,202.1,270,202.1,257.6,349714.0,88300760.9
2020-02-11,MONAJPY,202,202,202,202,0.0,0.0
2020-02-10,MONAJPY,206,216,202,202,111872.0,23278913.4
2020-02-09,MONAJPY,192.1,208.8,192.1,206,214280.0,42957003.2
2020-02-08,MONAJPY,198,198,185.2,192.1,101586.0,19415665.6
2020-02-07,MONAJPY,193,202,190.2,198,135475.0,26688946.6
2020-02-06,MONAJPY,190,208,188.2,193,255142.0,50325626.4
2020-02-05,MONAJPY,183.1,197.6,180.4,190,259239.0,49156626.3
2020-02-04,MONAJPY,190.6,193.3,172,183.1,194318.0,35018615.0
2020-02-03,MONAJPY,202,210,185,190.6,261608.0,51576290.4
2020-02-02,MONAJPY,195,216,193,202,543804.0,111730406.3
2020-02-01,MONAJPY,173,202.7,161.2,195,185399.0,33813368.2
2020-01-31,MONAJPY,153.9,192.1,152.1,173,538943.0,94142816.9
2020-01-30,MONAJPY,140,155.7,137,153.9,149875.0,22016198.2
2020-01-29,MONAJPY,132.4,148,131.2,140,137732.0,19500540.7
2020-01-28,MONAJPY,130,132.6,128.3,132.4,27782.0,3630937.6
2020-01-27,MONAJPY,130,132.5,127.9,130,48413.0,6312526.8
2020-01-26,MONAJPY,124.6,130,123.8,130,23460.0,2983210.6
2020-01-25,MONAJPY,124.8,125.1,120.7,124.6,21436.0,2658463.4
2020-01-24,MONAJPY,125.1,128,122,124.8,35914.0,4501972.3
2020-01-23,MONAJPY,133,134.5,123.3,125.1,72873.0,9289740.5
2020-01-22,MONAJPY,128,140,127,133,109014.0,14569679.7
2020-01-21,MONAJPY,126.7,131.2,124.3,128,61953.0,7943089.4
2020-01-20,MONAJPY,129,132.5,119.8,126.7,58352.0,7404265.9
2020-01-19,MONAJPY,125.8,137.8,117.2,129,152136.0,19601007.1
2020-01-18,MONAJPY,143,147.6,125.8,125.8,151159.0,20492894.6
2020-01-17,MONAJPY,122.4,155.5,122.4,143,368414.0,51092191.6
2020-01-16,MONAJPY,114.5,125,104.2,122.4,92826.0,10553724.5
2020-01-15,MONAJPY,104.7,119,100.8,114.5,103737.0,11661039.0
2020-01-14,MONAJPY,93.3,105.4,93.3,104.7,56525.0,5564292.5
2020-01-13,MONAJPY,95,95.4,93.3,93.3,8688.0,820488.2
2020-01-12,MONAJPY,91,96.7,91,95,31912.0,3031101.2
2020-01-11,MONAJPY,92,93.6,90.4,91,13975.0,1284744.1
2020-01-10,MONAJPY,90.4,92.2,89,92,15881.0,1445254.0
2020-01-09,MONAJPY,90,93.5,89,90.4,14157.0,1286982.3
2020-01-08,MONAJPY,90.8,94.4,88.7,90,27680.0,2534994.6
2020-01-07,MONAJPY,93.9,94.3,89,90.8,30433.0,2771122.3
2020-01-06,MONAJPY,86.9,93.9,85.2,93.9,46242.0,4152044.6
2020-01-05,MONAJPY,86.7,90.5,85.2,86.9,9740.0,852987.1
2020-01-04,MONAJPY,83,87.8,82,86.7,18840.0,1602532.8
2020-01-03,MONAJPY,81.7,83.4,80.3,83,17025.0,1395928.0
2020-01-02,MONAJPY,83.6,84.1,80.7,81.7,7920.0,648651.6
2020-01-01,MONAJPY,81.8,84.3,81.8,83.6,4915.0,412084.8
2019-12-31,MONAJPY,83.2,84.2,80.5,81.8,15331.0,1254096.5
2019-12-30,MONAJPY,86,86,83.2,83.2,7818.0,658896.6
2019-12-29,MONAJPY,85,86.7,84,86,17905.0,1521318.7
2019-12-28,MONAJPY,83.1,86.2,83,85,15990.0,1367260.5
2019-12-27,MONAJPY,83.9,84.9,81,83.1,11343.0,943902.3
2019-12-26,MONAJPY,84.5,85.6,83.6,83.9,7136.0,602378.8
2019-12-25,MONAJPY,84.4,87.5,83.5,84.5,13065.0,1121532.1
2019-12-24,MONAJPY,89.5,89.5,84.4,84.4,13796.0,1197097.7
2019-12-23,MONAJPY,92,93.8,86.8,89.5,23557.0,2143428.7
2019-12-22,MONAJPY,86.6,92.6,86.6,92,10395.0,936349.5
2019-12-21,MONAJPY,86,93.8,86,86.6,27305.0,2440022.5
2019-12-20,MONAJPY,84.2,87,82.1,86,15119.0,1283094.9
2019-12-19,MONAJPY,86.8,86.8,81.5,84.2,10811.0,905441.5
2019-12-18,MONAJPY,82.1,87.5,77.9,86.8,37513.0,3089776.4
2019-12-17,MONAJPY,90.1,91.8,82,82.1,40968.0,3547037.4
2019-12-16,MONAJPY,95,96.6,90,90.1,18540.0,1715908.7
2019-12-15,MONAJPY,96.2,96.5,94.3,95,2349.0,223470.8
2019-12-14,MONAJPY,97.2,98,95.2,96.2,9159.0,885398.5
2019-12-13,MONAJPY,97,97.2,96,97.2,6118.0,590830.4
2019-12-12,MONAJPY,95.6,97,94,97,8817.0,841760.9
2019-12-11,MONAJPY,96.7,98,95.6,95.6,8341.0,809388.1
2019-12-10,MONAJPY,97.6,98.7,96,96.7,6709.0,651309.0
2019-12-09,MONAJPY,98.1,100,97.6,97.6,5744.0,568325.4
2019-12-08,MONAJPY,97.6,101.3,97.1,98.1,16439.0,1634275.4
2019-12-07,MONAJPY,98.4,98.6,97.5,97.6,3424.0,335707.5
2019-12-06,MONAJPY,97,98.8,97,98.4,13117.0,1282288.4
2019-12-05,MONAJPY,97,98.1,95.1,97,15807.0,1533326.5
2019-12-04,MONAJPY,98.4,98.7,94,97,30394.0,2926893.3
2019-12-03,MONAJPY,99.2,99.9,98,98.4,9603.0,946094.8
2019-12-02,MONAJPY,101.5,101.5,98.1,99.2,21754.0,2169759.1
2019-12-01,MONAJPY,100,103,98.8,101.5,17822.0,1795940.6
2019-11-30,MONAJPY,102,106,99.1,100,28949.0,2941493.3
2019-11-29,MONAJPY,99.7,103.5,99.7,102,4851.0,494988.4
2019-11-28,MONAJPY,103.8,103.8,99.7,99.7,8953.0,910302.4
2019-11-27,MONAJPY,101.4,104.5,96.5,103.8,23706.0,2372515.0
2019-11-26,MONAJPY,100,101.8,98.5,101.4,8342.0,834353.3
2019-11-25,MONAJPY,102,104,94.6,100,37741.0,3745396.9
2019-11-24,MONAJPY,98.6,109.4,98,102,63898.0,6669452.1
2019-11-23,MONAJPY,97.4,101,95.6,98.6,14560.0,1431840.3
2019-11-22,MONAJPY,104,105.4,92.7,97.4,67252.0,6612018.0
2019-11-21,MONAJPY,110.7,110.9,102,104,20453.0,2150266.1
2019-11-20,MONAJPY,111.4,111.8,109,110.7,12884.0,1421391.2
2019-11-19,MONAJPY,113.3,113.8,108,111.4,22926.0,2547473.4
2019-11-18,MONAJPY,115.1,116,112.3,113.3,9702.0,1104679.2
2019-11-17,MONAJPY,113.4,116.4,113.4,115.1,11543.0,1333499.5
2019-11-16,MONAJPY,114.5,115.5,113.2,113.4,7729.0,881446.6
2019-11-15,MONAJPY,116.5,117.8,114,114.5,10985.0,1278309.6
2019-11-14,MONAJPY,118.5,118.6,115.7,116.5,12105.0,1417911.5
2019-11-13,MONAJPY,118.2,119.2,117.6,118.5,3666.0,433968.5
2019-11-12,MONAJPY,119,120,118,118.2,7267.0,865297.9
2019-11-11,MONAJPY,120,120,118,119,8639.0,1025671.8
2019-11-10,MONAJPY,119.2,121.9,117.5,120,14915.0,1792139.3
2019-11-09,MONAJPY,117.5,119.9,116.1,119.2,6512.0,770424.1
2019-11-08,MONAJPY,120.5,121,116,117.5,14948.0,1769295.4
2019-11-07,MONAJPY,121,122.5,119,120.5,11683.0,1405351.9
2019-11-06,MONAJPY,120.8,125.8,118.8,121,30787.0,3772208.5
2019-11-05,MONAJPY,120.1,121,118.9,120.8,14108.0,1689000.2
2019-11-04,MONAJPY,119,121.5,118.7,120.1,6433.0,769455.5
2019-11-03,MONAJPY,119.5,121.4,119,119,6893.0,830950.8
2019-11-02,MONAJPY,120.9,121,119.5,119.5,13505.0,1627623.2
2019-11-01,MONAJPY,120.6,122,118.6,120.9,5452.0,656384.4
2019-10-31,MONAJPY,124,126.6,118.9,120.6,38046.0,4613266.9
2019-10-30,MONAJPY,118.7,126,118.7,124,36031.0,4414982.4
2019-10-29,MONAJPY,118.5,120.5,118.2,118.7,9487.0,1127207.7
2019-10-28,MONAJPY,120,121.3,117.6,118.5,30464.0,3648119.2
2019-10-27,MONAJPY,118.5,122.5,117,120,29232.0,3501574.3
2019-10-26,MONAJPY,119,124.5,116,118.5,57016.0,6833620.7
2019-10-25,MONAJPY,112.5,120.5,112,119,25543.0,2968985.5
2019-10-24,MONAJPY,114.4,114.4,111.1,112.5,29421.0,3292684.6
2019-10-23,MONAJPY,119,119.8,112,114.4,37079.0,4271524.4
2019-10-22,MONAJPY,120,121.6,119,119,8118.0,975188.8
2019-10-21,MONAJPY,118.7,123.4,118.6,120,11804.0,1425217.3
2019-10-20,MONAJPY,118.9,120,116.7,118.7,8518.0,1011743.0
2019-10-19,MONAJPY,117.5,119,116.4,118.9,14828.0,1753852.5
2019-10-18,MONAJPY,117.1,119.5,115.6,117.5,19323.0,2263385.9
2019-10-17,MONAJPY,118,119.3,111.1,117.1,77671.0,8971830.4
2019-10-16,MONAJPY,119.9,121.7,115,118,25514.0,3001863.7
2019-10-15,MONAJPY,123,125,117.8,119.9,13833.0,1680716.5
2019-10-14,MONAJPY,126,126,123,123,17512.0,2174376.1
2019-10-13,MONAJPY,126.7,127.5,124.8,126,16818.0,2107773.4
2019-10-12,MONAJPY,125.5,127.8,125,126.7,7662.0,964779.6
2019-10-11,MONAJPY,128.6,131.9,125,125.5,14856.0,1885265.8
2019-10-10,MONAJPY,129.6,134,127.1,128.6,49800.0,6488146.5
2019-10-09,MONAJPY,126,131,125.4,129.6,42340.0,5416443.6
2019-10-08,MONAJPY,125.5,129.2,124.3,126,17838.0,2258903.8
2019-10-07,MONAJPY,127.3,128,123.1,125.5,41889.0,5245628.4
2019-10-06,MONAJPY,127,128.4,123.7,127.3,22794.0,2872907.8
2019-10-05,MONAJPY,126.5,129.3,126,127,16531.0,2108264.6
2019-10-04,MONAJPY,127,129.4,123.5,126.5,19683.0,2485115.9
2019-10-03,MONAJPY,130.3,130.3,122,127,27051.0,3399081.9
2019-10-02,MONAJPY,129.5,133.5,128.1,130.3,39740.0,5203398.2
2019-10-01,MONAJPY,123.5,134.3,121.5,129.5,105867.0,13593155.6
2019-09-30,MONAJPY,118.5,128.5,117,123.5,73983.0,9011365.7
2019-09-29,MONAJPY,120.3,120.3,116.2,118.5,15544.0,1828655.4
2019-09-28,MONAJPY,121,122.8,117.8,120.3,24496.0,2930823.5
2019-09-27,MONAJPY,119.5,122.5,115,121,35773.0,4231237.5
2019-09-26,MONAJPY,116.2,128.5,113.2,119.5,103279.0,12436945.7
2019-09-25,MONAJPY,123.9,123.9,111.1,116.2,132621.0,15531973.9
2019-09-24,MONAJPY,117,144.9,111,123.9,365045.0,46493129.0
2019-09-23,MONAJPY,122,122,116.2,117,50667.0,6054905.8
2019-09-22,MONAJPY,123.6,124.8,118.8,122,75060.0,9087104.1
2019-09-21,MONAJPY,129.4,129.4,123,123.6,42376.0,5357421.2
2019-09-20,MONAJPY,130,130.4,128.1,129.4,21552.0,2789438.4
2019-09-19,MONAJPY,138.4,138.4,126.1,130,108872.0,14232432.0
2019-09-18,MONAJPY,130,138.4,128.3,138.4,92003.0,12083684.0
2019-09-17,MONAJPY,131.8,137,125.7,130,106434.0,13948879.8
2019-09-16,MONAJPY,144,144.4,125,131.8,132997.0,17749114.6
2019-09-15,MONAJPY,154.2,167.5,140.1,144,284049.0,42709176.7
2019-09-14,MONAJPY,106,177,106,154.2,1035392.0,150881495.6
2019-09-13,MONAJPY,106.8,107.4,102,106,33541.0,3499634.7
2019-09-12,MONAJPY,108.1,110.2,105,106.8,25826.0,2770936.6
2019-09-11,MONAJPY,110.6,112,105.5,108.1,89836.0,9783927.9
2019-09-10,MONAJPY,116.7,118.3,110.6,110.6,31319.0,3565317.9
2019-09-09,MONAJPY,119.5,121.5,116.2,116.7,26158.0,3112735.0
2019-09-08,MONAJPY,120.2,124,119,119.5,37955.0,4583921.0
2019-09-07,MONAJPY,121.1,124.3,116.5,120.2,46002.0,5520020.8
2019-09-06,MONAJPY,127.8,128,120,121.1,46221.0,5763425.1
2019-09-05,MONAJPY,131.7,131.9,126,127.8,38048.0,4940769.8
2019-09-04,MONAJPY,134,134.9,131.7,131.7,17438.0,2319141.0
2019-09-03,MONAJPY,137.5,137.8,133,134,39306.0,5300282.2
2019-09-02,MONAJPY,132.4,138.9,132.3,137.5,23281.0,3130954.9
2019-09-01,MONAJPY,132.4,135.6,130.9,132.4,23138.0,3076327.1
2019-08-31,MONAJPY,131,134.2,130.8,132.4,18829.0,2480996.8
2019-08-30,MONAJPY,134.6,135.5,129.1,131,77284.0,10245793.3
2019-08-29,MONAJPY,139,139,129.2,134.6,37159.0,4957587.0
2019-08-28,MONAJPY,146.9,148,139,139,32856.0,4743539.0
2019-08-27,MONAJPY,151.5,152.8,145.6,146.9,24129.0,3571770.0
2019-08-26,MONAJPY,150,154,147.4,151.5,18632.0,2827345.5
2019-08-25,MONAJPY,152.5,157.5,147.8,150,25961.0,3981031.1
2019-08-24,MONAJPY,156.5,158,147,152.5,25600.0,3867411.5
2019-08-23,MONAJPY,149.9,162.5,148,156.5,83731.0,13129305.3
2019-08-22,MONAJPY,151.1,151.5,140.3,149.9,82298.0,11948512.0
2019-08-21,MONAJPY,163,163.7,146.7,151.1,99320.0,15236025.8
2019-08-20,MONAJPY,167,168,161.5,163,10623.0,1745969.2
