Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume BTC
2020-04-29,XEMBTC,5.22e-06,5.26e-06,5.1e-06,5.1e-06,11732.0,0.06149
2020-04-28,XEMBTC,5.12e-06,5.22e-06,5.06e-06,5.22e-06,30896.0,0.1607
2020-04-27,XEMBTC,5.14e-06,5.25e-06,5.05e-06,5.12e-06,66283.0,0.3457
2020-04-26,XEMBTC,5.16e-06,5.16e-06,5.04e-06,5.14e-06,5857.0,0.02953
2020-04-25,XEMBTC,5.1e-06,5.19e-06,5.1e-06,5.16e-06,12304.0,0.06333
2020-04-24,XEMBTC,4.99e-06,5.26e-06,4.99e-06,5.1e-06,67661.0,0.3483
2020-04-23,XEMBTC,5.19e-06,5.19e-06,4.99e-06,4.99e-06,115510.0,0.5782
2020-04-22,XEMBTC,5.1e-06,5.2e-06,5.1e-06,5.19e-06,91101.0,0.4661
2020-04-21,XEMBTC,5.15e-06,5.2e-06,5.1e-06,5.1e-06,138506.0,0.7119
2020-04-20,XEMBTC,5.13e-06,5.27e-06,5.12e-06,5.15e-06,19527.0,0.1003
2020-04-19,XEMBTC,5.22e-06,5.22e-06,5.11e-06,5.13e-06,11491.0,0.05918
2020-04-18,XEMBTC,5.26e-06,5.26e-06,5.2e-06,5.22e-06,21806.0,0.1137
2020-04-17,XEMBTC,5.32e-06,5.44e-06,5.21e-06,5.26e-06,40881.0,0.2157
2020-04-16,XEMBTC,5.46e-06,5.47e-06,5.21e-06,5.32e-06,64808.0,0.3447
2020-04-15,XEMBTC,5.44e-06,5.46e-06,5.34e-06,5.46e-06,17740.0,0.09521
2020-04-14,XEMBTC,5.35e-06,5.44e-06,5.34e-06,5.44e-06,187332.0,1.002
2020-04-13,XEMBTC,5.25e-06,5.47e-06,5.25e-06,5.35e-06,192290.0,1.046
2020-04-12,XEMBTC,5.3e-06,5.39e-06,5.25e-06,5.25e-06,76174.0,0.4053
2020-04-11,XEMBTC,5.33e-06,5.36e-06,5.3e-06,5.3e-06,7745.0,0.04109
2020-04-10,XEMBTC,5.39e-06,5.44e-06,5.26e-06,5.33e-06,90461.0,0.4766
2020-04-09,XEMBTC,5.36e-06,5.47e-06,5.27e-06,5.39e-06,318905.0,1.691
2020-04-08,XEMBTC,5.46e-06,5.46e-06,5.26e-06,5.36e-06,247567.0,1.318
2020-04-07,XEMBTC,5.43e-06,5.59e-06,5.34e-06,5.46e-06,38369.0,0.2102
2020-04-06,XEMBTC,5.43e-06,5.52e-06,5.26e-06,5.43e-06,193297.0,1.039
2020-04-05,XEMBTC,5.32e-06,5.56e-06,5.32e-06,5.43e-06,71563.0,0.3847
2020-04-04,XEMBTC,5.48e-06,5.51e-06,5.32e-06,5.32e-06,100306.0,0.5483
2020-04-03,XEMBTC,5.4e-06,5.5e-06,5.35e-06,5.48e-06,13200.0,0.07093
2020-04-02,XEMBTC,5.54e-06,5.58e-06,5.3e-06,5.4e-06,132925.0,0.7268
2020-04-01,XEMBTC,5.54e-06,5.86e-06,5.54e-06,5.54e-06,23587.0,0.1341
2020-03-31,XEMBTC,5.76e-06,5.79e-06,5.54e-06,5.54e-06,3994.0,0.02248
2020-03-30,XEMBTC,5.98e-06,6.04e-06,5.65e-06,5.76e-06,25646.0,0.1496
2020-03-29,XEMBTC,5.95e-06,6.18e-06,5.88e-06,5.98e-06,90002.0,0.5483
2020-03-28,XEMBTC,5.88e-06,6.0e-06,5.71e-06,5.95e-06,45677.0,0.2637
2020-03-27,XEMBTC,5.85e-06,6.04e-06,5.7e-06,5.88e-06,14380.0,0.08555
2020-03-26,XEMBTC,5.51e-06,6.01e-06,5.51e-06,5.85e-06,77387.0,0.4435
2020-03-25,XEMBTC,5.8e-06,5.98e-06,5.51e-06,5.51e-06,50411.0,0.2849
2020-03-24,XEMBTC,6.01e-06,6.07e-06,5.8e-06,5.8e-06,300269.0,1.778
2020-03-23,XEMBTC,6.2e-06,6.39e-06,6.0e-06,6.01e-06,100988.0,0.6205
2020-03-22,XEMBTC,6.13e-06,6.35e-06,6.11e-06,6.2e-06,47391.0,0.2956
2020-03-21,XEMBTC,6.39e-06,6.59e-06,6.13e-06,6.13e-06,132609.0,0.8412
2020-03-20,XEMBTC,6.47e-06,6.59e-06,6.09e-06,6.39e-06,196633.0,1.229
2020-03-19,XEMBTC,6.48e-06,6.97e-06,6.33e-06,6.47e-06,215118.0,1.428
2020-03-18,XEMBTC,6.43e-06,6.72e-06,6.33e-06,6.48e-06,370429.0,2.384
2020-03-17,XEMBTC,6.47e-06,6.49e-06,6.21e-06,6.43e-06,190871.0,1.226
2020-03-16,XEMBTC,6.49e-06,6.96e-06,6.37e-06,6.47e-06,342261.0,2.277
2020-03-15,XEMBTC,6.47e-06,6.51e-06,6.18e-06,6.49e-06,63683.0,0.4101
2020-03-14,XEMBTC,6.32e-06,6.61e-06,6.2e-06,6.47e-06,284437.0,1.815
2020-03-13,XEMBTC,6.65e-06,7.0e-06,5.72e-06,6.32e-06,1096581.0,7.16
2020-03-12,XEMBTC,5.57e-06,6.7e-06,5.3e-06,6.65e-06,1404627.0,8.398
2020-03-11,XEMBTC,5.67e-06,5.77e-06,5.49e-06,5.57e-06,38454.0,0.2154
2020-03-10,XEMBTC,5.55e-06,5.79e-06,5.55e-06,5.67e-06,7414.0,0.04196
2020-03-09,XEMBTC,5.57e-06,5.91e-06,5.26e-06,5.55e-06,261558.0,1.455
2020-03-08,XEMBTC,6.11e-06,6.11e-06,5.37e-06,5.57e-06,369262.0,2.056
2020-03-07,XEMBTC,5.93e-06,6.11e-06,5.88e-06,6.11e-06,60856.0,0.3685
2020-03-06,XEMBTC,5.9e-06,5.94e-06,5.9e-06,5.93e-06,9488.0,0.05628
2020-03-05,XEMBTC,6.03e-06,6.1e-06,5.84e-06,5.9e-06,99187.0,0.5966
2020-03-04,XEMBTC,6.07e-06,6.16e-06,5.87e-06,6.03e-06,98684.0,0.5986
2020-03-03,XEMBTC,5.97e-06,6.18e-06,5.91e-06,6.07e-06,120110.0,0.7269
2020-03-02,XEMBTC,5.75e-06,6.15e-06,5.59e-06,5.97e-06,109964.0,0.6305
2020-03-01,XEMBTC,5.6e-06,5.88e-06,5.57e-06,5.75e-06,65449.0,0.381
2020-02-29,XEMBTC,5.77e-06,5.9e-06,5.6e-06,5.6e-06,147432.0,0.8494
2020-02-28,XEMBTC,5.53e-06,5.91e-06,5.41e-06,5.77e-06,504009.0,2.901
2020-02-27,XEMBTC,5.16e-06,6.0e-06,4.81e-06,5.53e-06,815001.0,4.544
2020-02-26,XEMBTC,5.41e-06,5.55e-06,5.0e-06,5.16e-06,588595.0,3.056
2020-02-25,XEMBTC,5.8e-06,5.85e-06,5.41e-06,5.41e-06,607473.0,3.472
2020-02-24,XEMBTC,6.1e-06,6.23e-06,5.8e-06,5.8e-06,280438.0,1.671
2020-02-23,XEMBTC,6.16e-06,6.25e-06,6.1e-06,6.1e-06,219890.0,1.365
2020-02-22,XEMBTC,6.29e-06,6.29e-06,6.16e-06,6.16e-06,43570.0,0.2723
2020-02-21,XEMBTC,6.15e-06,6.4e-06,6.02e-06,6.29e-06,124420.0,0.7796
2020-02-20,XEMBTC,6.29e-06,6.3e-06,5.86e-06,6.15e-06,172482.0,1.044
2020-02-19,XEMBTC,6.47e-06,6.47e-06,6.13e-06,6.29e-06,116868.0,0.7268
2020-02-18,XEMBTC,6.35e-06,6.61e-06,6.29e-06,6.47e-06,259362.0,1.659
2020-02-17,XEMBTC,6.66e-06,6.87e-06,6.23e-06,6.35e-06,245070.0,1.571
2020-02-16,XEMBTC,6.9e-06,7.08e-06,6.12e-06,6.66e-06,358696.0,2.444
2020-02-15,XEMBTC,7.01e-06,7.3e-06,6.74e-06,6.9e-06,83433.0,0.5916
