Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume JPY
2020-04-29,XEMJPY,4.35,4.465,4.302,4.41,10148344.3,44644267.62
2020-04-28,XEMJPY,4.25,4.35,4.213,4.35,5214794.2,22375383.97
2020-04-27,XEMJPY,4.24,4.4,4.19,4.25,9161808.0,39256294.09
2020-04-26,XEMJPY,4.16,4.245,4.148,4.24,4814821.4,20145555.64
2020-04-25,XEMJPY,4.14,4.21,4.075,4.16,5808390.0,24131887.6
2020-04-24,XEMJPY,4.019,4.298,4.019,4.14,15063259.2,62708386.34
2020-04-23,XEMJPY,3.91,4.09,3.881,4.019,8484212.8,33864476.9
2020-04-22,XEMJPY,3.824,3.979,3.821,3.91,4548344.4,17621892.14
2020-04-21,XEMJPY,3.91,3.91,3.821,3.824,559261.6,2148594.69
2020-04-20,XEMJPY,3.961,4.02,3.909,3.91,3280511.9,13002840.13
2020-04-19,XEMJPY,4.08,4.099,3.945,3.961,5744102.5,23039246.58
2020-04-18,XEMJPY,4.05,4.1,4.015,4.08,4863453.8,19749492.43
2020-04-17,XEMJPY,4.088,4.092,3.986,4.05,3983823.4,16085903.58
2020-04-16,XEMJPY,3.863,4.11,3.811,4.088,7494097.2,29754606.33
2020-04-15,XEMJPY,3.971,3.992,3.861,3.863,3698736.5,14556529.96
2020-04-14,XEMJPY,3.989,4.024,3.957,3.971,2514305.8,10016691.79
2020-04-13,XEMJPY,4.013,4.013,3.93,3.989,5403298.1,21466075.97
2020-04-12,XEMJPY,4.01,4.119,3.97,4.013,4299535.8,17367516.6
2020-04-11,XEMJPY,4.027,4.057,3.931,4.01,2715129.0,10855616.6
2020-04-10,XEMJPY,4.257,4.265,3.919,4.027,13873951.7,56357813.59
2020-04-09,XEMJPY,4.301,4.34,4.23,4.257,5272176.6,22551456.59
2020-04-08,XEMJPY,4.25,4.334,4.211,4.301,7843603.1,33488115.42
2020-04-07,XEMJPY,4.35,4.444,4.165,4.25,18448240.0,79916321.27
2020-04-06,XEMJPY,4,4.39,4,4.35,17770202.3,74188160.12
2020-04-05,XEMJPY,4.05,4.065,3.981,4,3398956.6,13646885.25
2020-04-04,XEMJPY,4.016,4.088,3.98,4.05,4914870.1,19810283.62
2020-04-03,XEMJPY,3.98,4.134,3.935,4.016,7465814.2,30057899.3
