Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume EUR
2020-04-29,BCHEUR,220.96,236,220.96,236,0.9605,225.9
2020-04-28,BCHEUR,222.36,222.36,220.96,220.96,0.1812,40.03
2020-04-27,BCHEUR,227.26,227.26,222.36,222.36,0.7688,171.63
2020-04-26,BCHEUR,223.19,227.26,223.19,227.26,0.9278,209.3
2020-04-25,BCHEUR,221.47,226.21,221.47,223.19,6.147,1379.09
2020-04-24,BCHEUR,220.56,223.27,217.12,221.47,2.562,566.83
2020-04-23,BCHEUR,218.7,224.36,218.7,220.56,15.12,3353.69
2020-04-22,BCHEUR,205.09,218.71,205.09,218.7,0.1443,31.56
2020-04-21,BCHEUR,205.15,207.14,202.79,205.09,14.38,2936.52
2020-04-20,BCHEUR,221.62,221.62,205.15,205.15,12.24,2603.26
2020-04-19,BCHEUR,196,221.62,196,221.62,0.1427,31.41
2020-04-18,BCHEUR,196,196,196,196,0.0,0.0
2020-04-17,BCHEUR,196,196,196,196,0.0,0.0
2020-04-16,BCHEUR,201,201,196,196,0.5188,102.58
2020-04-15,BCHEUR,204.73,204.73,201,201,0.2735,55.29
2020-04-14,BCHEUR,204.73,204.73,204.73,204.73,0.0,0.0
2020-04-13,BCHEUR,218.04,218.04,204.73,204.73,0.3409,71.42
2020-04-12,BCHEUR,207.76,218.04,207.76,218.04,0.494,107.72
2020-04-11,BCHEUR,218.19,222.43,207.76,207.76,1.864,404.3
2020-04-10,BCHEUR,220,221.21,216,218.19,5.448,1192.75
2020-04-09,BCHEUR,245.9,267.59,238,238,3.469,844.81
2020-04-08,BCHEUR,228.56,263.08,228.56,245.9,1.031,251.51
2020-04-07,BCHEUR,237.77,374,228.56,228.56,9.15,2303.83
2020-04-06,BCHEUR,212.55,237.77,212.55,237.77,2.529,588.17
2020-04-05,BCHEUR,221,223.95,210.79,212.55,9.941,2146.48
2020-04-04,BCHEUR,215.8,221,208,221,3.041,660.31
2020-04-03,BCHEUR,214.82,222.49,214.82,215.8,6.799,1506.14
2020-04-02,BCHEUR,206.45,227.19,203.71,214.82,6.26,1367.74
2020-04-01,BCHEUR,206.45,206.45,206.45,206.45,0.0,0.0
2020-03-31,BCHEUR,204.67,207.51,204.67,206.45,0.05415,11.21
2020-03-30,BCHEUR,206.93,206.93,195,204.67,0.9242,186.58
2020-03-29,BCHEUR,206.93,206.93,206.93,206.93,0.0,0.0
2020-03-28,BCHEUR,200.79,206.93,186.35,206.93,0.4445,83.63
2020-03-27,BCHEUR,204.99,234.98,200.79,200.79,0.6012,135.45
2020-03-26,BCHEUR,204.99,204.99,204.99,204.99,0.0,0.0
2020-03-25,BCHEUR,212.46,212.46,202.98,204.99,2.488,507.93
2020-03-24,BCHEUR,224.57,224.57,209.72,212.46,2.675,562.96
2020-03-23,BCHEUR,196.74,224.57,196.74,224.57,4.661,988.07
2020-03-22,BCHEUR,196.74,196.74,196.74,196.74,0.0,0.0
2020-03-21,BCHEUR,201.43,236.41,196.74,196.74,1.607,335.83
2020-03-20,BCHEUR,209.83,230.49,187.16,201.43,6.884,1364.71
2020-03-19,BCHEUR,181,219.25,180,209.83,19.31,3738.38
2020-03-18,BCHEUR,170.2,181,168.98,181,3.658,636.99
2020-03-17,BCHEUR,152.95,197.9,151.21,170.2,8.998,1508.56
2020-03-16,BCHEUR,162.5,162.5,139.14,152.95,8.51,1285.38
2020-03-15,BCHEUR,156.82,170,111,162.5,75.2,11822.54
2020-03-14,BCHEUR,158,162.54,156.32,156.82,16.56,2609.32
2020-03-13,BCHEUR,140,221.77,136,158,22.4,3804.18
2020-03-12,BCHEUR,235.54,235.54,140,140,2.387,425.05
2020-03-11,BCHEUR,256.49,256.49,224,235.54,12.08,2821.56
2020-03-10,BCHEUR,236.37,256.49,233.81,256.49,4.147,988.12
2020-03-09,BCHEUR,237,267.22,228.46,236.37,18.36,4387.45
2020-03-08,BCHEUR,294.33,294.33,237,237,18.73,4900.72
2020-03-07,BCHEUR,303.21,308.99,294.33,294.33,7.297,2183.65
2020-03-06,BCHEUR,300.71,313.26,300.71,303.21,2.633,817.1
2020-03-05,BCHEUR,290,337,290,300.71,14.77,4498.64
2020-03-04,BCHEUR,298.85,298.85,290,290,2.0,580.0
2020-03-03,BCHEUR,324.69,324.69,294.81,298.85,4.757,1514.25
2020-03-02,BCHEUR,282.69,336.84,282.69,324.69,0.1728,57.72
2020-03-01,BCHEUR,287.6,287.6,275,282.69,0.7657,216.18
2020-02-29,BCHEUR,286,287.6,286,287.6,0.2375,68.31
2020-02-28,BCHEUR,311.51,311.51,279,286,3.63,1026.34
2020-02-27,BCHEUR,308.85,311.51,308.85,311.51,0.09634,30.01
2020-02-26,BCHEUR,324,324,287,308.85,2.293,680.52
2020-02-25,BCHEUR,345,345,324,324,0.1284,43.03
2020-02-24,BCHEUR,365.58,378.45,345,345,0.5857,212.65
2020-02-23,BCHEUR,345,365.58,345,365.58,0.5735,209.67
2020-02-22,BCHEUR,355.06,355.06,345,345,2.616,902.47
2020-02-21,BCHEUR,388.52,388.52,355.06,355.06,0.3174,112.68
2020-02-20,BCHEUR,348.61,388.52,348.61,388.52,0.4389,169.03
2020-02-19,BCHEUR,401.25,401.25,348.61,348.61,86.0,32515.12
2020-02-18,BCHEUR,372.59,401.25,359.44,401.25,53.6,20293.13
2020-02-17,BCHEUR,356.77,379.3,341,372.59,44.36,16347.54
2020-02-16,BCHEUR,408.94,408.94,356.77,356.77,29.2,10847.83
2020-02-15,BCHEUR,457.12,514,392.01,408.94,47.03,19252.87
2020-02-14,BCHEUR,430.34,459,430.34,457.12,2.673,1187.05
2020-02-13,BCHEUR,438.82,438.82,425.42,430.34,10.02,4345.41
2020-02-12,BCHEUR,426.77,518,426.77,438.82,5.336,2459.85
2020-02-11,BCHEUR,414.45,428.54,406.38,426.77,17.16,7196.16
2020-02-10,BCHEUR,405.93,422,399.15,414.45,16.99,6892.37
2020-02-09,BCHEUR,409.85,420.6,403.76,405.93,34.89,14355.67
2020-02-08,BCHEUR,401.59,412.59,401.59,409.85,11.62,4758.92
2020-02-07,BCHEUR,400.44,411.66,397.56,401.59,5.157,2088.93
2020-02-06,BCHEUR,394.9,406.54,381.47,400.44,48.96,19556.59
2020-02-05,BCHEUR,339.11,400,339.11,394.9,138.42,51926.29
2020-02-04,BCHEUR,346.86,350.8,339.01,339.11,3.495,1195.52
2020-02-03,BCHEUR,347.16,351,346.23,346.86,7.767,2712.17
2020-02-02,BCHEUR,342,347.16,334,347.16,6.574,2249.96
2020-02-01,BCHEUR,339.09,348,337,342,4.432,1517.89
2020-01-31,BCHEUR,357,357,330.29,339.09,9.225,3123.9
2020-01-30,BCHEUR,348.86,359.89,338.67,357,42.6,14874.92
2020-01-29,BCHEUR,341.37,352.54,341.37,348.86,16.38,5746.19
2020-01-28,BCHEUR,326.7,347,326.7,341.37,49.08,16416.3
2020-01-27,BCHEUR,312.01,338.14,244,326.7,14.88,4845.04
2020-01-26,BCHEUR,287.04,315.03,287.04,312.01,10.13,3068.25
2020-01-25,BCHEUR,286.95,287.04,278.8,287.04,6.735,1889.29
2020-01-24,BCHEUR,287,288.19,277,286.95,19.53,5471.11
2020-01-23,BCHEUR,312.31,314,287,287,4.362,1299.34
2020-01-22,BCHEUR,303.87,319.39,303.87,312.31,4.642,1459.16
2020-01-21,BCHEUR,312.08,312.08,303.87,303.87,5.554,1701.72
