Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2020-04-29,BCHUSD,242.5,255.53,242.5,252.81,3.311,825.75
2020-04-28,BCHUSD,242.34,242.5,236.65,242.5,16.39,3932.78
2020-04-27,BCHUSD,241.5,243.94,236.01,242.34,16.84,4022.31
2020-04-26,BCHUSD,240.12,241.5,240.12,241.5,0.0373,9.007
2020-04-25,BCHUSD,237.27,240.12,237.27,240.12,1.245,296.79
2020-04-24,BCHUSD,235.37,242.01,235.16,237.27,28.07,6670.12
2020-04-23,BCHUSD,239.97,240.7,234.37,235.37,11.96,2860.45
2020-04-22,BCHUSD,239.97,239.97,239.97,239.97,0.0,0.0
2020-04-21,BCHUSD,219.34,239.97,219.34,239.97,0.5516,122.49
2020-04-20,BCHUSD,235.94,254.68,218.57,219.34,28.12,6352.35
2020-04-19,BCHUSD,235.31,261.73,232.06,235.94,11.87,2773.63
2020-04-18,BCHUSD,232.68,235.31,232.48,235.31,0.9559,223.11
2020-04-17,BCHUSD,230.33,234.99,229.59,232.68,21.99,5113.71
2020-04-16,BCHUSD,222.72,235,207,230.33,11.13,2570.33
2020-04-15,BCHUSD,222.72,222.72,222.72,222.72,0.0,0.0
2020-04-14,BCHUSD,241,241,219.46,222.72,1.171,258.53
2020-04-13,BCHUSD,235,241,219.98,241,0.2677,60.05
2020-04-12,BCHUSD,235,235,235,235,0.0,0.0
2020-04-11,BCHUSD,241,241,230.76,235,2.695,633.49
2020-04-10,BCHUSD,232.62,241,232.62,241,0.9829,234.91
2020-04-09,BCHUSD,268.01,268.01,268.01,268.01,0.0,0.0
2020-04-08,BCHUSD,241.38,276.63,241.38,268.01,0.4298,116.46
2020-04-07,BCHUSD,241.38,241.38,241.38,241.38,0.0,0.0
2020-04-06,BCHUSD,186,244.07,186,241.38,2.323,564.02
2020-04-05,BCHUSD,237,237,186,186,2.729,609.93
2020-04-04,BCHUSD,237,237,237,237,0.0,0.0
2020-04-03,BCHUSD,237.28,240.16,236.1,237,6.123,1451.21
2020-04-02,BCHUSD,210.85,237.29,210.85,237.28,2.642,621.43
2020-04-01,BCHUSD,210.85,210.85,210.85,210.85,0.0,0.0
2020-03-31,BCHUSD,210.85,210.85,210.85,210.85,0.0,0.0
2020-03-30,BCHUSD,210.85,210.85,210.85,210.85,0.0,0.0
2020-03-29,BCHUSD,225,225,210.85,210.85,0.5495,115.86
2020-03-28,BCHUSD,225,225,225,225,0.0,0.0
2020-03-27,BCHUSD,222,230,222,225,1.796,404.66
2020-03-26,BCHUSD,220.24,230,220.24,222,10.46,2338.17
2020-03-25,BCHUSD,223.35,229.99,216.48,220.24,5.017,1118.93
2020-03-24,BCHUSD,218.86,228.95,218.86,223.35,6.114,1367.54
2020-03-23,BCHUSD,209.13,226.21,201.98,218.86,0.5044,107.12
2020-03-22,BCHUSD,209.13,209.13,209.13,209.13,0.0,0.0
2020-03-21,BCHUSD,219.15,270,209.13,209.13,1.868,410.99
2020-03-20,BCHUSD,230,290,199.2,219.15,3.179,736.19
2020-03-19,BCHUSD,175.16,230,175.16,230,2.949,659.1
2020-03-18,BCHUSD,187.47,187.47,175.16,175.16,1.248,219.88
2020-03-17,BCHUSD,168.82,209.91,168.82,187.47,1.059,213.89
2020-03-16,BCHUSD,187.56,187.56,153.05,168.82,4.288,715.72
2020-03-15,BCHUSD,172.88,189.47,170.73,187.56,48.61,8620.58
2020-03-14,BCHUSD,179.06,179.06,172.56,172.88,10.52,1819.81
2020-03-13,BCHUSD,154.51,179.06,154.51,179.06,0.0999,17.89
2020-03-12,BCHUSD,265.05,265.05,154.51,154.51,3.137,620.23
2020-03-11,BCHUSD,273.41,273.41,255,265.05,6.36,1678.42
2020-03-10,BCHUSD,269.72,273.41,269.72,273.41,0.03377,9.234
2020-03-09,BCHUSD,270.99,276.14,259,269.72,2.125,567.95
2020-03-08,BCHUSD,329.18,329.18,270.99,270.99,12.64,3867.14
2020-03-07,BCHUSD,345.02,348.69,329.18,329.18,0.1831,61.97
2020-03-06,BCHUSD,334.45,350,334.45,345.02,0.2119,73.7
2020-03-05,BCHUSD,342.13,342.13,334.45,334.45,0.02387,7.982
2020-03-04,BCHUSD,342.13,342.13,342.13,342.13,0.0,0.0
2020-03-03,BCHUSD,342.13,342.13,342.13,342.13,0.0,0.0
2020-03-02,BCHUSD,306,342.13,306,342.13,0.2572,88.0
2020-03-01,BCHUSD,306,306,306,306,0.0,0.0
2020-02-29,BCHUSD,306,306,306,306,0.0,0.0
2020-02-28,BCHUSD,321.21,321.21,306,306,0.1578,48.55
2020-02-27,BCHUSD,322,330.45,311.79,321.21,18.17,5884.89
2020-02-26,BCHUSD,352,352,322,322,0.227,74.56
2020-02-25,BCHUSD,394.68,394.68,352,352,0.2813,100.98
2020-02-24,BCHUSD,394.68,394.68,394.68,394.68,0.0,0.0
2020-02-23,BCHUSD,376.01,400.01,376.01,394.68,26.64,10382.78
2020-02-22,BCHUSD,376.01,376.01,376.01,376.01,0.0,0.0
2020-02-21,BCHUSD,376.01,376.01,376.01,376.01,0.0,0.0
2020-02-20,BCHUSD,376.01,376.01,376.01,376.01,0.0,0.0
2020-02-19,BCHUSD,418.89,418.89,376.01,376.01,2.046,781.94
2020-02-18,BCHUSD,409.76,457,404.42,418.89,1.233,554.6
2020-02-17,BCHUSD,401.33,410.53,372.6,409.76,30.97,12175.73
2020-02-16,BCHUSD,437.89,455,385.08,401.33,82.9,33946.26
2020-02-15,BCHUSD,495.45,495.45,261,437.89,71.31,31933.14
2020-02-14,BCHUSD,468.5,496.9,465.52,495.45,14.79,7272.57
2020-02-13,BCHUSD,479,479,461.37,468.5,1.379,645.82
2020-02-12,BCHUSD,463.28,479,463.28,479,0.1012,48.27
2020-02-11,BCHUSD,454.66,469,450,463.28,1.856,847.79
2020-02-10,BCHUSD,448,454.66,448,454.66,0.7948,360.36
2020-02-09,BCHUSD,444.09,459.47,444.09,448,15.07,6918.83
2020-02-08,BCHUSD,436.77,449.42,436.77,444.09,7.852,3508.48
2020-02-07,BCHUSD,441.59,457.86,434.34,436.77,10.65,4701.88
2020-02-06,BCHUSD,442.47,442.47,421.59,441.59,2.203,934.46
2020-02-05,BCHUSD,379,480,379,442.47,24.09,10287.48
2020-02-04,BCHUSD,389.22,389.22,378,379,0.04,15.14
2020-02-03,BCHUSD,379,389.22,379,389.22,6.184,2404.99
