Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2020-04-29,BTCEUR,7184.29,7646.19,7162.19,7570,17.53,129247.18
2020-04-28,BTCEUR,7191.54,7299.99,7102.76,7184.29,146.53,1054958.47
2020-04-27,BTCEUR,7062.94,7264.69,7062.94,7191.54,137.58,990739.76
2020-04-26,BTCEUR,7011.22,7199.94,6978.16,7062.94,39.16,278582.81
2020-04-25,BTCEUR,6938.85,7100,6901.65,7011.22,7.372,51673.31
2020-04-24,BTCEUR,6984.83,7131.68,6500,6938.85,116.48,817315.7
2020-04-23,BTCEUR,6592.5,7058.99,6511.38,6984.83,171.58,1150498.22
2020-04-22,BTCEUR,6350.18,6675.19,6305.33,6592.5,103.8,675632.11
2020-04-21,BTCEUR,6315.75,6488.18,6302.4,6350.18,79.24,508157.29
2020-04-20,BTCEUR,6609.85,6699.05,6309.38,6315.75,123.04,803660.47
2020-04-19,BTCEUR,6686.47,6753.54,6545.11,6609.85,7.764,51454.59
2020-04-18,BTCEUR,6534.97,6749,6481.83,6686.47,7.601,50644.02
2020-04-17,BTCEUR,6555.59,6799,6466.31,6534.97,112.05,745567.55
2020-04-16,BTCEUR,6100.74,6605.85,6001.17,6555.59,144.84,942290.14
2020-04-15,BTCEUR,6283.79,6369.19,6080,6100.74,121.07,759514.59
2020-04-14,BTCEUR,6284.29,6435.18,6260.01,6283.79,104.11,660198.19
2020-04-13,BTCEUR,6402.91,6402.91,6170.03,6284.29,14.52,90508.99
2020-04-12,BTCEUR,6354.08,6662.23,6301.38,6402.91,15.65,101048.25
2020-04-11,BTCEUR,6329.29,6452.7,6260.01,6354.08,8.16,52283.16
2020-04-10,BTCEUR,6353.71,6487.86,6250,6329.29,150.16,964295.42
2020-04-09,BTCEUR,6799.89,6878.77,6653.66,6748.41,114.83,779425.03
2020-04-08,BTCEUR,6710.27,6893.09,6603.09,6799.89,57.63,389939.46
2020-04-07,BTCEUR,6800,7099.99,6550,6710.27,79.28,544761.07
2020-04-06,BTCEUR,6284.1,6800,6261.54,6800,101.52,675311.32
2020-04-05,BTCEUR,6342.69,6397.4,6218.71,6284.1,11.85,74593.19
2020-04-04,BTCEUR,6275.75,6445.45,6206.33,6342.69,10.62,67029.31
2020-04-03,BTCEUR,6283.02,6502.31,6200,6275.75,141.31,909378.02
2020-04-02,BTCEUR,6097.66,6640.45,5979.33,6283.02,99.19,619987.68
2020-04-01,BTCEUR,5860.17,6097.66,5668.67,6097.66,134.11,780997.51
2020-03-31,BTCEUR,5886.86,6043.87,5805.12,5860.17,89.06,527161.76
2020-03-30,BTCEUR,5336,5995.19,5336,5886.86,74.63,435560.19
2020-03-29,BTCEUR,5594.63,5751.92,5336,5336,13.76,76461.77
2020-03-28,BTCEUR,5805.76,5877.77,5533.76,5594.63,15.03,86095.07
2020-03-27,BTCEUR,6201,6312.41,5800,5805.76,156.24,961815.2
2020-03-26,BTCEUR,6209.04,6288,6123.44,6153.87,4.396,27238.55
2020-03-25,BTCEUR,6278.69,6500,6054.32,6209.04,98.23,608662.39
2020-03-24,BTCEUR,6042.58,6399.98,5982.2,6278.69,114.34,720189.69
2020-03-23,BTCEUR,5508.85,6140.92,5421.71,6042.58,140.11,829948.02
2020-03-22,BTCEUR,5815.79,6069,5505.28,5508.85,11.17,64819.2
2020-03-21,BTCEUR,5800.81,6040,5600,5815.79,8.717,51011.11
2020-03-20,BTCEUR,5849.44,6663.99,5465,5800.81,102.01,633358.39
2020-03-19,BTCEUR,4942.63,6112.8,4897.01,5849.44,142.57,790308.81
2020-03-18,BTCEUR,5089,5350,4656.59,4942.63,222.81,1087373.34
2020-03-17,BTCEUR,4676.91,5145.43,4562.03,5089,167.82,826711.34
2020-03-16,BTCEUR,4814.75,5145.43,4120,4676.91,102.96,482516.03
2020-03-15,BTCEUR,4777.08,5498.67,4680.13,4814.75,16.01,78424.13
2020-03-14,BTCEUR,5166.62,5278.16,4700,4777.08,19.09,94767.03
