Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2020-04-29,ETHUSD,197.28,210,194,210,33.36,6703.12
2020-04-28,ETHUSD,195.87,198.41,193.12,197.28,150.09,29377.37
2020-04-27,ETHUSD,199.65,199.65,190.01,195.87,44.08,8536.81
2020-04-26,ETHUSD,194.8,199.65,191,199.65,16.1,3129.87
2020-04-25,ETHUSD,187.5,195.17,187.5,194.8,23.89,4645.76
2020-04-24,ETHUSD,190,190.3,178.01,187.5,9.965,1855.24
2020-04-23,ETHUSD,183.49,190,181.34,190,10.78,2028.06
2020-04-22,ETHUSD,172.5,183.49,172.5,183.49,5.086,929.65
2020-04-21,ETHUSD,169.85,183.49,169.85,172.5,3.193,559.66
2020-04-20,ETHUSD,180.63,185,169.85,169.85,19.09,3410.01
2020-04-19,ETHUSD,188,188,180.63,180.63,1.039,188.6
2020-04-18,ETHUSD,169.85,188.6,169.85,188,17.86,3222.96
2020-04-17,ETHUSD,170,172.9,164.38,169.85,26.81,4548.29
2020-04-16,ETHUSD,166.99,173,157.07,170,40.47,6726.42
2020-04-15,ETHUSD,166.99,166.99,166.99,166.99,0.0,0.0
2020-04-14,ETHUSD,168.69,168.69,166.99,166.99,0.3203,53.49
2020-04-13,ETHUSD,163.5,168.69,154.52,168.69,5.58,887.06
2020-04-12,ETHUSD,158,172,158,163.5,0.9898,164.94
2020-04-11,ETHUSD,158,158,158,158,1.198,189.27
2020-04-10,ETHUSD,170,170,159.42,159.42,4.098,674.84
2020-04-09,ETHUSD,169.74,170,167.48,170,0.1493,25.14
2020-04-08,ETHUSD,163.04,169.74,163.04,169.74,4.422,748.15
2020-04-07,ETHUSD,170,177.78,162.73,163.04,13.52,2322.37
2020-04-06,ETHUSD,141.98,170,141.98,170,17.29,2817.09
2020-04-05,ETHUSD,141.98,141.98,141.98,141.98,0.0,0.0
2020-04-04,ETHUSD,138.5,141.98,138.5,141.98,0.5618,79.77
2020-04-03,ETHUSD,144,144,134.56,138.5,9.389,1325.22
2020-04-02,ETHUSD,132,149,132,144,37.61,5375.29
2020-04-01,ETHUSD,138.66,138.66,132,132,14.09,1859.64
2020-03-31,ETHUSD,133.8,138.66,132.44,138.66,13.06,1742.64
2020-03-30,ETHUSD,128.82,136,128.82,133.8,29.02,3879.99
2020-03-29,ETHUSD,131,138.99,128.82,128.82,22.84,2995.58
2020-03-28,ETHUSD,131.11,133,131,131,4.091,539.57
2020-03-27,ETHUSD,139,155,131.11,131.11,20.08,2952.37
2020-03-26,ETHUSD,136.46,139,136.46,139,1.768,244.07
2020-03-25,ETHUSD,137,141.33,134.12,136.46,30.31,4129.87
2020-03-24,ETHUSD,135.82,140,132.96,137,30.65,4240.92
2020-03-23,ETHUSD,129,135.82,122.5,135.82,21.56,2780.64
2020-03-22,ETHUSD,136.33,136.33,123.88,129,5.07,646.71
2020-03-21,ETHUSD,154.36,154.36,121.56,136.33,13.14,1712.87
2020-03-20,ETHUSD,142.45,156.4,130,154.36,12.07,1724.54
2020-03-19,ETHUSD,122.5,142.45,120.24,142.45,23.09,3030.03
2020-03-18,ETHUSD,117.65,122.5,112.99,122.5,2.983,346.26
2020-03-17,ETHUSD,109,135.67,109,117.65,3.083,373.82
2020-03-16,ETHUSD,137.93,137.93,106,109,17.55,1985.93
2020-03-15,ETHUSD,125.93,139.99,122.01,137.93,2.13,285.54
2020-03-14,ETHUSD,134.74,134.74,125.93,125.93,1.698,213.81
2020-03-13,ETHUSD,110,147.99,91.5,134.74,21.1,2492.66
2020-03-12,ETHUSD,186.87,208.54,110,110,49.28,7012.35
