Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2020-04-29,LSKUSD,1.29,1.29,1.29,1.29,28.64,36.94
2020-04-28,LSKUSD,1.03,1.29,1.03,1.29,1124.08,1405.32
2020-04-27,LSKUSD,1.03,1.03,1.03,1.03,0.0,0.0
2020-04-26,LSKUSD,1.03,1.03,1.03,1.03,0.0,0.0
2020-04-25,LSKUSD,1.03,1.03,1.03,1.03,0.0,0.0
2020-04-24,LSKUSD,1.03,1.03,1.03,1.03,0.0,0.0
2020-04-23,LSKUSD,1.03,1.03,1.03,1.03,0.0,0.0
2020-04-22,LSKUSD,1.01,1.03,1.01,1.03,70.14,72.24
2020-04-21,LSKUSD,1.01,1.01,1.01,1.01,0.0,0.0
2020-04-20,LSKUSD,1.19,1.19,1.01,1.01,227.19,229.46
2020-04-19,LSKUSD,1.19,1.19,1.19,1.19,0.0,0.0
2020-04-18,LSKUSD,1.19,1.19,1.19,1.19,0.0,0.0
2020-04-17,LSKUSD,1.18,1.19,1.18,1.19,110.53,131.53
2020-04-16,LSKUSD,1.1,1.18,1.1,1.18,27.86,32.87
2020-04-15,LSKUSD,0.96,1.1,0.96,1.1,192.12,205.79
2020-04-14,LSKUSD,0.96,0.96,0.96,0.96,0.0,0.0
2020-04-13,LSKUSD,1.04,1.04,0.96,0.96,5.495,5.275
2020-04-12,LSKUSD,1.04,1.04,1.04,1.04,0.0,0.0
2020-04-11,LSKUSD,0.94,1.04,0.93,1.04,71.96,67.95
2020-04-10,LSKUSD,1.01,1.01,1.01,1.01,0.0,0.0
2020-04-09,LSKUSD,1.01,1.01,1.01,1.01,0.0,0.0
2020-04-08,LSKUSD,1.1,1.1,1,1.01,126.85,130.4
2020-04-07,LSKUSD,0.97,1.1,0.97,1.1,162.9,179.19
2020-04-06,LSKUSD,0.97,0.97,0.97,0.97,0.0,0.0
2020-04-05,LSKUSD,1.09,1.09,0.97,0.97,129.0,125.13
2020-04-04,LSKUSD,1,1.09,0.97,1.09,19.53,20.04
2020-04-03,LSKUSD,1,1,1,1,0.0,0.0
2020-04-02,LSKUSD,1.07,1.07,1,1,21.3,21.3
2020-04-01,LSKUSD,1.07,1.07,1.07,1.07,0.0,0.0
2020-03-31,LSKUSD,1.07,1.07,1.07,1.07,0.0,0.0
2020-03-30,LSKUSD,0.92,1.07,0.92,1.07,63.97,67.73
2020-03-29,LSKUSD,1.01,1.01,0.92,0.92,184.42,169.67
2020-03-28,LSKUSD,1.01,1.01,1.01,1.01,0.0,0.0
2020-03-27,LSKUSD,1.01,1.01,1.01,1.01,0.0,0.0
2020-03-26,LSKUSD,1.01,1.01,1.01,1.01,0.0,0.0
2020-03-25,LSKUSD,1.01,1.01,1.01,1.01,5.057,5.108
2020-03-24,LSKUSD,0.97,1.01,0.97,1.01,5.513,5.568
2020-03-23,LSKUSD,1.14,1.14,0.97,0.97,16.62,16.12
2020-03-22,LSKUSD,1.15,1.15,0.95,1.14,117.37,130.77
2020-03-21,LSKUSD,1.15,1.15,1.15,1.15,0.0,0.0
2020-03-20,LSKUSD,1.2,1.23,1.15,1.15,405.7,494.43
2020-03-19,LSKUSD,0.81,1.2,0.81,1.2,380.93,420.23
2020-03-18,LSKUSD,0.85,0.96,0.81,0.81,128.39,118.0
2020-03-17,LSKUSD,0.75,0.88,0.75,0.85,57.77,50.6
2020-03-16,LSKUSD,0.78,0.82,0.75,0.75,59.28,45.11
2020-03-15,LSKUSD,0.78,0.78,0.78,0.78,0.0,0.0
2020-03-14,LSKUSD,0.78,0.78,0.78,0.78,0.0,0.0
2020-03-13,LSKUSD,0.66,1.28,0.56,0.78,343.85,277.47
2020-03-12,LSKUSD,1.11,1.11,0.66,0.66,231.68,186.2
2020-03-11,LSKUSD,1.11,1.11,1.11,1.11,0.0,0.0
2020-03-10,LSKUSD,1.11,1.11,1.11,1.11,0.0,0.0
2020-03-09,LSKUSD,1.3,1.3,1.11,1.11,9.0,9.99
2020-03-08,LSKUSD,1.38,1.38,1.3,1.3,218.37,283.88
2020-03-07,LSKUSD,1.3,1.38,1.3,1.38,22.76,31.41
2020-03-06,LSKUSD,1.3,1.3,1.3,1.3,0.0,0.0
2020-03-05,LSKUSD,1.3,1.3,1.3,1.3,0.0,0.0
2020-03-04,LSKUSD,1.14,1.3,1.14,1.3,27.04,35.15
2020-03-03,LSKUSD,1.14,1.14,1.14,1.14,0.0,0.0
2020-03-02,LSKUSD,1.14,1.14,1.14,1.14,0.0,0.0
2020-03-01,LSKUSD,1.14,1.14,1.14,1.14,0.0,0.0
2020-02-29,LSKUSD,1.14,1.14,1.14,1.14,0.0,0.0
2020-02-28,LSKUSD,1.49,1.49,1.14,1.14,66.98,77.08
2020-02-27,LSKUSD,1.35,1.49,1.35,1.49,56.65,84.35
2020-02-26,LSKUSD,1.34,1.52,1.2,1.35,1296.62,1691.39
2020-02-25,LSKUSD,1.67,1.67,1.34,1.34,355.93,519.97
2020-02-24,LSKUSD,1.67,1.67,1.67,1.67,128.14,214.0
2020-02-23,LSKUSD,1.67,1.67,1.67,1.67,0.0,0.0
2020-02-22,LSKUSD,1.67,1.67,1.39,1.67,99.44,150.95
2020-02-21,LSKUSD,1.33,1.67,1.33,1.67,3.018,5.04
2020-02-20,LSKUSD,1.9,1.9,1.33,1.33,400.0,608.96
2020-02-19,LSKUSD,1.71,1.9,1.71,1.9,146.62,266.11
2020-02-18,LSKUSD,1.71,1.71,1.71,1.71,0.0,0.0
2020-02-17,LSKUSD,1.73,1.74,1.71,1.71,84.93,146.6
2020-02-16,LSKUSD,1.98,1.98,1.73,1.73,253.95,442.05
2020-02-15,LSKUSD,2.2,2.2,1.98,1.98,15.95,31.69
2020-02-14,LSKUSD,1.73,2.2,1.73,2.2,156.51,316.86
2020-02-13,LSKUSD,2.16,2.16,1.73,1.73,138.91,264.22
2020-02-12,LSKUSD,2.24,2.24,2.16,2.16,25.29,55.38
2020-02-11,LSKUSD,1.99,2.24,1.99,2.24,394.16,841.79
2020-02-10,LSKUSD,2.1,2.5,1.12,1.99,3441.18,6584.32
2020-02-09,LSKUSD,1.51,2.1,1.38,2.1,2490.08,4859.29
2020-02-08,LSKUSD,1.32,1.69,1.32,1.51,1133.1,1851.96
2020-02-07,LSKUSD,1.31,1.4,1.31,1.32,670.25,937.87
2020-02-06,LSKUSD,1.31,1.45,1.31,1.31,75.8,101.88
2020-02-05,LSKUSD,1.23,1.52,1.23,1.31,1724.2,2323.96
2020-02-04,LSKUSD,1.06,1.23,1.06,1.23,148.95,182.69
2020-02-03,LSKUSD,1.06,1.06,1.06,1.06,0.0,0.0
2020-02-02,LSKUSD,1.06,1.06,1.06,1.06,71.37,75.65
2020-02-01,LSKUSD,0.93,1.06,0.93,1.06,48.07,50.95
2020-01-31,LSKUSD,1.1,1.1,0.93,0.93,88.13,83.67
2020-01-30,LSKUSD,0.88,1.1,0.88,1.1,931.42,921.67
2020-01-29,LSKUSD,0.8,0.88,0.8,0.88,67.3,57.75
2020-01-28,LSKUSD,0.87,0.87,0.8,0.8,6.315,5.052
2020-01-27,LSKUSD,0.88,0.88,0.87,0.87,396.69,347.1
2020-01-26,LSKUSD,0.6,0.88,0.6,0.88,5.898,5.19
2020-01-25,LSKUSD,0.8,0.8,0.56,0.6,106.05,70.18
2020-01-24,LSKUSD,0.75,0.89,0.7,0.8,53.49,42.07
2020-01-23,LSKUSD,0.3,0.8,0.3,0.75,304.93,231.83
2020-01-22,LSKUSD,0.79,0.79,0.25,0.3,1123.22,447.84
2020-01-21,LSKUSD,0.79,0.79,0.65,0.79,23.95,16.45
2020-01-20,LSKUSD,0.64,0.79,0.64,0.79,9.747,7.7
2020-01-19,LSKUSD,0.64,0.64,0.64,0.64,0.0,0.0
2020-01-18,LSKUSD,0.64,0.64,0.64,0.64,0.0,0.0
2020-01-17,LSKUSD,0.64,0.64,0.64,0.64,0.0,0.0
2020-01-16,LSKUSD,0.64,0.64,0.64,0.64,0.0,0.0
2020-01-15,LSKUSD,0.64,0.64,0.64,0.64,437.77,280.17
2020-01-14,LSKUSD,0.61,0.72,0.61,0.64,53.89,35.49
2020-01-13,LSKUSD,0.61,0.61,0.61,0.61,0.0,0.0
2020-01-12,LSKUSD,0.65,0.65,0.61,0.61,49.18,30.0
2020-01-11,LSKUSD,0.65,0.65,0.65,0.65,0.0,0.0
2020-01-10,LSKUSD,0.65,0.65,0.65,0.65,0.0,0.0
2020-01-09,LSKUSD,0.55,0.72,0.55,0.65,499.24,346.62
2020-01-08,LSKUSD,0.55,0.55,0.55,0.55,0.0,0.0
2020-01-07,LSKUSD,0.58,0.58,0.55,0.55,10.27,5.65
2020-01-06,LSKUSD,0.56,0.58,0.56,0.58,28.18,16.15
2020-01-05,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2020-01-04,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2020-01-03,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2020-01-02,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2020-01-01,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2019-12-31,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2019-12-30,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2019-12-29,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2019-12-28,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2019-12-27,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2019-12-26,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2019-12-25,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2019-12-24,LSKUSD,0.56,0.56,0.56,0.56,0.0,0.0
2019-12-23,LSKUSD,0.71,0.71,0.56,0.56,483.37,270.69
2019-12-22,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-21,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-20,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-19,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-18,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-17,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-16,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-15,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-14,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-13,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-12,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-11,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-10,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-09,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-08,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-07,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-06,LSKUSD,0.71,0.71,0.71,0.71,0.0,0.0
2019-12-05,LSKUSD,0.48,0.71,0.48,0.71,9.507,6.75
2019-12-04,LSKUSD,0.48,0.48,0.48,0.48,0.0,0.0
2019-12-03,LSKUSD,0.73,0.73,0.48,0.48,58.46,28.52
2019-12-02,LSKUSD,0.73,0.73,0.73,0.73,0.0,0.0
2019-12-01,LSKUSD,0.73,0.73,0.73,0.73,0.0,0.0
2019-11-30,LSKUSD,0.73,0.73,0.73,0.73,0.0,0.0
2019-11-29,LSKUSD,0.73,0.73,0.73,0.73,0.0,0.0
2019-11-28,LSKUSD,0.73,0.73,0.73,0.73,0.0,0.0
2019-11-27,LSKUSD,0.73,0.73,0.73,0.73,0.0,0.0
2019-11-26,LSKUSD,0.73,0.73,0.73,0.73,0.0,0.0
2019-11-25,LSKUSD,0.73,0.73,0.73,0.73,0.0,0.0
2019-11-24,LSKUSD,0.73,0.73,0.73,0.73,45.22,33.01
2019-11-23,LSKUSD,0.73,0.73,0.73,0.73,0.0,0.0
2019-11-22,LSKUSD,0.73,0.73,0.73,0.73,34.95,25.51
2019-11-21,LSKUSD,0.85,0.85,0.73,0.73,118.16,86.26
2019-11-20,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-11-19,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-11-18,LSKUSD,0.75,0.85,0.75,0.85,25.25,21.37
2019-11-17,LSKUSD,0.83,0.83,0.75,0.75,15.82,11.87
2019-11-16,LSKUSD,0.83,0.83,0.83,0.83,0.0,0.0
2019-11-15,LSKUSD,0.83,0.83,0.83,0.83,0.0,0.0
2019-11-14,LSKUSD,0.83,0.83,0.83,0.83,0.0,0.0
2019-11-13,LSKUSD,0.83,0.83,0.83,0.83,0.0,0.0
2019-11-12,LSKUSD,0.83,0.83,0.83,0.83,0.0,0.0
2019-11-11,LSKUSD,0.83,0.83,0.83,0.83,0.0,0.0
2019-11-10,LSKUSD,0.83,0.83,0.83,0.83,0.0,0.0
2019-11-09,LSKUSD,0.73,0.83,0.73,0.83,7.027,5.833
2019-11-08,LSKUSD,0.85,0.85,0.73,0.73,75.77,55.31
2019-11-07,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-11-06,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-11-05,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-11-04,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-11-03,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-11-02,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-11-01,LSKUSD,0.52,0.85,0.52,0.85,18.4,15.64
2019-10-31,LSKUSD,0.52,0.52,0.52,0.52,0.0,0.0
2019-10-30,LSKUSD,0.52,0.52,0.52,0.52,0.0,0.0
2019-10-29,LSKUSD,0.52,0.52,0.52,0.52,0.0,0.0
2019-10-28,LSKUSD,0.52,0.52,0.52,0.52,0.0,0.0
2019-10-27,LSKUSD,0.65,0.65,0.52,0.52,40.0,20.8
2019-10-26,LSKUSD,0.65,0.65,0.65,0.65,0.0,0.0
2019-10-25,LSKUSD,0.65,0.65,0.65,0.65,0.0,0.0
2019-10-24,LSKUSD,0.65,0.65,0.65,0.65,35.19,22.87
2019-10-23,LSKUSD,0.85,0.85,0.29,0.65,1872.48,837.5
2019-10-22,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-10-21,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-10-20,LSKUSD,0.85,0.85,0.85,0.85,207.06,176.0
2019-10-19,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-10-18,LSKUSD,0.85,0.85,0.82,0.85,286.17,236.76
2019-10-17,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-10-16,LSKUSD,0.87,0.87,0.85,0.85,29.41,25.0
2019-10-15,LSKUSD,0.87,0.87,0.87,0.87,0.0,0.0
2019-10-14,LSKUSD,0.79,0.87,0.79,0.87,92.52,80.49
2019-10-13,LSKUSD,0.99,0.99,0.79,0.79,15.23,12.03
2019-10-12,LSKUSD,0.99,0.99,0.99,0.99,0.0,0.0
2019-10-11,LSKUSD,0.95,0.99,0.95,0.99,27.39,26.92
2019-10-10,LSKUSD,0.74,0.96,0.74,0.95,13.41,12.81
2019-10-09,LSKUSD,0.85,0.85,0.74,0.74,36.55,27.05
2019-10-08,LSKUSD,0.85,0.85,0.85,0.85,0.0,0.0
2019-10-07,LSKUSD,0.82,0.85,0.82,0.85,207.65,176.5
2019-10-06,LSKUSD,0.82,0.82,0.82,0.82,0.0,0.0
2019-10-05,LSKUSD,0.82,0.82,0.82,0.82,0.0,0.0
2019-10-04,LSKUSD,0.82,0.82,0.82,0.82,0.0,0.0
2019-10-03,LSKUSD,0.82,0.82,0.82,0.82,0.0,0.0
2019-10-02,LSKUSD,0.82,0.82,0.82,0.82,0.0,0.0
