Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2020-04-29,LTCEUR,42.4,43.64,42.37,43.6,54.85,2367.81
2020-04-28,LTCEUR,41.16,42.4,40.27,42.4,342.66,14086.49
2020-04-27,LTCEUR,41.32,41.79,40.48,41.16,96.59,3952.11
2020-04-26,LTCEUR,41,41.85,40.83,41.32,413.51,17153.48
2020-04-25,LTCEUR,40.79,42,40.79,41,4.867,201.51
2020-04-24,LTCEUR,40.31,41.76,40.31,40.79,13.54,555.93
2020-04-23,LTCEUR,38.66,40.31,38.21,40.31,83.82,3317.43
2020-04-22,LTCEUR,37.93,39,37.93,38.66,73.2,2793.87
2020-04-21,LTCEUR,37.44,37.93,37.44,37.93,1.748,66.24
2020-04-20,LTCEUR,39.23,40.11,37.35,37.44,333.88,12888.48
2020-04-19,LTCEUR,41,41,39.23,39.23,10.47,418.52
2020-04-18,LTCEUR,39.5,41,38.91,41,15.09,616.48
2020-04-17,LTCEUR,39.15,39.85,39,39.5,49.53,1954.98
2020-04-16,LTCEUR,36.58,39.15,36,39.15,106.86,3896.95
2020-04-15,LTCEUR,37.79,37.97,36.58,36.58,44.79,1664.33
2020-04-14,LTCEUR,40.46,40.74,37.13,37.79,7.422,289.28
2020-04-13,LTCEUR,40.23,41.44,37.05,40.46,350.29,13091.22
2020-04-12,LTCEUR,38.79,40.23,38.79,40.23,23.63,945.95
2020-04-11,LTCEUR,38.8,40.17,38.79,38.79,89.97,3522.89
2020-04-10,LTCEUR,39.24,39.52,38,38.8,317.38,12455.79
2020-04-09,LTCEUR,42.49,42.96,42.3,42.78,62.66,2662.31
2020-04-08,LTCEUR,40.49,43.43,40.49,42.49,108.79,4632.73
2020-04-07,LTCEUR,41.43,44,40.49,40.49,481.24,20718.75
2020-04-06,LTCEUR,37.11,41.43,37.11,41.43,40.22,1597.39
2020-04-05,LTCEUR,37.68,37.87,37.04,37.11,9.205,347.27
2020-04-04,LTCEUR,37.69,38.12,37.2,37.68,15.55,587.43
2020-04-03,LTCEUR,36.81,38.45,36.81,37.69,18.68,703.28
2020-04-02,LTCEUR,39.69,39.69,36.11,36.81,43.01,1611.51
2020-04-01,LTCEUR,36.46,39.69,35,39.69,23.1,826.48
2020-03-31,LTCEUR,35.35,36.46,35.35,36.46,0.14,5.104
2020-03-30,LTCEUR,34.04,43.54,34.04,35.35,15.53,614.75
2020-03-29,LTCEUR,34.5,34.66,34.04,34.04,137.29,4749.24
2020-03-28,LTCEUR,35.44,35.44,34.5,34.5,2.629,90.78
2020-03-27,LTCEUR,36.14,43.54,35.44,35.44,48.91,2054.44
2020-03-26,LTCEUR,36.14,36.14,36.14,36.14,0.0,0.0
2020-03-25,LTCEUR,37.27,40,35.96,36.14,366.36,13396.4
2020-03-24,LTCEUR,35.71,39.93,35.71,37.27,342.09,12587.38
2020-03-23,LTCEUR,34,36.91,34,35.71,96.86,3490.14
