Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2020-04-29,BCHUSD,224.06,243.66,224.06,243.66,0.0004541,0.1106
2020-04-28,BCHUSD,236.9,242.48,224.06,224.06,0.08418,20.25
2020-04-27,BCHUSD,240.99,246.74,236.9,236.9,0.2216,52.52
2020-04-26,BCHUSD,232.18,240.99,232.18,240.99,0.112,26.9
2020-04-25,BCHUSD,235.66,257.18,229.5,232.18,0.07023,17.39
2020-04-24,BCHUSD,259.68,259.68,233.2,235.66,0.06936,16.82
2020-04-23,BCHUSD,217.79,260,217.79,259.68,1.346,318.96
2020-04-22,BCHUSD,223.61,223.61,217.65,217.79,0.005319,1.158
2020-04-21,BCHUSD,222,223.61,218,223.61,1.055,231.33
2020-04-20,BCHUSD,234.62,234.62,221.72,222,0.2958,66.81
2020-04-19,BCHUSD,243.55,243.55,234.62,234.62,0.09702,22.76
2020-04-18,BCHUSD,241.29,243.55,240.9,243.55,0.05019,12.12
2020-04-17,BCHUSD,241.29,241.29,241.29,241.29,0.0,0.0
2020-04-16,BCHUSD,228.16,243.4,225,241.29,30.85,7041.49
2020-04-15,BCHUSD,228.16,228.64,228.16,228.16,0.6447,147.14
2020-04-14,BCHUSD,231,237.74,228.16,228.16,2.773,632.74
2020-04-13,BCHUSD,245.76,245.76,225,231,2.81,646.91
2020-04-12,BCHUSD,242.8,245.76,233.88,245.76,0.2621,62.75
2020-04-11,BCHUSD,236.14,246.99,230,242.8,4.548,1084.08
2020-04-10,BCHUSD,259.17,259.57,223.12,236.14,5.379,1316.32
2020-04-09,BCHUSD,266.71,276.7,251,259.17,1.903,501.84
2020-04-08,BCHUSD,249.4,278.3,249.4,266.71,4.103,1078.64
2020-04-07,BCHUSD,259.28,264.88,243.25,249.4,1.301,326.78
2020-04-06,BCHUSD,244.93,259.28,236.63,259.28,0.4977,121.9
2020-04-05,BCHUSD,233.67,244.93,233.67,244.93,0.1368,32.42
2020-04-04,BCHUSD,234.8,237.18,233.67,233.67,0.0328,7.716
2020-04-03,BCHUSD,243.65,253,233.35,234.8,0.03668,8.896
2020-04-02,BCHUSD,228.1,251.56,220.66,243.65,5.745,1409.72
2020-04-01,BCHUSD,226.9,228.1,220,228.1,0.3108,68.47
2020-03-31,BCHUSD,237.88,237.88,220,226.9,1.21,268.86
2020-03-30,BCHUSD,220,237.88,220,237.88,0.8544,193.39
2020-03-29,BCHUSD,220,221.8,220,220,12.51,2751.79
2020-03-28,BCHUSD,226.72,227.48,220,220,5.436,1196.48
2020-03-27,BCHUSD,237.09,237.09,220,226.72,0.722,166.99
2020-03-26,BCHUSD,222.63,237.2,220,237.09,1.215,275.97
2020-03-25,BCHUSD,235.77,236.59,220,222.63,4.813,1080.57
2020-03-24,BCHUSD,221.83,240.9,220,235.77,55.95,12341.87
2020-03-23,BCHUSD,218.3,232.53,218.3,221.83,0.09176,21.07
2020-03-22,BCHUSD,240.17,240.17,206,218.3,0.3103,66.95
2020-03-21,BCHUSD,218.1,250,205.5,240.17,1.716,401.47
2020-03-20,BCHUSD,230.42,250.07,211.56,218.1,0.5763,138.58
2020-03-19,BCHUSD,199.11,239.99,199.11,230.42,0.4604,99.44
2020-03-18,BCHUSD,194.19,199.36,185.55,199.11,2.12,421.67
2020-03-17,BCHUSD,173.74,195.94,173.74,194.19,0.3015,58.24
2020-03-16,BCHUSD,182.03,189.73,161.61,173.74,1.455,255.12
2020-03-15,BCHUSD,189,196.57,182.03,182.03,0.7048,133.8
2020-03-14,BCHUSD,200.14,200.14,189,189,0.504,96.23
2020-03-13,BCHUSD,195.65,268,188.53,200.14,2.381,472.87
2020-03-12,BCHUSD,268.4,268.4,188.53,195.65,4.138,921.15
2020-03-11,BCHUSD,287.34,288.8,261.44,268.4,1.345,370.24
2020-03-10,BCHUSD,285.61,287.34,268.27,287.34,0.3111,87.38
2020-03-09,BCHUSD,290,292.45,264.84,285.61,0.7601,211.7
2020-03-08,BCHUSD,340.54,340.54,290,290,0.3583,109.58
2020-03-07,BCHUSD,357.39,357.79,340.37,340.54,0.8516,297.58
2020-03-06,BCHUSD,349.04,357.39,347.39,357.39,0.7037,245.61
2020-03-05,BCHUSD,333.91,349.04,333.91,349.04,0.2064,71.96
2020-03-04,BCHUSD,333.14,335.39,331.02,333.91,0.02231,7.46
2020-03-03,BCHUSD,334.62,349.03,329.8,333.14,0.4666,156.31
2020-03-02,BCHUSD,335.41,339.69,317.22,334.62,2.583,872.42
2020-03-01,BCHUSD,318.03,335.41,318.03,335.41,0.01306,4.275
2020-02-29,BCHUSD,316.25,360,316.25,318.03,0.2661,92.5
2020-02-28,BCHUSD,350,350,316.25,316.25,0.3731,122.86
2020-02-27,BCHUSD,342.5,352.72,330,350,0.9135,314.25
2020-02-26,BCHUSD,365,365,315,342.5,2.741,954.68
2020-02-25,BCHUSD,381.21,384.68,365,365,1.098,408.68
2020-02-24,BCHUSD,402.41,450,381.21,381.21,25.82,11200.07
2020-02-23,BCHUSD,381.66,402.41,381.2,402.41,0.1808,70.17
2020-02-22,BCHUSD,381.51,425,381.2,381.66,0.1775,70.41
2020-02-21,BCHUSD,380.49,396.02,372.91,381.51,1.201,467.55
2020-02-20,BCHUSD,391.66,402.91,369.1,380.49,1.778,680.13
2020-02-19,BCHUSD,410.54,426.92,391.66,391.66,2.222,925.53
