Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HUSD
2020-04-29,DASHUSD,83.94,84.4,80.35,84.38,4.875,399.88
2020-04-28,DASHUSD,83.45,83.97,80.69,83.94,16.79,1394.85
2020-04-27,DASHUSD,85.94,85.94,81.58,83.45,6.677,553.37
2020-04-26,DASHUSD,85,87.87,84.46,85.94,3.915,337.8
2020-04-25,DASHUSD,80.23,86.91,80.23,85,7.61,637.78
2020-04-24,DASHUSD,81.02,83.27,79.89,80.23,21.1,1693.69
2020-04-23,DASHUSD,77.43,82,77.43,81.02,6.417,514.85
2020-04-22,DASHUSD,77.36,81.49,74.57,77.43,2.662,213.15
2020-04-21,DASHUSD,77.24,77.71,74.03,77.36,31.01,2370.68
2020-04-20,DASHUSD,80.28,82.5,75.35,77.24,14.58,1133.56
2020-04-19,DASHUSD,80,83.87,78.19,80.28,6.882,554.04
2020-04-18,DASHUSD,77.64,80,77.3,80,38.32,3049.52
2020-04-17,DASHUSD,77,77.69,76.35,77.64,0.1335,10.36
2020-04-16,DASHUSD,74.32,79.94,72.81,77,6.231,484.06
2020-04-15,DASHUSD,75.85,75.85,74.18,74.32,3.663,275.25
2020-04-14,DASHUSD,77.94,77.94,75.77,75.85,6.051,462.23
2020-04-13,DASHUSD,78.23,78.23,75,77.94,40.22,3054.2
2020-04-12,DASHUSD,77.24,81,76.2,78.23,8.89,697.16
2020-04-11,DASHUSD,77.08,82,77.08,77.24,6.121,479.34
2020-04-10,DASHUSD,85,85.26,74.86,77.08,18.7,1454.9
2020-04-09,DASHUSD,75.93,85,74.82,85,35.47,2889.95
2020-04-08,DASHUSD,72.41,76.86,72.41,75.93,3.445,258.47
2020-04-07,DASHUSD,72.89,75.59,71.61,72.41,12.6,931.75
2020-04-06,DASHUSD,69.74,73.97,69.01,72.89,12.91,921.87
2020-04-05,DASHUSD,69.31,71.5,68.93,69.74,5.614,392.56
2020-04-04,DASHUSD,69.3,71.45,68.41,69.31,11.85,836.44
2020-04-03,DASHUSD,68.7,70.83,67.4,69.3,11.72,812.54
2020-04-02,DASHUSD,68.42,70.74,66.15,68.7,113.3,7560.12
2020-04-01,DASHUSD,67.78,68.42,65.65,68.42,2.155,144.3
2020-03-31,DASHUSD,70.21,70.26,66.73,67.78,17.69,1211.98
2020-03-30,DASHUSD,65.72,70.95,63.58,70.21,12.74,863.96
2020-03-29,DASHUSD,67.07,69.44,64.45,65.72,16.02,1065.04
2020-03-28,DASHUSD,73.53,73.53,65,67.07,10.9,741.71
2020-03-27,DASHUSD,70.1,75,70.09,73.53,52.97,3783.02
2020-03-26,DASHUSD,69.45,71.55,69.45,70.1,2.273,160.56
2020-03-25,DASHUSD,72.14,72.67,69.09,69.45,7.899,557.28
2020-03-24,DASHUSD,71.06,74.47,70.72,72.14,3.547,256.03
2020-03-23,DASHUSD,64.6,74.47,64.6,71.06,10.56,733.09
2020-03-22,DASHUSD,75.98,75.98,63.57,64.6,92.8,6432.27
2020-03-21,DASHUSD,76.29,78.97,70.97,75.98,9.867,736.62
