Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DGB,Volume BTC
2020-04-29,DGBBTC,1.49e-06,1.96e-06,1.49e-06,1.82e-06,243626.15,0.4308
2020-04-28,DGBBTC,1.52e-06,1.71e-06,1.3e-06,1.49e-06,816550.86,1.2
2020-04-27,DGBBTC,1.86e-06,1.95e-06,1.4e-06,1.52e-06,888730.66,1.452
2020-04-26,DGBBTC,2.16e-06,2.2e-06,1.8e-06,1.86e-06,404933.61,0.839
2020-04-25,DGBBTC,1.63e-06,2.18e-06,1.62e-06,2.16e-06,654154.0,1.265
2020-04-24,DGBBTC,1.43e-06,1.82e-06,1.4e-06,1.63e-06,926003.03,1.51
2020-04-23,DGBBTC,1.25e-06,1.44e-06,1.21e-06,1.43e-06,604574.18,0.795
2020-04-22,DGBBTC,1.01e-06,1.25e-06,8.6e-07,1.25e-06,1577204.27,1.633
2020-04-21,DGBBTC,9.6e-07,1.01e-06,9.3e-07,1.01e-06,237881.11,0.2348
2020-04-20,DGBBTC,1.02e-06,1.06e-06,8.5e-07,9.6e-07,447549.65,0.4317
2020-04-19,DGBBTC,1.04e-06,1.08e-06,9.9e-07,1.02e-06,188657.31,0.1968
2020-04-18,DGBBTC,9.1e-07,1.14e-06,8.8e-07,1.04e-06,439497.66,0.4457
2020-04-17,DGBBTC,8.4e-07,9.1e-07,8.4e-07,9.1e-07,175540.21,0.1574
2020-04-16,DGBBTC,7.4e-07,8.9e-07,7.1e-07,8.4e-07,270219.83,0.2102
2020-04-15,DGBBTC,7.7e-07,7.8e-07,7.4e-07,7.4e-07,1411795.35,1.051
2020-04-14,DGBBTC,8.3e-07,8.3e-07,7.6e-07,7.7e-07,63926.36,0.05058
2020-04-13,DGBBTC,9.0e-07,9.0e-07,7.9e-07,8.3e-07,64151.42,0.05467
2020-04-12,DGBBTC,8.9e-07,9.1e-07,8.6e-07,9.0e-07,63800.85,0.05647
2020-04-11,DGBBTC,8.4e-07,9.2e-07,8.4e-07,8.9e-07,123211.42,0.111
2020-04-10,DGBBTC,9.5e-07,9.5e-07,8.4e-07,8.4e-07,131414.35,0.119
2020-04-09,DGBBTC,8.7e-07,9.5e-07,8.7e-07,9.5e-07,110081.32,0.09884
2020-04-08,DGBBTC,8.7e-07,8.9e-07,8.4e-07,8.7e-07,36670.45,0.03168
2020-04-07,DGBBTC,8.8e-07,9.1e-07,8.4e-07,8.7e-07,146180.2,0.1267
2020-04-06,DGBBTC,7.8e-07,8.8e-07,7.6e-07,8.8e-07,184367.89,0.1508
2020-04-05,DGBBTC,7.9e-07,8.4e-07,7.6e-07,7.8e-07,100381.7,0.07853
2020-04-04,DGBBTC,7.4e-07,8.0e-07,7.4e-07,7.9e-07,356651.41,0.2798
2020-04-03,DGBBTC,7.0e-07,7.5e-07,7.0e-07,7.4e-07,369268.8,0.2728
2020-04-02,DGBBTC,7.1e-07,7.3e-07,6.8e-07,7.0e-07,241778.85,0.1721
2020-04-01,DGBBTC,6.9e-07,7.3e-07,6.8e-07,7.1e-07,136372.37,0.09657
2020-03-31,DGBBTC,6.8e-07,7.4e-07,6.8e-07,6.9e-07,67288.68,0.04835
2020-03-30,DGBBTC,7.0e-07,7.2e-07,6.8e-07,6.8e-07,80623.18,0.05628
2020-03-29,DGBBTC,6.7e-07,7.1e-07,6.5e-07,7.0e-07,732286.15,0.4937
2020-03-28,DGBBTC,6.6e-07,7.3e-07,6.2e-07,6.7e-07,2025896.75,1.363
2020-03-27,DGBBTC,5.9e-07,6.6e-07,5.9e-07,6.6e-07,558004.31,0.3597
2020-03-26,DGBBTC,5.6e-07,6.4e-07,5.6e-07,5.9e-07,167983.0,0.1022
2020-03-25,DGBBTC,5.5e-07,6.0e-07,5.4e-07,5.6e-07,288975.81,0.1647
2020-03-24,DGBBTC,5.5e-07,5.5e-07,5.2e-07,5.5e-07,74977.62,0.04068
2020-03-23,DGBBTC,5.7e-07,5.7e-07,5.4e-07,5.5e-07,234266.55,0.1281
2020-03-22,DGBBTC,5.7e-07,6.0e-07,5.5e-07,5.7e-07,285788.2,0.1627
2020-03-21,DGBBTC,5.6e-07,6.1e-07,5.6e-07,5.7e-07,98588.77,0.05804
2020-03-20,DGBBTC,6.1e-07,6.5e-07,5.6e-07,5.6e-07,223282.67,0.131
2020-03-19,DGBBTC,6.1e-07,6.6e-07,5.7e-07,6.1e-07,345485.15,0.2121
2020-03-18,DGBBTC,6.1e-07,6.1e-07,5.7e-07,6.1e-07,82081.97,0.04884
2020-03-17,DGBBTC,6.1e-07,6.2e-07,5.8e-07,6.1e-07,29635.13,0.01764
2020-03-16,DGBBTC,6.2e-07,6.3e-07,5.7e-07,6.1e-07,719746.23,0.4325
2020-03-15,DGBBTC,6.5e-07,6.7e-07,6.1e-07,6.2e-07,345113.07,0.2158
2020-03-14,DGBBTC,6.7e-07,6.7e-07,6.3e-07,6.5e-07,205503.87,0.1342
