Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume RUR
2020-04-29,EOSRUR,106,112,106,111.74,4.872,541.2
2020-04-28,EOSRUR,110,112,105.5,106,60.56,6590.94
2020-04-27,EOSRUR,109,125,106,110,176.86,19547.6
2020-04-26,EOSRUR,110.02,123.01,105.5,109,185.45,20634.1
2020-04-25,EOSRUR,105,110.02,104,110.02,172.51,18184.87
2020-04-24,EOSRUR,106,110.01,105,105,95.72,10203.25
2020-04-23,EOSRUR,108,109,102.25,106,221.83,23903.57
2020-04-22,EOSRUR,104,114.01,101,108,105.77,11216.42
2020-04-21,EOSRUR,106.5,106.5,101.55,104,239.46,24805.69
2020-04-20,EOSRUR,109.01,109.01,102,106.5,17.54,1820.06
2020-04-19,EOSRUR,106.94,109.01,102.05,109.01,39.6,4162.71
2020-04-18,EOSRUR,101.5,106.94,101,106.94,115.15,11848.01
2020-04-17,EOSRUR,102,104.45,101.5,101.5,154.98,15945.43
2020-04-16,EOSRUR,107,107,99,102,95.48,9858.11
2020-04-15,EOSRUR,112,135,80,107,735.69,78370.32
2020-04-14,EOSRUR,107,113.88,102.05,112,115.16,13056.58
2020-04-13,EOSRUR,101.35,107,101.35,107,92.49,9686.72
2020-04-12,EOSRUR,101.36,114,101.35,101.35,128.14,13390.7
2020-04-11,EOSRUR,109.25,115.1,100.35,101.36,27.99,3027.74
2020-04-10,EOSRUR,100.13,109.25,100.13,109.25,25.86,2702.35
2020-04-09,EOSRUR,99,106,99,100.13,39.22,4041.88
2020-04-08,EOSRUR,102.2,102.2,99,99,15.21,1511.47
2020-04-07,EOSRUR,104,104,99,102.2,141.49,14268.96
2020-04-06,EOSRUR,100,104,95,104,203.52,20013.39
2020-04-05,EOSRUR,101.5,102,97,100,22.02,2202.21
2020-04-04,EOSRUR,100,107,100,101.5,136.2,13919.58
2020-04-03,EOSRUR,115.95,115.95,100,100,121.67,12925.95
2020-04-02,EOSRUR,102.9,115.95,102.9,115.95,138.8,14964.99
2020-04-01,EOSRUR,104,107.02,101.56,102.9,96.22,10093.54
2020-03-31,EOSRUR,108.13,114,103,104,19.14,2065.25
2020-03-30,EOSRUR,106.04,114,106.04,108.13,2.44,271.04
2020-03-29,EOSRUR,106.4,116,100.1,106.04,4.874,516.62
2020-03-28,EOSRUR,117.94,117.94,100.1,106.4,41.18,4537.43
2020-03-27,EOSRUR,115,117.94,110.5,117.94,14.27,1636.92
2020-03-26,EOSRUR,110,115.32,110,115,9.345,1051.78
2020-03-25,EOSRUR,109,116.3,100.1,110,53.42,5932.97
2020-03-24,EOSRUR,116.47,129,107.64,109,226.48,26370.17
2020-03-23,EOSRUR,129,129,108.98,116.47,91.64,10340.75
2020-03-22,EOSRUR,122.53,137,108.98,129,365.25,43654.35
2020-03-21,EOSRUR,125,137.5,110,122.53,96.43,12252.06
2020-03-20,EOSRUR,115.85,148.03,106,125,526.41,69604.05
2020-03-19,EOSRUR,110.9,129.3,105.46,115.85,264.26,31545.68
2020-03-18,EOSRUR,103.41,112.61,92.28,110.9,122.26,13388.44
2020-03-17,EOSRUR,89.15,103.41,89.15,103.41,50.31,4731.39
2020-03-16,EOSRUR,83,102.32,79.2,89.15,50.68,4675.75
2020-03-15,EOSRUR,74.28,86.62,74,83,24.68,2015.09
2020-03-14,EOSRUR,83.51,85.94,74.28,74.28,19.34,1558.64
2020-03-13,EOSRUR,77,87.44,65.11,83.51,139.12,10639.67
2020-03-12,EOSRUR,93,102.5,71.78,77,413.59,34117.84
2020-03-11,EOSRUR,114.42,114.42,90.56,93,187.23,18989.8
2020-03-10,EOSRUR,106,114.5,104.75,114.42,230.82,25717.31
2020-03-09,EOSRUR,104,115,103,106,43.63,4604.76
2020-03-08,EOSRUR,112,116.17,101.5,104,33.35,3608.44
2020-03-07,EOSRUR,109.73,129.3,109.73,112,45.95,5565.38
2020-03-06,EOSRUR,119.89,126,107.93,109.73,23.73,2732.84
2020-03-05,EOSRUR,114,119.89,112.47,119.89,5.947,681.48
2020-03-04,EOSRUR,115.6,129.47,110,114,82.44,9508.43
2020-03-03,EOSRUR,120.23,123.45,109.79,115.6,132.23,15317.56
2020-03-02,EOSRUR,116.97,122.93,111,120.23,72.55,8238.72
2020-03-01,EOSRUR,121.2,124.19,116.97,116.97,73.92,8967.11
2020-02-29,EOSRUR,123.93,126.09,120.02,121.2,22.0,2670.47
2020-02-28,EOSRUR,119,123.93,118.19,123.93,98.92,11923.57
2020-02-27,EOSRUR,127.07,127.07,115,119,79.86,9684.88
2020-02-26,EOSRUR,122.05,131.94,122.05,127.07,31.01,3853.07
2020-02-25,EOSRUR,138.64,138.64,121.75,122.05,192.26,24714.73
2020-02-24,EOSRUR,142.7,142.7,130,138.64,218.46,29090.73
2020-02-23,EOSRUR,131,142.7,131,142.7,82.22,11173.66
2020-02-22,EOSRUR,133.93,139,125.74,131,56.7,7550.12
2020-02-21,EOSRUR,134.16,142.69,133.93,133.93,30.94,4207.51
2020-02-20,EOSRUR,139.77,144.13,133.93,134.16,48.8,6711.83
2020-02-19,EOSRUR,143.04,145.59,139,139.77,168.9,23836.43
2020-02-18,EOSRUR,139.46,143.04,137.91,143.04,122.17,17094.7
2020-02-17,EOSRUR,133.77,141.66,133.77,139.46,121.29,16858.77
2020-02-16,EOSRUR,146.42,152,110.11,133.77,222.66,30139.75
2020-02-15,EOSRUR,151.8,159.25,146.22,146.42,74.75,11372.19
2020-02-14,EOSRUR,150.5,157.01,145,151.8,314.42,47703.91
2020-02-13,EOSRUR,155.4,180,149,150.5,513.85,81082.72
2020-02-12,EOSRUR,149,156,141,155.4,504.62,77242.05
2020-02-11,EOSRUR,151,153,142.27,149,244.17,35835.64
2020-02-10,EOSRUR,160.67,160.67,148.49,151,270.41,41147.8
2020-02-09,EOSRUR,150,160.67,149.33,160.67,215.4,33503.41
2020-02-08,EOSRUR,141.41,160,141.41,150,167.16,25581.58
2020-02-07,EOSRUR,145,160.75,131.44,141.41,286.77,43892.92
2020-02-06,EOSRUR,140.82,184.01,139.28,145,307.88,47460.91
2020-02-05,EOSRUR,145,148.55,125,140.82,662.22,93805.49
2020-02-04,EOSRUR,146.11,149.88,145,145,104.04,15110.69
2020-02-03,EOSRUR,147.89,156.4,146.11,146.11,243.08,36605.0
2020-02-02,EOSRUR,151.63,152.54,145.27,147.89,94.06,13975.01
2020-02-01,EOSRUR,159.36,159.36,143,151.63,39.97,6077.83
2020-01-31,EOSRUR,151.46,160.79,151,159.36,37.54,5743.06
2020-01-30,EOSRUR,161.11,161.11,143,151.46,225.27,34528.02
2020-01-29,EOSRUR,149.66,164,149.66,161.11,75.55,11966.27
2020-01-28,EOSRUR,147.24,159.47,147.24,149.66,34.83,5304.52
2020-01-27,EOSRUR,145.67,151.86,143,147.24,139.98,20622.53
2020-01-26,EOSRUR,138.87,145.67,137.14,145.67,11.31,1619.65
2020-01-25,EOSRUR,140,148.34,137.14,138.87,32.31,4565.53
2020-01-24,EOSRUR,140.4,165.74,136.87,140,134.79,19763.44
2020-01-23,EOSRUR,136.6,147.5,136.6,140.4,30.97,4355.04
2020-01-22,EOSRUR,135.5,155,135.5,136.6,71.73,10434.13
2020-01-21,EOSRUR,144.01,149.9,126,135.5,94.28,13768.47
2020-01-20,EOSRUR,154.5,154.5,126.3,144.01,423.4,62439.59
2020-01-19,EOSRUR,163.2,183.5,140,154.5,162.93,26198.69
2020-01-18,EOSRUR,153.06,163.2,130,163.2,65.4,9669.35
2020-01-17,EOSRUR,148.9,165,136.4,153.06,537.33,85062.25
2020-01-16,EOSRUR,144.64,149.5,136.87,148.9,144.0,20430.08
2020-01-15,EOSRUR,125,149.5,123,144.64,153.81,20941.69
2020-01-14,EOSRUR,112.53,144.01,112.53,125,463.08,57966.08
2020-01-13,EOSRUR,119.5,119.5,112.41,112.53,105.3,12545.83
2020-01-12,EOSRUR,118.1,119.5,111.63,119.5,73.45,8529.33
2020-01-11,EOSRUR,119.5,119.5,109.44,118.1,113.11,12670.81
2020-01-10,EOSRUR,112.5,119.5,106.34,119.5,147.03,16681.29
2020-01-09,EOSRUR,114.11,117.52,112.5,112.5,52.77,6020.76
2020-01-08,EOSRUR,111,120.5,111,114.11,65.05,7772.38
2020-01-07,EOSRUR,112.86,116.05,109.03,111,87.66,9840.52
2020-01-06,EOSRUR,106.48,115.05,106.48,112.86,12.54,1389.28
2020-01-05,EOSRUR,109.87,110.56,106.34,106.48,28.67,3152.98
2020-01-04,EOSRUR,109.87,109.87,106.34,109.87,6.757,742.22
2020-01-03,EOSRUR,106.12,109.87,106.12,109.87,36.4,3999.39
2020-01-02,EOSRUR,109.82,109.87,106.12,106.12,11.49,1224.33
2020-01-01,EOSRUR,110,110,104.57,109.82,8.09,861.13
2019-12-31,EOSRUR,110.56,110.56,105,110,68.79,7345.06
2019-12-30,EOSRUR,113.3,117,110.55,110.56,57.17,6458.32
2019-12-29,EOSRUR,117.86,123.31,110.55,113.3,194.66,22808.25
2019-12-28,EOSRUR,116.3,119.82,114.42,117.86,134.06,15605.21
2019-12-27,EOSRUR,121.02,121.02,114.76,116.3,53.67,6308.7
2019-12-26,EOSRUR,120.74,121.02,114.76,121.02,139.43,16233.79
2019-12-25,EOSRUR,116.1,126.2,114.59,120.74,7.048,867.34
2019-12-24,EOSRUR,115,122,115,116.1,27.12,3161.16
2019-12-23,EOSRUR,119.72,124.96,115,115,31.38,3673.27
2019-12-22,EOSRUR,117.15,125.17,111.47,119.72,24.3,2900.56
2019-12-21,EOSRUR,115.77,118.99,106.72,117.15,278.91,32871.65
2019-12-20,EOSRUR,108.2,119,105.14,115.77,151.45,16876.65
2019-12-19,EOSRUR,113.16,113.16,104.52,108.2,64.71,7199.39
2019-12-18,EOSRUR,113.51,114.86,104.5,113.16,8.636,922.22
2019-12-17,EOSRUR,115.34,115.34,105,113.51,158.97,17292.27
