Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USD
2020-04-29,EOSUSD,1.462,1.532,1.462,1.472,166.73,249.99
2020-04-28,EOSUSD,1.5,1.5,1.45,1.462,140.86,208.15
2020-04-27,EOSUSD,1.499,1.5,1.44,1.5,375.16,547.84
2020-04-26,EOSUSD,1.468,1.5,1.45,1.499,105.64,156.49
2020-04-25,EOSUSD,1.42,1.48,1.38,1.468,183.29,258.35
2020-04-24,EOSUSD,1.44,1.487,1.419,1.42,133.1,193.47
2020-04-23,EOSUSD,1.46,1.46,1.377,1.44,369.72,525.33
2020-04-22,EOSUSD,1.336,1.46,1.31,1.46,189.9,272.02
2020-04-21,EOSUSD,1.363,1.449,1.3,1.336,247.66,336.22
2020-04-20,EOSUSD,1.475,1.475,1.363,1.363,57.73,80.71
2020-04-19,EOSUSD,1.423,1.475,1.38,1.475,437.84,640.61
2020-04-18,EOSUSD,1.38,1.423,1.344,1.423,270.61,372.49
2020-04-17,EOSUSD,1.4,1.4,1.37,1.38,19.81,27.15
2020-04-16,EOSUSD,1.41,1.482,1.349,1.4,157.65,220.2
2020-04-15,EOSUSD,1.455,1.5,1.384,1.41,73.22,106.0
2020-04-14,EOSUSD,1.41,1.5,1.41,1.455,137.31,203.16
2020-04-13,EOSUSD,1.5,1.5,1.38,1.41,64.11,90.85
2020-04-12,EOSUSD,1.51,1.51,1.334,1.5,155.39,213.94
2020-04-11,EOSUSD,1.4,1.517,1.4,1.51,201.58,297.94
2020-04-10,EOSUSD,1.423,1.445,1.395,1.4,187.31,264.75
2020-04-09,EOSUSD,1.321,1.423,1.321,1.423,342.15,477.94
2020-04-08,EOSUSD,1.367,1.367,1.321,1.321,81.07,107.61
2020-04-07,EOSUSD,1.4,1.423,1.31,1.367,360.9,487.95
2020-04-06,EOSUSD,1.389,1.415,1.304,1.4,211.8,296.49
2020-04-05,EOSUSD,1.33,1.398,1.304,1.389,180.05,241.43
2020-04-04,EOSUSD,1.304,1.399,1.304,1.33,96.09,127.69
2020-04-03,EOSUSD,1.321,1.44,1.304,1.304,192.69,257.75
2020-04-02,EOSUSD,1.368,1.44,1.31,1.321,56.45,78.87
2020-04-01,EOSUSD,1.3,1.368,1.3,1.368,182.14,240.94
2020-03-31,EOSUSD,1.46,1.46,1.286,1.3,239.37,327.85
2020-03-30,EOSUSD,1.352,1.46,1.351,1.46,103.77,146.11
2020-03-29,EOSUSD,1.404,1.46,1.352,1.352,117.38,166.25
2020-03-28,EOSUSD,1.373,1.423,1.373,1.404,53.13,73.93
2020-03-27,EOSUSD,1.43,1.46,1.373,1.373,316.18,435.98
2020-03-26,EOSUSD,1.46,1.46,1.43,1.43,3.875,5.541
2020-03-25,EOSUSD,1.406,1.46,1.38,1.46,341.14,485.03
2020-03-24,EOSUSD,1.414,1.466,1.348,1.406,426.13,600.03
2020-03-23,EOSUSD,1.441,1.441,1.315,1.414,387.98,522.08
2020-03-22,EOSUSD,1.44,1.49,1.388,1.441,404.1,588.43
2020-03-21,EOSUSD,1.683,1.683,1.364,1.44,559.2,822.33
2020-03-20,EOSUSD,1.464,1.696,1.44,1.683,790.73,1231.43
2020-03-19,EOSUSD,1.379,1.58,1.348,1.464,1498.69,2200.41
2020-03-18,EOSUSD,1.22,1.491,1.164,1.379,512.16,687.34
2020-03-17,EOSUSD,1.15,1.491,1.15,1.22,303.25,392.52
2020-03-16,EOSUSD,1.104,1.376,1.104,1.15,942.46,1150.09
2020-03-15,EOSUSD,1.088,1.204,1.042,1.104,407.8,456.3
2020-03-14,EOSUSD,1.099,1.231,1.032,1.088,920.65,1081.27
2020-03-13,EOSUSD,1.031,1.53,0.9656,1.099,2770.48,3205.08
2020-03-12,EOSUSD,1.302,1.403,1.002,1.031,1306.05,1458.01
2020-03-11,EOSUSD,1.501,1.533,1.247,1.302,387.98,544.8
2020-03-10,EOSUSD,1.5,1.638,1.388,1.501,796.5,1191.45
2020-03-09,EOSUSD,1.5,1.557,1.4,1.5,268.13,410.87
2020-03-08,EOSUSD,1.723,1.723,1.5,1.5,1030.25,1674.56
2020-03-07,EOSUSD,1.758,1.793,1.6,1.723,360.57,623.38
2020-03-06,EOSUSD,1.8,1.89,1.645,1.758,349.89,596.74
2020-03-05,EOSUSD,1.773,1.809,1.71,1.8,60.75,108.08
2020-03-04,EOSUSD,1.757,1.867,1.734,1.773,43.45,77.28
2020-03-03,EOSUSD,1.838,1.905,1.745,1.757,149.94,274.62
2020-03-02,EOSUSD,1.815,1.87,1.739,1.838,524.05,960.73
2020-03-01,EOSUSD,1.905,1.905,1.815,1.815,334.51,615.06
2020-02-29,EOSUSD,1.903,1.95,1.855,1.905,326.6,619.62
2020-02-28,EOSUSD,1.913,1.95,1.81,1.903,268.77,514.16
2020-02-27,EOSUSD,1.924,1.961,1.861,1.913,78.18,148.06
2020-02-26,EOSUSD,1.957,2.04,1.899,1.924,155.52,300.32
2020-02-25,EOSUSD,2.106,2.132,1.957,1.957,153.33,316.16
2020-02-24,EOSUSD,2.186,2.243,2.01,2.106,418.94,890.61
