Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume USD
2020-04-29,ETCUSD,6.165,6.401,6.135,6.4,337.76,2106.23
2020-04-28,ETCUSD,6.1,6.165,5.942,6.165,220.5,1351.83
2020-04-27,ETCUSD,6.189,6.189,5.662,6.1,193.18,1156.13
2020-04-26,ETCUSD,5.621,6.189,5.545,6.189,229.74,1367.43
2020-04-25,ETCUSD,5.543,5.817,5.542,5.621,284.5,1621.19
2020-04-24,ETCUSD,5.699,5.699,5.529,5.543,14.86,83.47
2020-04-23,ETCUSD,5.29,5.699,5.29,5.699,112.64,625.81
2020-04-22,ETCUSD,5.296,5.438,5.2,5.29,198.25,1049.93
2020-04-21,ETCUSD,5.404,5.404,5.21,5.296,170.64,895.7
2020-04-20,ETCUSD,5.493,5.666,5.301,5.404,100.99,559.36
2020-04-19,ETCUSD,5.668,5.678,5.487,5.493,44.93,251.06
2020-04-18,ETCUSD,5.433,5.671,5.433,5.668,200.75,1117.01
2020-04-17,ETCUSD,5.469,5.561,5.433,5.433,172.39,954.01
2020-04-16,ETCUSD,5.35,5.589,5.211,5.469,395.36,2121.16
2020-04-15,ETCUSD,5.48,5.499,5.35,5.35,42.87,231.4
2020-04-14,ETCUSD,5.449,5.489,5.314,5.48,77.44,420.89
2020-04-13,ETCUSD,5.527,5.527,5.3,5.449,179.89,967.06
2020-04-12,ETCUSD,5.431,5.674,5.411,5.527,75.64,422.04
2020-04-11,ETCUSD,5.505,5.61,5.42,5.431,97.6,541.78
2020-04-10,ETCUSD,6.02,6.02,5.33,5.505,427.73,2402.79
2020-04-09,ETCUSD,5.881,6.02,5.7,6.02,228.78,1342.12
2020-04-08,ETCUSD,5.583,5.91,5.543,5.881,93.02,533.12
2020-04-07,ETCUSD,5.595,5.798,5.5,5.583,497.47,2823.98
2020-04-06,ETCUSD,5.15,5.621,5.15,5.595,475.58,2597.32
2020-04-05,ETCUSD,5.2,5.32,5.15,5.15,48.45,255.1
2020-04-04,ETCUSD,5.139,5.3,5.139,5.2,77.89,409.29
2020-04-03,ETCUSD,5.3,5.376,5.139,5.139,53.16,278.49
2020-04-02,ETCUSD,5.199,5.407,5.09,5.3,313.22,1637.14
2020-04-01,ETCUSD,5.08,5.214,5.049,5.199,197.01,1002.93
2020-03-31,ETCUSD,5.147,5.25,5.029,5.08,86.23,439.46
2020-03-30,ETCUSD,5.061,5.3,5.033,5.147,123.75,637.7
2020-03-29,ETCUSD,5.135,5.185,4.993,5.061,178.78,905.03
2020-03-28,ETCUSD,5.353,5.353,4.877,5.135,102.54,522.43
2020-03-27,ETCUSD,5.133,5.366,5.03,5.353,112.78,591.61
2020-03-26,ETCUSD,5.244,5.259,5.124,5.133,98.14,508.74
2020-03-25,ETCUSD,5.113,5.366,5.026,5.244,110.47,575.54
2020-03-24,ETCUSD,5.238,5.365,5.036,5.113,226.04,1171.21
2020-03-23,ETCUSD,4.97,5.315,4.8,5.238,186.87,943.27
2020-03-22,ETCUSD,5.288,5.366,4.96,4.97,378.44,1916.28
2020-03-21,ETCUSD,5.024,5.288,5,5.288,43.24,220.97
2020-03-20,ETCUSD,5.5,5.711,5,5.024,554.48,2952.26
2020-03-19,ETCUSD,4.933,5.5,4.81,5.5,1584.4,8250.52
2020-03-18,ETCUSD,5.074,5.145,4.73,4.933,225.76,1101.11
2020-03-17,ETCUSD,4.64,5.145,4.64,5.074,325.17,1629.32
