Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume WAV,Volume ESUSD
2020-04-29,WAVESUSD,1.085,1.085,1.051,1.074,407.09,436.17
2020-04-28,WAVESUSD,1.053,1.089,1.05,1.085,842.04,895.32
2020-04-27,WAVESUSD,1.039,1.164,1.039,1.053,972.43,1066.7
2020-04-26,WAVESUSD,1.037,1.055,1.018,1.039,1206.58,1254.36
2020-04-25,WAVESUSD,1.018,1.043,0.9875,1.037,4104.53,4149.5
2020-04-24,WAVESUSD,1.011,1.03,0.9991,1.018,748.98,761.49
2020-04-23,WAVESUSD,0.9944,1.02,0.9845,1.011,661.98,664.48
2020-04-22,WAVESUSD,0.98,1.008,0.97,0.9944,1340.51,1332.23
2020-04-21,WAVESUSD,0.991,1.01,0.963,0.98,1398.39,1360.49
2020-04-20,WAVESUSD,1.022,1.049,0.9741,0.991,1041.61,1051.5
2020-04-19,WAVESUSD,1.056,1.056,1.022,1.022,572.16,594.68
2020-04-18,WAVESUSD,1.02,1.059,1.012,1.056,898.54,932.57
2020-04-17,WAVESUSD,1.03,1.04,1.01,1.02,270.98,277.78
2020-04-16,WAVESUSD,1.01,1.054,0.9915,1.03,2017.17,2077.52
2020-04-15,WAVESUSD,1.03,1.052,1.008,1.01,1250.65,1283.33
2020-04-14,WAVESUSD,1.05,1.05,1.028,1.03,688.33,715.95
2020-04-13,WAVESUSD,1.05,1.068,1.016,1.05,1357.31,1408.96
2020-04-12,WAVESUSD,1.056,1.082,1.015,1.05,1792.11,1881.93
2020-04-11,WAVESUSD,1.047,1.078,1.024,1.056,3875.86,4141.62
2020-04-10,WAVESUSD,1.07,1.22,1.032,1.047,4107.58,4541.21
2020-04-09,WAVESUSD,1.025,1.07,1.003,1.07,1390.55,1432.32
2020-04-08,WAVESUSD,1.013,1.025,0.9888,1.025,4513.97,4526.18
2020-04-07,WAVESUSD,0.9901,1.095,0.9759,1.013,1602.56,1633.7
2020-04-06,WAVESUSD,0.975,0.999,0.963,0.9901,3637.65,3584.59
2020-04-05,WAVESUSD,0.9849,0.988,0.9586,0.975,203.09,196.55
2020-04-04,WAVESUSD,0.9659,0.9985,0.9583,0.9849,386.24,375.7
2020-04-03,WAVESUSD,0.9839,1.004,0.9543,0.9659,1242.96,1211.92
2020-04-02,WAVESUSD,0.9925,1.049,0.9598,0.9839,933.75,932.38
2020-04-01,WAVESUSD,1.022,1.048,0.9542,0.9925,812.62,808.21
2020-03-31,WAVESUSD,0.8833,1.153,0.8475,1.022,6517.98,6556.39
2020-03-30,WAVESUSD,0.8231,0.8859,0.8069,0.8833,710.87,613.92
2020-03-29,WAVESUSD,0.8758,0.8758,0.812,0.8231,1484.52,1259.92
2020-03-28,WAVESUSD,0.9246,0.9467,0.86,0.8758,4791.87,4225.32
2020-03-27,WAVESUSD,0.9396,0.9577,0.9246,0.9246,2558.89,2440.46
2020-03-26,WAVESUSD,0.9471,0.9651,0.914,0.9396,1181.93,1108.83
2020-03-25,WAVESUSD,0.945,0.9674,0.93,0.9471,1168.04,1103.17
2020-03-24,WAVESUSD,0.969,0.9839,0.93,0.945,1867.53,1779.98
2020-03-23,WAVESUSD,0.9101,0.971,0.8902,0.969,1016.43,949.21
2020-03-22,WAVESUSD,0.9751,1,0.8954,0.9101,1912.87,1784.89
2020-03-21,WAVESUSD,0.989,1.025,0.93,0.9751,2269.19,2197.18
2020-03-20,WAVESUSD,1.03,1.133,0.925,0.989,3613.5,3701.61
2020-03-19,WAVESUSD,0.933,1.058,0.9306,1.03,2203.02,2221.56
2020-03-18,WAVESUSD,0.9017,0.99,0.8465,0.933,2036.04,1800.31
2020-03-17,WAVESUSD,0.7692,0.9265,0.7692,0.9017,4720.0,3887.09
2020-03-16,WAVESUSD,0.9471,0.9491,0.7479,0.7692,6801.74,5584.2
2020-03-15,WAVESUSD,0.9141,0.9819,0.87,0.9471,2288.97,2141.06
2020-03-14,WAVESUSD,0.951,0.9944,0.8904,0.9141,6609.51,6239.57
2020-03-13,WAVESUSD,1.08,1.08,0.87,0.951,13972.57,13533.65
2020-03-12,WAVESUSD,1.41,1.41,1.011,1.08,5069.8,5617.05
2020-03-11,WAVESUSD,1.349,1.433,1.235,1.41,1764.99,2349.7
2020-03-10,WAVESUSD,1.121,1.49,1.1,1.349,2590.23,3213.43
2020-03-09,WAVESUSD,1.175,1.229,1.084,1.121,1189.32,1343.93
2020-03-08,WAVESUSD,1.34,1.37,1.175,1.175,456.04,564.74
2020-03-07,WAVESUSD,1.37,1.42,1.3,1.34,6586.56,9064.29
2020-03-06,WAVESUSD,1.36,1.461,1.276,1.37,3455.75,4849.48
2020-03-05,WAVESUSD,1.24,1.38,1.21,1.36,805.18,1029.28
2020-03-04,WAVESUSD,1.171,1.244,1.171,1.24,491.14,591.73
2020-03-03,WAVESUSD,1.23,1.236,1.161,1.171,370.74,447.68
2020-03-02,WAVESUSD,1.176,1.241,1.15,1.23,1502.61,1758.77
2020-03-01,WAVESUSD,1.197,1.23,1.134,1.176,1795.96,2126.0
2020-02-29,WAVESUSD,1.23,1.23,1.18,1.197,442.89,526.06
2020-02-28,WAVESUSD,1.29,1.29,1.12,1.23,1105.12,1338.17
2020-02-27,WAVESUSD,1.26,1.291,1.17,1.29,5538.92,6758.61
2020-02-26,WAVESUSD,1.363,1.393,1.225,1.26,8041.93,10382.86
2020-02-25,WAVESUSD,1.419,1.419,1.292,1.363,1271.04,1692.23
2020-02-24,WAVESUSD,1.47,1.47,1.35,1.419,2245.36,3164.32
2020-02-23,WAVESUSD,1.422,1.47,1.422,1.47,425.22,618.15
2020-02-22,WAVESUSD,1.479,1.495,1.42,1.422,734.14,1061.64
2020-02-21,WAVESUSD,1.51,1.544,1.457,1.479,1528.22,2275.79
2020-02-20,WAVESUSD,1.437,1.547,1.396,1.51,2170.63,3232.97
2020-02-19,WAVESUSD,1.47,1.548,1.38,1.437,3511.41,5176.43
2020-02-18,WAVESUSD,1.35,1.491,1.33,1.47,2267.08,3234.27
2020-02-17,WAVESUSD,1.4,1.414,1.23,1.35,2608.76,3392.54
2020-02-16,WAVESUSD,1.488,1.538,1.312,1.4,2055.41,2880.99
2020-02-15,WAVESUSD,1.547,1.696,1.441,1.488,2330.4,3677.45
2020-02-14,WAVESUSD,1.43,1.58,1.376,1.547,4205.15,6210.59
2020-02-13,WAVESUSD,1.425,1.479,1.398,1.43,1257.25,1798.5
2020-02-12,WAVESUSD,1.45,1.515,1.41,1.425,2219.36,3280.07
2020-02-11,WAVESUSD,1.411,1.54,1.336,1.45,5145.78,7464.95
2020-02-10,WAVESUSD,1.1,1.545,1.1,1.411,13438.74,17331.68
2020-02-09,WAVESUSD,1.081,1.119,1.05,1.1,4001.85,4384.39
2020-02-08,WAVESUSD,1.094,1.105,1.042,1.081,2531.24,2727.35
2020-02-07,WAVESUSD,1.024,1.14,1,1.094,5815.41,6396.12
2020-02-06,WAVESUSD,0.9899,1.024,0.97,1.024,4614.63,4615.33
2020-02-05,WAVESUSD,0.975,1.006,0.9622,0.9899,8154.0,8141.79
2020-02-04,WAVESUSD,0.9845,1.016,0.951,0.975,1814.09,1777.6
