Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume USD
2020-04-29,XEMUSD,0.03493,0.0379,0.03493,0.0379,492.75,18.51
2020-04-28,XEMUSD,0.03839,0.03839,0.03481,0.03493,918.5,32.26
2020-04-27,XEMUSD,0.035,0.03839,0.03441,0.03839,2158.98,82.31
2020-04-26,XEMUSD,0.0369,0.03838,0.0303,0.035,1209.68,42.79
2020-04-25,XEMUSD,0.0369,0.0369,0.0369,0.0369,0.0,0.0
2020-04-24,XEMUSD,0.03566,0.0369,0.03319,0.0369,3281.91,114.79
2020-04-23,XEMUSD,0.03396,0.03566,0.03006,0.03566,1074.5,35.99
2020-04-22,XEMUSD,0.03395,0.03396,0.03395,0.03396,200.66,6.814
2020-04-21,XEMUSD,0.03484,0.03484,0.03349,0.03395,1378.71,46.63
2020-04-20,XEMUSD,0.03812,0.03812,0.03484,0.03484,480.45,16.87
2020-04-19,XEMUSD,0.03782,0.03812,0.03512,0.03812,166.31,5.855
2020-04-18,XEMUSD,0.03387,0.03784,0.03387,0.03782,912.66,34.52
2020-04-17,XEMUSD,0.03388,0.03388,0.03387,0.03387,320.0,10.84
2020-04-16,XEMUSD,0.03388,0.03388,0.03388,0.03388,0.0,0.0
2020-04-15,XEMUSD,0.03448,0.03448,0.03388,0.03388,47.14,1.606
2020-04-14,XEMUSD,0.03469,0.0348,0.03448,0.03448,353.06,12.25
2020-04-13,XEMUSD,0.03498,0.03498,0.03428,0.03469,17.89,0.6172
2020-04-12,XEMUSD,0.03498,0.03498,0.03498,0.03498,0.0,0.0
2020-04-11,XEMUSD,0.03478,0.03875,0.03478,0.03498,16.47,0.5906
2020-04-10,XEMUSD,0.03648,0.0388,0.03388,0.03478,1067.56,37.21
2020-04-09,XEMUSD,0.03007,0.0395,0.03007,0.03648,3520.78,129.73
2020-04-08,XEMUSD,0.03072,0.03141,0.03007,0.03007,168.44,5.152
2020-04-07,XEMUSD,0.03336,0.03504,0.03072,0.03072,1457.08,45.97
2020-04-06,XEMUSD,0.03273,0.03336,0.03273,0.03336,2837.32,92.87
2020-04-05,XEMUSD,0.03157,0.03273,0.03157,0.03273,505.84,16.51
2020-04-04,XEMUSD,0.03166,0.03166,0.02825,0.03157,2321.98,70.63
2020-04-03,XEMUSD,0.03139,0.03387,0.03139,0.03166,4349.73,143.74
2020-04-02,XEMUSD,0.03121,0.03186,0.03121,0.03139,291.59,9.147
2020-04-01,XEMUSD,0.03023,0.03121,0.03023,0.03121,323.55,10.09
2020-03-31,XEMUSD,0.03108,0.0329,0.03012,0.03023,400.92,12.13
2020-03-30,XEMUSD,0.02803,0.033,0.02803,0.03108,1408.48,44.05
2020-03-29,XEMUSD,0.02914,0.02926,0.02803,0.02803,38.32,1.092
2020-03-28,XEMUSD,0.03247,0.03247,0.02914,0.02914,428.7,13.07
2020-03-27,XEMUSD,0.03151,0.03488,0.0315,0.03247,1435.62,47.13
2020-03-26,XEMUSD,0.03165,0.03165,0.03151,0.03151,10.0,0.3151
2020-03-25,XEMUSD,0.03385,0.03457,0.02901,0.03165,3431.66,102.3
2020-03-24,XEMUSD,0.02937,0.03413,0.02926,0.03385,57.46,1.77
2020-03-23,XEMUSD,0.02975,0.038,0.02878,0.02937,1273.57,41.63
2020-03-22,XEMUSD,0.02772,0.02975,0.02772,0.02975,348.84,10.35
2020-03-21,XEMUSD,0.02805,0.03257,0.02772,0.02772,6818.39,210.01
2020-03-20,XEMUSD,0.02876,0.0329,0.02772,0.02805,4037.93,121.26
2020-03-19,XEMUSD,0.02555,0.03862,0.02555,0.02876,3579.72,108.96
2020-03-18,XEMUSD,0.02767,0.02793,0.02522,0.02555,6108.09,163.13
2020-03-17,XEMUSD,0.02618,0.02827,0.02002,0.02767,18903.26,427.01
2020-03-16,XEMUSD,0.02975,0.02975,0.02618,0.02618,441.02,12.28
2020-03-15,XEMUSD,0.0294,0.0316,0.0294,0.02975,1594.08,47.62
2020-03-14,XEMUSD,0.03225,0.03225,0.02928,0.0294,490.7,14.73
2020-03-13,XEMUSD,0.03028,0.03225,0.02716,0.03225,3302.76,102.03
2020-03-12,XEMUSD,0.03841,0.03841,0.03028,0.03028,2533.71,86.77
2020-03-11,XEMUSD,0.03575,0.03841,0.03575,0.03841,1533.96,55.95
2020-03-10,XEMUSD,0.03575,0.03575,0.03575,0.03575,86.67,3.099
2020-03-09,XEMUSD,0.03977,0.04199,0.03542,0.03575,7876.36,323.54
2020-03-08,XEMUSD,0.04737,0.04737,0.03977,0.03977,1415.01,58.02
2020-03-07,XEMUSD,0.04737,0.04737,0.04737,0.04737,0.0,0.0
2020-03-06,XEMUSD,0.04735,0.04737,0.04583,0.04737,294.5,13.54
2020-03-05,XEMUSD,0.04473,0.04735,0.04456,0.04735,137.54,6.354
2020-03-04,XEMUSD,0.03953,0.04473,0.03952,0.04473,678.83,27.22
2020-03-03,XEMUSD,0.03716,0.03953,0.03716,0.03953,228.62,8.771
2020-03-02,XEMUSD,0.03716,0.03716,0.03716,0.03716,132.01,4.906
2020-03-01,XEMUSD,0.03716,0.03716,0.03716,0.03716,229.7,8.536
2020-02-29,XEMUSD,0.03736,0.03736,0.03716,0.03716,298.91,11.11
2020-02-28,XEMUSD,0.03759,0.04047,0.03696,0.03736,3933.62,145.65
2020-02-27,XEMUSD,0.04135,0.04135,0.03759,0.03759,21.75,0.8232
2020-02-26,XEMUSD,0.04004,0.04352,0.0385,0.04135,498.05,19.86
2020-02-25,XEMUSD,0.04117,0.0441,0.04004,0.04004,992.84,41.13
2020-02-24,XEMUSD,0.04451,0.04586,0.04117,0.04117,954.91,41.29
2020-02-23,XEMUSD,0.04478,0.04631,0.04451,0.04451,2730.93,122.12
2020-02-22,XEMUSD,0.04646,0.04646,0.04478,0.04478,40.97,1.865
2020-02-21,XEMUSD,0.0449,0.04646,0.0437,0.04646,1114.9,50.34
2020-02-20,XEMUSD,0.0462,0.0485,0.04411,0.0449,3977.49,181.29
2020-02-19,XEMUSD,0.04904,0.04904,0.0462,0.0462,1345.54,62.57
2020-02-18,XEMUSD,0.04718,0.04904,0.0462,0.04904,5657.58,265.85
2020-02-17,XEMUSD,0.04923,0.0495,0.0462,0.04718,14001.97,674.79
2020-02-16,XEMUSD,0.047,0.05442,0.047,0.04923,2881.19,141.38
2020-02-15,XEMUSD,0.05091,0.05267,0.045,0.047,681.9,33.04
2020-02-14,XEMUSD,0.04845,0.05091,0.0464,0.05091,8365.39,407.12
