Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume BTC
2020-04-29,XVGBTC,3.7e-07,3.7e-07,3.4e-07,3.5e-07,5218.67,0.001823
2020-04-28,XVGBTC,3.6e-07,3.7e-07,3.5e-07,3.7e-07,66438.77,0.02364
2020-04-27,XVGBTC,3.4e-07,3.8e-07,3.4e-07,3.6e-07,120530.24,0.04397
2020-04-26,XVGBTC,3.4e-07,3.6e-07,3.4e-07,3.4e-07,34281.79,0.01214
2020-04-25,XVGBTC,3.5e-07,3.6e-07,3.4e-07,3.4e-07,119958.41,0.04177
2020-04-24,XVGBTC,3.7e-07,3.9e-07,3.4e-07,3.5e-07,592726.86,0.2099
2020-04-23,XVGBTC,3.9e-07,3.9e-07,3.7e-07,3.7e-07,46515.61,0.01746
2020-04-22,XVGBTC,3.7e-07,3.9e-07,3.7e-07,3.9e-07,294969.74,0.1111
2020-04-21,XVGBTC,3.6e-07,3.8e-07,3.6e-07,3.7e-07,96730.05,0.0366
2020-04-20,XVGBTC,3.7e-07,3.7e-07,3.6e-07,3.6e-07,433305.72,0.1562
2020-04-19,XVGBTC,3.8e-07,3.9e-07,3.7e-07,3.7e-07,6020.36,0.002274
2020-04-18,XVGBTC,3.8e-07,3.9e-07,3.6e-07,3.8e-07,179312.11,0.06792
2020-04-17,XVGBTC,3.6e-07,4.0e-07,3.6e-07,3.8e-07,36527.96,0.01419
2020-04-16,XVGBTC,3.6e-07,4.0e-07,3.6e-07,3.6e-07,261805.33,0.1011
2020-04-15,XVGBTC,3.6e-07,3.8e-07,3.6e-07,3.6e-07,174228.95,0.06415
2020-04-14,XVGBTC,3.6e-07,3.7e-07,3.6e-07,3.6e-07,34991.76,0.01266
2020-04-13,XVGBTC,3.7e-07,3.7e-07,3.6e-07,3.6e-07,58328.16,0.021
2020-04-12,XVGBTC,3.6e-07,3.7e-07,3.6e-07,3.7e-07,18638.47,0.006889
2020-04-11,XVGBTC,3.4e-07,3.6e-07,3.4e-07,3.6e-07,170459.63,0.06134
2020-04-10,XVGBTC,3.5e-07,3.6e-07,3.4e-07,3.4e-07,196849.02,0.06917
2020-04-09,XVGBTC,3.6e-07,3.6e-07,3.5e-07,3.5e-07,142161.24,0.0505
2020-04-08,XVGBTC,3.5e-07,3.6e-07,3.5e-07,3.6e-07,22478.14,0.008023
2020-04-07,XVGBTC,3.5e-07,3.6e-07,3.5e-07,3.5e-07,25454.54,0.00898
2020-04-06,XVGBTC,3.4e-07,3.7e-07,3.4e-07,3.5e-07,258384.1,0.09143
2020-04-05,XVGBTC,3.6e-07,3.7e-07,3.4e-07,3.4e-07,304600.68,0.1076
2020-04-04,XVGBTC,3.6e-07,3.7e-07,3.5e-07,3.6e-07,175687.75,0.06357
2020-04-03,XVGBTC,3.4e-07,3.6e-07,3.4e-07,3.6e-07,149331.06,0.05329
2020-04-02,XVGBTC,3.4e-07,3.6e-07,3.4e-07,3.4e-07,171119.21,0.06012
2020-04-01,XVGBTC,3.5e-07,3.7e-07,3.4e-07,3.4e-07,756752.7,0.2689
2020-03-31,XVGBTC,3.4e-07,3.5e-07,3.4e-07,3.5e-07,24404.94,0.008363
2020-03-30,XVGBTC,3.5e-07,3.5e-07,3.3e-07,3.4e-07,47590.31,0.01624
2020-03-29,XVGBTC,3.1e-07,3.5e-07,3.1e-07,3.5e-07,14832.97,0.005065
2020-03-28,XVGBTC,3.6e-07,3.7e-07,3.0e-07,3.1e-07,497512.3,0.1719
