Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2020-05-15,LTCUSD,44.06,44.19,42.43,43.27,24817.89,1072277.46
2020-05-14,LTCUSD,43.26,44.43,42.21,44.06,55226.03,2406838.38
2020-05-13,LTCUSD,42.19,43.8,41.97,43.26,40780.58,1750597.42
2020-05-12,LTCUSD,41.73,42.88,41.25,42.19,30977.42,1304388.13
2020-05-11,LTCUSD,42.19,42.9,39.45,41.73,65056.56,2663648.16
2020-05-10,LTCUSD,47,47,38.78,42.19,121307.13,5105633.3
2020-05-09,LTCUSD,47.72,49.06,46.77,47,53876.85,2585156.85
2020-05-08,LTCUSD,47.47,48.5,46.4,47.72,51233.05,2435404.9
2020-05-07,LTCUSD,45,48.25,44.44,47.47,111678.09,5184765.3
2020-05-06,LTCUSD,46.64,47.69,44.5,45,52817.03,2450223.43
2020-05-05,LTCUSD,47.12,47.85,45.77,46.64,36185.46,1694872.0
2020-05-04,LTCUSD,48.1,48.2,45.14,47.12,27292.82,1267016.44
2020-05-03,LTCUSD,49.24,50.08,46.63,48.1,28507.21,1381074.3
2020-05-02,LTCUSD,47.04,49.61,46.8,49.24,19447.26,937383.28
2020-05-01,LTCUSD,46.26,48.39,46.26,47.04,23713.27,1124930.36
2020-04-30,LTCUSD,48.78,50.92,45.68,46.26,96824.05,4643435.25
2020-04-29,LTCUSD,45.8,50.16,45.74,48.78,97412.98,4660874.52
2020-04-28,LTCUSD,44.59,46.25,43.45,45.8,30027.91,1340778.21
2020-04-27,LTCUSD,44.65,45.3,43.23,44.59,50462.8,2234191.31
2020-04-26,LTCUSD,44.34,45.37,43.82,44.65,21844.6,972170.45
2020-04-25,LTCUSD,44.51,45.6,43.95,44.34,23102.31,1035360.54
2020-04-24,LTCUSD,42.9,45.13,42.9,44.51,56401.69,2484668.91
2020-04-23,LTCUSD,41.81,43.99,41.06,42.9,37272.94,1603218.43
2020-04-22,LTCUSD,40.65,42.41,40.33,41.81,26695.68,1114609.76
2020-04-21,LTCUSD,40.25,41.3,40.11,40.65,15537.38,632037.83
2020-04-20,LTCUSD,42.32,43.28,39.56,40.25,63930.18,2603294.41
2020-04-19,LTCUSD,44.25,44.25,41.6,42.32,13771.77,588414.53
2020-04-18,LTCUSD,42.35,44.53,42.16,44.25,15849.84,685403.63
2020-04-17,LTCUSD,42.34,43,41.62,42.35,18664.57,787047.03
2020-04-16,LTCUSD,39.31,43.77,37.17,42.34,77529.72,3191828.83
2020-04-15,LTCUSD,41.25,41.72,39.07,39.31,22226.7,897098.19
2020-04-14,LTCUSD,41.29,41.93,40.64,41.25,22480.08,929777.15
2020-04-13,LTCUSD,42,42,39.35,41.29,37382.22,1515606.58
2020-04-12,LTCUSD,42.68,43.76,41.93,42,27337.12,1175141.21
2020-04-11,LTCUSD,42.16,43.16,41.5,42.68,18706.17,792412.35
2020-04-10,LTCUSD,46.34,46.4,40.93,42.16,57660.71,2463776.59
2020-04-09,LTCUSD,46.57,46.92,44.75,46.34,22929.87,1057253.31
2020-04-08,LTCUSD,44.8,47.25,44.34,46.57,26786.38,1237227.63
2020-04-07,LTCUSD,45.1,47.65,43.75,44.8,65700.01,3011836.5
2020-04-06,LTCUSD,40.47,45.18,40.38,45.1,67402.78,2910836.27
2020-04-05,LTCUSD,40.8,41.07,39.95,40.47,17496.78,708948.93
2020-04-04,LTCUSD,40.62,41.37,40.01,40.8,15361.02,621583.79
2020-04-03,LTCUSD,39.83,41.32,39.71,40.62,30124.54,1223489.68
2020-04-02,LTCUSD,39.3,43.04,39.11,39.83,49482.98,2004271.08
2020-04-01,LTCUSD,39.35,39.61,37.2,39.3,35413.58,1357534.74
2020-03-31,LTCUSD,39.09,39.37,38.45,39.35,17666.23,688333.69
2020-03-30,LTCUSD,37.1,39.79,37.1,39.09,23849.9,924108.53
2020-03-29,LTCUSD,38.97,39.17,37.01,37.1,31641.78,1198821.86
2020-03-28,LTCUSD,38.17,39.51,36.64,38.97,67682.33,2553626.28
2020-03-27,LTCUSD,40.61,41.38,37.47,38.17,54726.97,2183135.5
2020-03-26,LTCUSD,39.25,40.61,38.53,40.61,38673.62,1518962.53
2020-03-25,LTCUSD,40.72,41.16,38.15,39.25,53909.58,2129823.93
2020-03-24,LTCUSD,39.08,41.07,38.4,40.72,69531.6,2773814.38
2020-03-23,LTCUSD,35.41,40.31,34.63,39.08,67348.13,2550912.85
2020-03-22,LTCUSD,38.42,39.69,34.8,35.41,52140.66,1928765.83
2020-03-21,LTCUSD,38.12,39.85,36.26,38.42,90725.44,3444650.26
2020-03-20,LTCUSD,39.05,43.9,34.01,38.12,149870.31,5984833.05
2020-03-19,LTCUSD,34.64,40.93,34.08,39.05,158359.19,5991992.86
2020-03-18,LTCUSD,34.45,34.9,32.46,34.64,89180.38,2995818.58
2020-03-17,LTCUSD,33.47,36.07,32.59,34.45,74133.68,2574619.46
2020-03-16,LTCUSD,36.3,36.3,29.21,33.47,157902.13,5094743.79
2020-03-15,LTCUSD,34.35,38.93,34,36.3,74255.91,2683193.31
2020-03-14,LTCUSD,37.9,38.01,33.82,34.35,80401.0,2898267.57
2020-03-13,LTCUSD,30.76,40.76,24.53,37.9,309628.4,10203838.04
2020-03-12,LTCUSD,48.6,48.82,28.8,30.76,375186.92,13654922.77
2020-03-11,LTCUSD,50.14,50.76,45.49,48.6,94511.58,4529644.87
2020-03-10,LTCUSD,50.46,51.47,48.78,50.14,43469.02,2185726.87
2020-03-09,LTCUSD,51.09,52.53,46.21,50.46,124071.91,6118170.18
2020-03-08,LTCUSD,60.51,60.51,50.22,51.09,95967.16,5249166.84
2020-03-07,LTCUSD,63.29,63.98,60.1,60.51,32026.36,1984497.09
2020-03-06,LTCUSD,61.86,63.85,61.3,63.29,54791.26,3428690.28
2020-03-05,LTCUSD,60.62,63.34,60.58,61.86,42015.71,2617472.62
2020-03-04,LTCUSD,60.87,61.81,58.82,60.28,35070.4,2113109.78
2020-03-03,LTCUSD,61.38,62.53,59.47,60.87,57182.9,3480546.12
2020-03-02,LTCUSD,57.9,62.41,57.26,61.38,55234.12,3331961.79
2020-03-01,LTCUSD,58.13,60.34,56.15,57.9,32763.4,1902399.33
