Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume USD
2020-05-15,ETCUSD,6.301,6.303,6.083,6.17,794.56,4913.95
2020-05-14,ETCUSD,6.242,6.444,6.117,6.301,2771.36,17343.05
2020-05-13,ETCUSD,6.065,6.279,6.042,6.242,3406.86,20978.87
2020-05-12,ETCUSD,5.931,6.218,5.895,6.065,1248.29,7653.71
2020-05-11,ETCUSD,6.177,6.3,5.633,5.931,7514.71,44550.19
2020-05-10,ETCUSD,7.061,7.061,5.633,6.177,12736.93,80067.84
2020-05-09,ETCUSD,7.147,7.3,7.004,7.061,12895.64,92262.17
2020-05-08,ETCUSD,7.115,7.3,6.955,7.147,5881.01,42447.75
2020-05-07,ETCUSD,6.814,7.2,6.8,7.115,3204.71,22465.79
2020-05-06,ETCUSD,7.185,7.396,6.814,6.814,3483.29,24923.3
2020-05-05,ETCUSD,7.21,7.464,7.045,7.185,4287.5,30883.68
2020-05-04,ETCUSD,7.184,7.358,6.7,7.21,6237.37,43783.92
2020-05-03,ETCUSD,7.402,7.64,7.033,7.184,4785.35,34928.91
2020-05-02,ETCUSD,6.596,7.551,6.566,7.402,8456.84,61013.44
2020-05-01,ETCUSD,6.5,6.74,6.5,6.596,669.43,4438.63
2020-04-30,ETCUSD,6.759,7,6.32,6.5,5860.93,39182.23
2020-04-29,ETCUSD,6.177,6.885,6.146,6.759,12058.65,78777.18
2020-04-28,ETCUSD,6.104,6.201,5.996,6.177,2825.0,17330.6
2020-04-27,ETCUSD,6.215,6.32,5.967,6.104,5517.97,33573.1
2020-04-26,ETCUSD,5.756,6.254,5.756,6.215,4297.32,25834.44
2020-04-25,ETCUSD,5.592,5.859,5.526,5.756,2672.07,15187.57
2020-04-24,ETCUSD,5.591,5.748,5.547,5.592,5911.96,33244.48
2020-04-23,ETCUSD,5.398,5.79,5.3,5.591,69314.63,394444.42
2020-04-22,ETCUSD,5.2,5.452,5.175,5.398,6446.01,34431.54
2020-04-21,ETCUSD,5.29,5.317,5.14,5.2,1458.81,7574.98
2020-04-20,ETCUSD,5.53,5.64,5.212,5.29,2899.55,15674.11
2020-04-19,ETCUSD,5.665,5.7,5.446,5.53,1394.42,7770.26
2020-04-18,ETCUSD,5.455,5.68,5.414,5.665,1458.21,8121.01
2020-04-17,ETCUSD,5.528,5.528,5.347,5.455,635.82,3425.58
2020-04-16,ETCUSD,5.094,5.607,4.851,5.528,3978.3,20812.67
2020-04-15,ETCUSD,5.274,5.351,5.082,5.094,2913.1,15063.93
2020-04-14,ETCUSD,5.205,5.39,5.149,5.274,1778.19,9324.74
2020-04-13,ETCUSD,5.317,5.317,5.05,5.205,1306.71,6701.75
2020-04-12,ETCUSD,5.281,5.486,5.196,5.317,3117.28,16858.48
2020-04-11,ETCUSD,5.319,5.373,5.144,5.281,797.87,4220.36
2020-04-10,ETCUSD,5.925,5.925,5.111,5.319,6385.9,33815.83
2020-04-09,ETCUSD,5.82,5.944,5.58,5.925,2796.29,16102.45
2020-04-08,ETCUSD,5.471,5.89,5.404,5.82,5018.67,28707.7
2020-04-07,ETCUSD,5.626,5.85,5.214,5.471,11536.97,64628.14
2020-04-06,ETCUSD,5.051,5.706,5.051,5.626,7938.52,42617.53
2020-04-05,ETCUSD,5.149,5.208,4.945,5.051,2472.25,12466.1
2020-04-04,ETCUSD,5.14,5.237,5.052,5.149,2816.55,14430.59
2020-04-03,ETCUSD,5.066,5.249,5.01,5.14,3068.29,15769.85
2020-04-02,ETCUSD,5.026,5.343,4.985,5.066,7919.29,40914.57
2020-04-01,ETCUSD,4.959,5.078,4.807,5.026,4520.7,22352.78
2020-03-31,ETCUSD,4.95,5.02,4.912,4.959,4576.15,22813.27
2020-03-30,ETCUSD,4.857,5.043,4.806,4.95,7091.05,35153.64
2020-03-29,ETCUSD,4.869,5.057,4.795,4.857,4977.27,24518.71
2020-03-28,ETCUSD,4.936,5.01,4.642,4.869,5033.6,24339.99
2020-03-27,ETCUSD,5.097,5.215,4.866,4.936,2363.91,12098.59
2020-03-26,ETCUSD,4.98,5.13,4.91,5.097,948.63,4750.87
2020-03-25,ETCUSD,5.135,5.26,4.9,4.98,4365.85,21897.21
2020-03-24,ETCUSD,4.939,5.2,4.882,5.135,7058.65,35641.76
2020-03-23,ETCUSD,4.527,5.1,4.527,4.939,5521.72,27221.72
2020-03-22,ETCUSD,4.996,5.219,4.527,4.527,5295.92,25227.47
2020-03-21,ETCUSD,4.922,5.181,4.7,4.996,12962.35,63493.34
2020-03-20,ETCUSD,5.137,5.523,4.563,4.922,30882.93,154686.21
2020-03-19,ETCUSD,4.631,5.318,4.528,5.137,21716.37,108849.77
2020-03-18,ETCUSD,4.757,4.757,4.36,4.631,4428.29,19880.96
2020-03-17,ETCUSD,4.522,4.973,4.37,4.757,11591.59,54162.47
2020-03-16,ETCUSD,5.046,5.046,4.058,4.522,14391.43,62992.54
2020-03-15,ETCUSD,4.61,5.488,4.507,5.046,14243.73,70911.43
2020-03-14,ETCUSD,4.79,4.908,4.489,4.653,8239.83,39064.8
2020-03-13,ETCUSD,3.873,5.551,3.3,4.908,14928.8,62908.32
2020-03-12,ETCUSD,6.61,6.61,3.672,3.873,34738.46,167108.85
2020-03-11,ETCUSD,6.84,6.878,6.125,6.61,6531.85,41828.61
2020-03-10,ETCUSD,6.92,6.92,6.824,6.824,75.57,515.76
2020-03-09,ETCUSD,6.397,7.037,6.36,6.92,3792.33,25448.81
2020-03-08,ETCUSD,7.846,7.846,6.23,6.447,7443.52,50992.81
2020-03-07,ETCUSD,8.215,8.215,8.215,8.215,0.0,0.0
2020-03-06,ETCUSD,8.17,8.278,7.9,8.215,2121.07,17268.21
2020-03-05,ETCUSD,8.051,8.435,7.95,8.165,3243.42,26521.27
2020-03-04,ETCUSD,8.441,8.441,7.667,8.051,4564.38,37132.62
2020-03-03,ETCUSD,8.344,8.344,8.344,8.344,2.996,25.0
2020-03-02,ETCUSD,7.763,8.604,7.763,8.344,4582.65,38569.91
2020-03-01,ETCUSD,7.428,7.9,7.384,7.763,1433.94,10993.78
2020-02-29,ETCUSD,7.487,7.534,7.46,7.534,46.38,346.28
2020-02-28,ETCUSD,7.685,7.828,7.15,7.487,8603.07,63794.03
2020-02-27,ETCUSD,7.655,8.6,7.313,7.685,8938.8,69643.76
2020-02-26,ETCUSD,9.238,9.238,7.201,7.655,10943.94,91045.68
2020-02-25,ETCUSD,9.245,9.437,9,9.243,5461.54,49685.22
2020-02-24,ETCUSD,9.673,9.758,9.02,9.245,3273.54,30509.69
2020-02-23,ETCUSD,9.493,9.493,9.493,9.493,0.0,0.0
2020-02-22,ETCUSD,9.26,9.722,9.26,9.493,3202.05,30463.54
2020-02-21,ETCUSD,8.9,9.923,8.798,9.26,3617.72,34335.56
2020-02-20,ETCUSD,8.811,9.022,8.384,8.9,3655.95,31873.02
2020-02-19,ETCUSD,9.72,9.869,8.667,8.811,11991.72,111918.58
2020-02-18,ETCUSD,9.595,10.02,9.16,9.803,6849.23,66813.07
2020-02-17,ETCUSD,9.66,9.866,8.66,9.595,6796.24,63062.63
2020-02-16,ETCUSD,10.37,10.99,8.97,9.66,10462.66,99987.46
2020-02-15,ETCUSD,12.03,12.05,9.838,10.37,8271.74,89157.34
2020-02-14,ETCUSD,11.89,12.04,11.67,12.03,1310.52,15634.57
2020-02-13,ETCUSD,12.23,13.08,11.47,11.93,9575.46,115115.13
2020-02-12,ETCUSD,12.01,12.48,12.01,12.23,8599.5,105139.11
2020-02-11,ETCUSD,11.89,12.1,11.6,12.01,7448.08,88950.81
2020-02-10,ETCUSD,11.7,12,11.38,11.89,2368.63,28030.12
2020-02-09,ETCUSD,11.69,12.12,11.33,11.7,3718.07,43667.38
2020-02-08,ETCUSD,11.66,11.91,11.16,11.69,8772.86,102595.17
2020-02-07,ETCUSD,12.08,12.24,11.42,11.66,6988.89,82620.27
2020-02-06,ETCUSD,12.27,13.17,11.04,12.08,13103.67,160282.75
2020-02-05,ETCUSD,11.46,12.61,11.32,12.27,3458.88,42321.84
2020-02-04,ETCUSD,11.87,11.95,11.76,11.76,903.81,10793.34
2020-02-03,ETCUSD,11.3,12.2,11.3,11.87,6004.98,70252.01
2020-02-02,ETCUSD,11.64,11.75,11.14,11.3,3773.61,42765.36
2020-02-01,ETCUSD,11.34,11.9,11.14,11.53,10341.57,119534.73
2020-01-31,ETCUSD,12.26,12.27,10.68,11.49,8616.29,97491.03
2020-01-30,ETCUSD,11.76,12.62,11.69,12.26,6378.05,77351.13
