Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2020-05-15,LTCUSD,44.12,44.14,42.39,43.24,1006.06,43401.78
2020-05-14,LTCUSD,43.27,44.42,42.34,44.12,3726.77,161849.8
2020-05-13,LTCUSD,42.28,43.82,42.01,43.27,1686.48,72314.74
2020-05-12,LTCUSD,41.97,42.82,41.37,42.28,2136.85,90092.83
2020-05-11,LTCUSD,42.14,42.82,39.46,41.97,5317.77,220488.09
2020-05-10,LTCUSD,47.05,47.05,39.37,42.14,5277.71,221737.08
2020-05-09,LTCUSD,47.82,49.06,46.72,47.05,2939.86,140975.04
2020-05-08,LTCUSD,47.66,48.5,46.43,47.82,4173.38,198636.56
2020-05-07,LTCUSD,45.27,48.38,44.46,47.66,3350.68,156465.52
2020-05-06,LTCUSD,46.63,47.61,44.61,45.27,3646.75,169753.34
2020-05-05,LTCUSD,47.01,47.8,45.8,46.63,3489.0,163888.15
2020-05-04,LTCUSD,48.15,48.15,45.25,47.01,1906.62,88891.89
2020-05-03,LTCUSD,49.34,50,46.7,48.15,2344.4,114017.91
2020-05-02,LTCUSD,47.1,49.69,46.93,49.34,1375.67,66596.87
2020-05-01,LTCUSD,46.37,48.27,46.31,47.1,1796.86,84872.35
2020-04-30,LTCUSD,48.85,50.8,45.66,46.37,7321.73,351228.93
2020-04-29,LTCUSD,45.89,50.11,45.47,48.85,6681.53,319198.33
2020-04-28,LTCUSD,44.63,46.27,43.58,45.89,2350.35,104667.83
2020-04-27,LTCUSD,44.45,45.41,43.38,44.63,2041.39,90630.77
2020-04-26,LTCUSD,44.3,45.42,43.69,44.45,3031.43,134840.45
2020-04-25,LTCUSD,44.65,45.59,43.95,44.3,3780.11,169108.01
2020-04-24,LTCUSD,42.83,44.99,42.83,44.65,3179.1,140040.94
2020-04-23,LTCUSD,41.9,43.97,41.15,42.83,4741.87,204134.4
2020-04-22,LTCUSD,40.76,42.45,40.32,41.9,1290.93,53678.54
2020-04-21,LTCUSD,40.44,41.37,40.19,40.76,2367.88,96441.67
2020-04-20,LTCUSD,42.3,43.45,39.66,40.44,4797.45,197819.39
2020-04-19,LTCUSD,44.31,44.39,41.67,42.3,2161.6,93242.6
2020-04-18,LTCUSD,42.27,44.66,42,44.31,3197.07,138068.76
2020-04-17,LTCUSD,42.45,43.44,41.67,42.27,2387.85,100860.66
2020-04-16,LTCUSD,39.3,43.76,37.96,42.45,3329.83,139078.69
2020-04-15,LTCUSD,41.13,41.74,39.12,39.3,2563.66,104105.75
2020-04-14,LTCUSD,41.53,42.02,40.63,41.13,1270.63,52733.84
2020-04-13,LTCUSD,42.01,42.01,39.7,41.53,4174.83,169386.81
2020-04-12,LTCUSD,42.63,43.78,41.95,42.01,3377.57,144240.53
2020-04-11,LTCUSD,42.31,43.08,41.57,42.63,1177.07,49863.09
