Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2020-05-15,LTCUSD,43.99,43.99,43.99,43.99,0.0,0.0
2020-05-14,LTCUSD,43.25,44.42,42.28,43.99,17325.18,752501.72
2020-05-13,LTCUSD,42.19,43.82,42,43.25,9638.19,413867.74
2020-05-12,LTCUSD,41.7,42.87,41.38,42.19,12514.38,527609.96
2020-05-11,LTCUSD,42.15,42.88,39.59,41.7,20676.16,853985.68
2020-05-10,LTCUSD,46.98,46.98,36.99,42.15,23055.32,973949.6
2020-05-09,LTCUSD,47.66,49.1,46.93,46.98,15219.22,729781.73
2020-05-08,LTCUSD,47.51,48.5,46.48,47.66,18787.4,896511.61
2020-05-07,LTCUSD,45.04,48.25,44.5,47.51,17816.07,831560.52
2020-05-06,LTCUSD,46.47,47.58,44.63,45.04,17311.07,797921.78
2020-05-05,LTCUSD,47.07,47.8,45.95,46.47,6333.29,296211.37
2020-05-04,LTCUSD,48.08,48.2,45.3,47.07,12364.9,575050.84
2020-05-03,LTCUSD,49.3,50,46.78,48.08,16746.89,809106.81
2020-05-02,LTCUSD,47.09,49.53,46.88,49.3,14562.69,710051.11
2020-05-01,LTCUSD,46.24,48.3,46.24,47.09,18578.52,875034.64
2020-04-30,LTCUSD,48.85,50.88,45.81,46.24,42313.41,2024829.08
2020-04-29,LTCUSD,45.82,50.05,45.76,48.85,20175.75,969051.8
2020-04-28,LTCUSD,44.58,46.15,43.67,45.82,10676.11,480851.24
2020-04-27,LTCUSD,44.61,45.28,43.3,44.58,11748.71,520468.43
2020-04-26,LTCUSD,44.44,45.38,43.95,44.61,4481.29,198953.65
2020-04-25,LTCUSD,44.63,45.47,44.01,44.44,3641.69,163420.13
2020-04-24,LTCUSD,43.55,44.97,43.27,44.63,18312.98,812245.32
2020-04-23,LTCUSD,41.83,43.85,41.04,43.55,12866.0,548427.2
2020-04-22,LTCUSD,40.68,42.36,40.4,41.83,12726.37,532003.05
2020-04-21,LTCUSD,40.31,41.36,40.14,40.68,7099.18,288611.05
2020-04-20,LTCUSD,42.39,43.34,39.58,40.31,22024.51,911903.51
2020-04-19,LTCUSD,44.33,44.34,41.71,42.39,9916.6,426227.15
2020-04-18,LTCUSD,42.23,44.92,42.16,44.33,8598.17,375010.43
2020-04-17,LTCUSD,42.6,43.09,41.68,42.23,5190.35,219099.25
2020-04-16,LTCUSD,39.29,43.74,38,42.6,21207.53,871529.87
2020-04-15,LTCUSD,41.15,41.7,39.13,39.29,8482.43,340859.37
2020-04-14,LTCUSD,41.32,41.87,40.63,41.15,6843.69,283513.34
2020-04-13,LTCUSD,42.33,42.33,39.63,41.32,18434.55,746806.46
2020-04-12,LTCUSD,42.68,43.72,41.92,42.33,7655.31,328989.79
2020-04-11,LTCUSD,42.26,43.11,41.55,42.68,11841.14,502226.28
2020-04-10,LTCUSD,46.73,46.73,40.96,42.26,45129.2,1932256.69
2020-04-09,LTCUSD,46.7,46.92,44.8,46.73,16575.24,760274.97
2020-04-08,LTCUSD,44.61,47.23,44.35,46.7,26529.79,1224196.02
2020-04-07,LTCUSD,45.18,47.73,43.63,44.61,43036.59,1964395.33
2020-04-06,LTCUSD,40.46,45.18,40.41,45.18,44828.38,1933603.7
2020-04-05,LTCUSD,40.86,40.96,39.93,40.46,10572.07,427106.31
2020-04-04,LTCUSD,40.56,41.2,40,40.86,10940.17,443374.53
2020-04-03,LTCUSD,40,41.33,39.72,40.56,36311.23,1473702.22
2020-04-02,LTCUSD,39.35,43,39.1,40,29718.08,1193858.71
2020-04-01,LTCUSD,39.39,39.55,37.21,39.35,17787.37,683248.78
2020-03-31,LTCUSD,38.98,39.4,38.39,39.39,18645.69,728203.73
2020-03-30,LTCUSD,37.08,39.72,37.08,38.98,16823.28,650787.48
2020-03-29,LTCUSD,39.04,39.09,37.01,37.08,6544.04,249092.66
2020-03-28,LTCUSD,38.22,39.52,36.64,39.04,38877.24,1467249.27
2020-03-27,LTCUSD,39.66,41.35,37.83,38.22,35830.98,1420612.0
2020-03-26,LTCUSD,39.23,40.05,38.56,39.66,26433.79,1035093.25
2020-03-25,LTCUSD,40.74,41.15,38.23,39.23,61293.39,2437303.66
2020-03-24,LTCUSD,39.15,41.07,38.44,40.74,46084.54,1839816.46
2020-03-23,LTCUSD,35.54,40.24,34.57,39.15,60038.7,2236373.66
2020-03-22,LTCUSD,38.18,39.76,34.91,35.54,45269.97,1651339.81
2020-03-21,LTCUSD,38.02,39.85,36.41,38.18,34328.43,1314028.56
2020-03-20,LTCUSD,39.17,43.81,34.33,38.02,122922.34,4881337.12
2020-03-19,LTCUSD,34.7,41.28,34.12,39.17,55353.05,2096064.84
2020-03-18,LTCUSD,34.41,34.96,32.4,34.7,44656.54,1511509.47
2020-03-17,LTCUSD,33.35,35.99,32.75,34.41,54287.77,1879733.26
