Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2020-05-12 01-AM,LTCBTC,0.00483,0.00483,0.004814,0.00482,36.05,0.1736
2020-05-12 12-AM,LTCBTC,0.004859,0.004859,0.004829,0.00483,1.22,0.005903
2020-05-11 11-PM,LTCBTC,0.004808,0.004862,0.004806,0.004859,160.03,0.775
2020-05-11 10-PM,LTCBTC,0.004817,0.004817,0.004796,0.004808,223.52,1.074
2020-05-11 09-PM,LTCBTC,0.004799,0.004839,0.004797,0.004817,663.4,3.193
2020-05-11 08-PM,LTCBTC,0.004751,0.004805,0.004748,0.004799,366.73,1.756
2020-05-11 07-PM,LTCBTC,0.00472,0.004798,0.004708,0.004751,3412.36,16.12
2020-05-11 06-PM,LTCBTC,0.004782,0.004806,0.00472,0.00472,1174.04,5.61
2020-05-11 05-PM,LTCBTC,0.00472,0.004782,0.00472,0.004782,1014.05,4.813
2020-05-11 04-PM,LTCBTC,0.004686,0.004759,0.004664,0.00472,1346.04,6.339
2020-05-11 03-PM,LTCBTC,0.00471,0.00471,0.004686,0.004686,107.75,0.5057
2020-05-11 02-PM,LTCBTC,0.004742,0.004742,0.004705,0.00471,38.2,0.18
2020-05-11 01-PM,LTCBTC,0.004738,0.004743,0.004701,0.004742,142.88,0.6739
2020-05-11 12-PM,LTCBTC,0.004702,0.00474,0.004667,0.004738,1205.74,5.677
2020-05-11 11-AM,LTCBTC,0.00474,0.004746,0.004702,0.004702,162.68,0.7681
2020-05-11 10-AM,LTCBTC,0.004826,0.004826,0.004712,0.00474,159.04,0.7525
2020-05-11 09-AM,LTCBTC,0.00478,0.004826,0.00478,0.004826,18.87,0.09086
2020-05-11 08-AM,LTCBTC,0.00477,0.004788,0.00477,0.00478,8.18,0.03905
2020-05-11 07-AM,LTCBTC,0.004794,0.004798,0.004751,0.00477,473.26,2.256
2020-05-11 06-AM,LTCBTC,0.004808,0.004808,0.004794,0.004794,139.21,0.6675
2020-05-11 05-AM,LTCBTC,0.004814,0.004822,0.004808,0.004808,9.715,0.0468
2020-05-11 04-AM,LTCBTC,0.00482,0.004824,0.004814,0.004814,0.3802,0.001832
2020-05-11 03-AM,LTCBTC,0.004844,0.004844,0.004812,0.00482,17.1,0.08236
2020-05-11 02-AM,LTCBTC,0.004844,0.004844,0.004844,0.004844,0.0,0.0
2020-05-11 01-AM,LTCBTC,0.004866,0.004866,0.004838,0.004844,0.5276,0.002553
2020-05-11 12-AM,LTCBTC,0.004823,0.004867,0.004798,0.004866,14.01,0.06777
2020-05-10 11-PM,LTCBTC,0.004793,0.004846,0.00478,0.004823,120.4,0.5812
2020-05-10 10-PM,LTCBTC,0.004848,0.004848,0.004793,0.004793,56.8,0.273
2020-05-10 09-PM,LTCBTC,0.004822,0.004855,0.004798,0.004848,241.8,1.17
2020-05-10 08-PM,LTCBTC,0.004842,0.004853,0.004799,0.004822,216.54,1.044
2020-05-10 07-PM,LTCBTC,0.004832,0.004847,0.00482,0.004842,323.76,1.564
2020-05-10 06-PM,LTCBTC,0.004796,0.004832,0.004791,0.004832,103.2,0.4969
2020-05-10 05-PM,LTCBTC,0.004814,0.004851,0.004766,0.004796,2908.53,13.93
2020-05-10 04-PM,LTCBTC,0.004817,0.004817,0.00476,0.004814,2820.89,13.51
2020-05-10 03-PM,LTCBTC,0.004837,0.004856,0.004809,0.004817,76.45,0.3692
2020-05-10 02-PM,LTCBTC,0.004838,0.004859,0.004835,0.004837,287.97,1.393
2020-05-10 01-PM,LTCBTC,0.004852,0.004852,0.004832,0.004838,61.78,0.2993
2020-05-10 12-PM,LTCBTC,0.004856,0.00486,0.004844,0.004852,1350.97,6.555
2020-05-10 11-AM,LTCBTC,0.004838,0.004861,0.004834,0.004856,133.8,0.6481
2020-05-10 10-AM,LTCBTC,0.004829,0.004838,0.004825,0.004838,205.7,0.9949
2020-05-10 09-AM,LTCBTC,0.004823,0.004829,0.004815,0.004829,145.94,0.7045
2020-05-10 08-AM,LTCBTC,0.004846,0.004846,0.004814,0.004823,244.96,1.182
2020-05-10 07-AM,LTCBTC,0.00488,0.00488,0.004846,0.004846,109.61,0.5334
2020-05-10 06-AM,LTCBTC,0.004868,0.004895,0.004864,0.00488,68.41,0.3344
2020-05-10 05-AM,LTCBTC,0.004895,0.004895,0.004837,0.004868,40.74,0.1981
2020-05-10 04-AM,LTCBTC,0.004846,0.004898,0.004841,0.004895,51.1,0.2484
2020-05-10 03-AM,LTCBTC,0.004861,0.004901,0.004846,0.004846,208.45,1.017
2020-05-10 02-AM,LTCBTC,0.004904,0.004904,0.004861,0.004861,10.97,0.0536
2020-05-10 01-AM,LTCBTC,0.004887,0.004943,0.004851,0.004904,1789.68,8.715
2020-05-10 12-AM,LTCBTC,0.004906,0.004947,0.004735,0.004887,13337.02,64.44
2020-05-09 11-PM,LTCBTC,0.0049,0.004929,0.0049,0.004906,15.69,0.07711
2020-05-09 10-PM,LTCBTC,0.004943,0.004943,0.004895,0.0049,26.14,0.1285
2020-05-09 09-PM,LTCBTC,0.00494,0.004943,0.00494,0.004943,0.1802,0.0008905
2020-05-09 08-PM,LTCBTC,0.004914,0.00494,0.004898,0.00494,72.15,0.3549
2020-05-09 07-PM,LTCBTC,0.004911,0.004914,0.004898,0.004914,18.74,0.09186
2020-05-09 06-PM,LTCBTC,0.004911,0.004923,0.004903,0.004911,27.72,0.1361
2020-05-09 05-PM,LTCBTC,0.004929,0.004948,0.004911,0.004911,143.72,0.7085
2020-05-09 04-PM,LTCBTC,0.00498,0.005002,0.004929,0.004929,26.64,0.1327
2020-05-09 03-PM,LTCBTC,0.004938,0.00498,0.004938,0.00498,2.78,0.01378
2020-05-09 02-PM,LTCBTC,0.004929,0.004946,0.004926,0.004938,193.83,0.9578
2020-05-09 01-PM,LTCBTC,0.004951,0.004951,0.004926,0.004929,9.139,0.04506
2020-05-09 12-PM,LTCBTC,0.004935,0.004951,0.004915,0.004951,335.85,1.652
2020-05-09 11-AM,LTCBTC,0.004969,0.004969,0.004914,0.004935,474.56,2.343
2020-05-09 10-AM,LTCBTC,0.004974,0.004985,0.004967,0.004969,312.06,1.552
2020-05-09 09-AM,LTCBTC,0.004974,0.004975,0.00496,0.004974,33.13,0.1647
2020-05-09 08-AM,LTCBTC,0.005004,0.005004,0.004968,0.004974,101.15,0.5043
2020-05-09 07-AM,LTCBTC,0.005014,0.005018,0.005,0.005004,86.46,0.4332
2020-05-09 06-AM,LTCBTC,0.004971,0.005033,0.004966,0.005014,611.58,3.063
2020-05-09 05-AM,LTCBTC,0.004915,0.004971,0.004895,0.004971,66.82,0.3284
2020-05-09 04-AM,LTCBTC,0.004916,0.00493,0.004907,0.004915,131.19,0.6455
2020-05-09 03-AM,LTCBTC,0.00489,0.00493,0.004877,0.004916,3273.49,16.13
2020-05-09 02-AM,LTCBTC,0.004906,0.004907,0.004884,0.00489,18.52,0.09067
2020-05-09 01-AM,LTCBTC,0.004871,0.004906,0.004871,0.004906,276.47,1.352
2020-05-09 12-AM,LTCBTC,0.004868,0.004882,0.00485,0.004871,149.66,0.7276
2020-05-08 11-PM,LTCBTC,0.004835,0.004917,0.004829,0.004868,1180.17,5.778
2020-05-08 10-PM,LTCBTC,0.004835,0.00485,0.004813,0.004835,41.15,0.1989
2020-05-08 09-PM,LTCBTC,0.004803,0.00484,0.004803,0.004835,2196.12,10.61
2020-05-08 08-PM,LTCBTC,0.0048,0.004807,0.004798,0.004803,117.32,0.5636
2020-05-08 07-PM,LTCBTC,0.004833,0.004833,0.004798,0.0048,25.8,0.1241
2020-05-08 06-PM,LTCBTC,0.004803,0.004834,0.004803,0.004833,592.73,2.862
2020-05-08 05-PM,LTCBTC,0.004827,0.004846,0.004803,0.004803,224.65,1.084
2020-05-08 04-PM,LTCBTC,0.004743,0.004846,0.004743,0.004827,321.33,1.545
2020-05-08 03-PM,LTCBTC,0.004729,0.004743,0.004722,0.004743,49.31,0.2333
2020-05-08 02-PM,LTCBTC,0.00475,0.00475,0.004717,0.004729,25.51,0.1206
2020-05-08 01-PM,LTCBTC,0.004756,0.004756,0.00474,0.00475,44.55,0.2114
2020-05-08 12-PM,LTCBTC,0.004744,0.004773,0.004742,0.004756,88.66,0.4208
2020-05-08 11-AM,LTCBTC,0.004737,0.004758,0.004721,0.004744,688.95,3.258
2020-05-08 10-AM,LTCBTC,0.004751,0.004763,0.004737,0.004737,91.45,0.4345
2020-05-08 09-AM,LTCBTC,0.004762,0.004764,0.004748,0.004751,20.95,0.09964
2020-05-08 08-AM,LTCBTC,0.004789,0.004789,0.004756,0.004762,7.994,0.03813
2020-05-08 07-AM,LTCBTC,0.00477,0.004799,0.00477,0.004789,675.69,3.241
2020-05-08 06-AM,LTCBTC,0.004758,0.00477,0.004732,0.00477,30.82,0.1466
2020-05-08 05-AM,LTCBTC,0.004774,0.004779,0.004738,0.004758,346.38,1.647
2020-05-08 04-AM,LTCBTC,0.004779,0.004779,0.004765,0.004774,25.11,0.1199
2020-05-08 03-AM,LTCBTC,0.004774,0.004798,0.004774,0.004779,27.95,0.1338
2020-05-08 02-AM,LTCBTC,0.004792,0.004806,0.004774,0.004774,72.71,0.3484
2020-05-08 01-AM,LTCBTC,0.004806,0.004806,0.004792,0.004792,7.931,0.03802
2020-05-08 12-AM,LTCBTC,0.004742,0.004806,0.004742,0.004806,369.9,1.768
2020-05-07 11-PM,LTCBTC,0.004804,0.004804,0.004733,0.004742,5969.4,28.44
2020-05-07 10-PM,LTCBTC,0.004799,0.004815,0.004774,0.004804,5318.04,25.47
2020-05-07 09-PM,LTCBTC,0.004863,0.004863,0.004792,0.004799,207.59,0.9971
2020-05-07 08-PM,LTCBTC,0.004818,0.004891,0.004818,0.004863,1314.45,6.39
2020-05-07 07-PM,LTCBTC,0.004889,0.004895,0.004797,0.004818,993.91,4.798
2020-05-07 06-PM,LTCBTC,0.004756,0.004906,0.004756,0.004889,1293.03,6.26
2020-05-07 05-PM,LTCBTC,0.004754,0.004758,0.00468,0.004756,759.5,3.591
2020-05-07 04-PM,LTCBTC,0.00483,0.00483,0.004748,0.004754,496.08,2.369
