Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2020-05-12 01-AM,ETHUSD,186.94,187.3,186.09,186.58,255.92,47879.85
2020-05-12 12-AM,ETHUSD,185.89,188.11,185.73,186.94,1983.75,370552.6
2020-05-11 11-PM,ETHUSD,185.84,186.87,184.01,185.89,2347.24,436147.0
2020-05-11 10-PM,ETHUSD,185.65,186.61,185.07,185.84,871.42,162123.97
2020-05-11 09-PM,ETHUSD,186.74,188.32,183.74,185.65,3138.02,583114.26
2020-05-11 08-PM,ETHUSD,187.48,188.26,185.23,186.74,2030.31,378478.72
2020-05-11 07-PM,ETHUSD,183.73,188.08,181.4,187.48,6782.26,1253694.06
2020-05-11 06-PM,ETHUSD,183.36,184.88,176.56,183.73,19608.85,3541848.01
2020-05-11 05-PM,ETHUSD,183.89,185.53,182.08,183.36,4900.4,900478.09
2020-05-11 04-PM,ETHUSD,188.42,189,177.39,183.89,14807.38,2702095.91
2020-05-11 03-PM,ETHUSD,187.91,189.4,187.31,188.42,2300.51,434314.85
2020-05-11 02-PM,ETHUSD,187.79,188.89,187.5,187.91,1364.15,256935.18
2020-05-11 01-PM,ETHUSD,187.45,188.83,186.32,187.79,3543.41,664025.61
2020-05-11 12-PM,ETHUSD,188.88,194.85,187.12,187.45,11261.7,2149040.14
2020-05-11 11-AM,ETHUSD,187.71,190.3,187.05,188.88,3046.6,577049.29
2020-05-11 10-AM,ETHUSD,183.77,189.27,183.77,187.71,1868.15,349442.05
2020-05-11 09-AM,ETHUSD,186.26,186.58,183.77,183.77,1440.52,266283.08
2020-05-11 08-AM,ETHUSD,187.39,187.84,184.48,186.26,1474.56,274134.51
2020-05-11 07-AM,ETHUSD,187.92,188.05,185.94,187.39,2748.96,513936.12
2020-05-11 06-AM,ETHUSD,188.03,188.76,187.75,187.92,523.02,98453.52
2020-05-11 05-AM,ETHUSD,187.04,188.45,187,188.03,715.16,134187.43
2020-05-11 04-AM,ETHUSD,188.77,189.07,187,187.04,2596.35,487761.09
2020-05-11 03-AM,ETHUSD,190.45,190.45,188.3,188.77,1031.06,195152.18
2020-05-11 02-AM,ETHUSD,188.9,190.61,188.6,190.45,686.19,130381.43
2020-05-11 01-AM,ETHUSD,190.08,190.29,188.52,188.9,804.33,152268.97
2020-05-11 12-AM,ETHUSD,188.02,191.46,187.72,190.08,3261.51,618607.81
2020-05-10 11-PM,ETHUSD,188.6,189.38,185.27,188.02,3864.27,724356.47
2020-05-10 10-PM,ETHUSD,189.31,189.9,188,188.6,2710.38,512199.73
2020-05-10 09-PM,ETHUSD,188.02,190.7,187.69,189.31,1861.6,351720.67
2020-05-10 08-PM,ETHUSD,185.96,189.72,185.63,188.02,5926.19,1117666.75
2020-05-10 07-PM,ETHUSD,184.38,186.65,184.38,185.96,1167.73,216760.0
2020-05-10 06-PM,ETHUSD,184.64,185.87,183.6,184.38,1130.8,209108.5
2020-05-10 05-PM,ETHUSD,180.41,185,180.41,184.64,9002.39,1655491.27
2020-05-10 04-PM,ETHUSD,188.24,189.53,180.41,180.41,13676.88,2516346.3
2020-05-10 03-PM,ETHUSD,187.7,189.23,187.25,188.24,4948.39,931644.08
2020-05-10 02-PM,ETHUSD,190.57,190.8,185.34,187.7,7149.26,1347359.27
2020-05-10 01-PM,ETHUSD,189.7,191.09,189.4,190.57,1783.11,339844.8
2020-05-10 12-PM,ETHUSD,189.83,190.31,189.08,189.7,2236.5,424645.07
2020-05-10 11-AM,ETHUSD,191.11,191.11,188.4,189.83,1618.01,306226.64
2020-05-10 10-AM,ETHUSD,190.69,191.42,189.17,191.11,1406.74,267283.97
2020-05-10 09-AM,ETHUSD,191.19,192.19,190.69,190.69,3212.23,615394.97
2020-05-10 08-AM,ETHUSD,191,193.38,190.44,191.19,3462.25,663938.92
2020-05-10 07-AM,ETHUSD,187.58,191.3,187.3,191,2115.08,401542.85
2020-05-10 06-AM,ETHUSD,188,188,186.78,187.58,1108.69,207887.86
2020-05-10 05-AM,ETHUSD,186.18,188.12,185.93,188,3055.25,571935.19
2020-05-10 04-AM,ETHUSD,186.04,186.18,183.2,186.18,9162.09,1690172.5
2020-05-10 03-AM,ETHUSD,187.79,187.79,182.6,186.04,10264.18,1908797.58
2020-05-10 02-AM,ETHUSD,190.58,190.58,187.53,187.79,5652.38,1067500.73
2020-05-10 01-AM,ETHUSD,192.67,193.03,188.55,190.58,9319.84,1781000.97
2020-05-10 12-AM,ETHUSD,210.03,210.03,180.4,192.67,48746.21,9451172.97
2020-05-09 11-PM,ETHUSD,211.06,211.75,209.63,210.03,2331.99,491476.2
2020-05-09 10-PM,ETHUSD,210.9,211.93,210.14,211.06,1009.4,212960.87
2020-05-09 09-PM,ETHUSD,212.07,212.07,210.79,210.9,1301.34,275435.71
2020-05-09 08-PM,ETHUSD,212.5,213.35,211.8,212.07,685.59,145804.36
2020-05-09 07-PM,ETHUSD,211.27,212.79,210.85,212.5,2809.71,595373.44
2020-05-09 06-PM,ETHUSD,212.88,212.88,211.19,211.27,623.17,132270.67
2020-05-09 05-PM,ETHUSD,213.04,213.45,212.33,212.88,775.13,164972.54
2020-05-09 04-PM,ETHUSD,213.01,214.43,212.98,213.04,1344.12,286958.64
2020-05-09 03-PM,ETHUSD,212.57,213.06,211.69,213.01,1491.95,317355.5
2020-05-09 02-PM,ETHUSD,212.02,213.34,211.62,212.57,965.65,205300.96
2020-05-09 01-PM,ETHUSD,210.61,212.19,210.1,212.02,824.24,174221.53
2020-05-09 12-PM,ETHUSD,210.26,211.18,209.79,210.61,1196.88,251643.46
2020-05-09 11-AM,ETHUSD,211.11,211.27,208.4,210.26,3030.49,635727.69
2020-05-09 10-AM,ETHUSD,211.84,211.87,210,211.11,1996.28,420910.66
2020-05-09 09-AM,ETHUSD,211.91,212.29,211.31,211.84,554.34,117458.78
2020-05-09 08-AM,ETHUSD,210.87,211.91,210.78,211.91,1120.87,236863.42
2020-05-09 07-AM,ETHUSD,212.23,212.92,210.2,210.87,3148.77,665865.15
2020-05-09 06-AM,ETHUSD,213.6,214.24,211.03,212.23,1167.56,248000.26
2020-05-09 05-AM,ETHUSD,212.85,213.83,211.63,213.6,613.91,130427.95
2020-05-09 04-AM,ETHUSD,214.09,214.33,212.35,212.85,1095.32,233680.43
2020-05-09 03-AM,ETHUSD,212.78,214.14,212.78,214.09,777.47,166183.12
2020-05-09 02-AM,ETHUSD,213.22,213.92,212.62,212.78,361.78,77117.7
2020-05-09 01-AM,ETHUSD,213.18,214.72,211.9,213.22,3100.66,659784.88
2020-05-09 12-AM,ETHUSD,211.62,213.37,209.55,213.18,2912.02,616620.62
2020-05-08 11-PM,ETHUSD,212.77,213.45,211.1,211.62,4625.4,982938.44
2020-05-08 10-PM,ETHUSD,215.02,215.23,212.5,212.77,3292.49,704559.98
2020-05-08 09-PM,ETHUSD,214.66,215.07,213.91,215.02,1309.87,281118.5
2020-05-08 08-PM,ETHUSD,213.27,214.7,212.61,214.66,1010.68,216058.61
2020-05-08 07-PM,ETHUSD,212.66,213.67,212.12,213.27,3775.96,804721.9
2020-05-08 06-PM,ETHUSD,214.2,215,212.25,212.66,2256.22,481809.66
2020-05-08 05-PM,ETHUSD,214.91,215.2,213.68,214.2,1711.09,366685.26
2020-05-08 04-PM,ETHUSD,211.61,215.19,210.94,214.91,3202.83,685429.48
2020-05-08 03-PM,ETHUSD,211.85,213.38,211.41,211.61,2762.79,587148.9
2020-05-08 02-PM,ETHUSD,210.95,213.06,210.7,211.85,1132.05,240355.09
2020-05-08 01-PM,ETHUSD,210,210.98,209.55,210.95,1064.45,223852.24
2020-05-08 12-PM,ETHUSD,211.6,211.6,209.61,210,630.31,132617.26
2020-05-08 11-AM,ETHUSD,212.15,212.35,211.36,211.6,708.79,150171.89
2020-05-08 10-AM,ETHUSD,210.08,212.15,209.77,212.15,1297.49,273994.55
2020-05-08 09-AM,ETHUSD,209.62,210.43,209.13,210.08,663.58,139375.37
2020-05-08 08-AM,ETHUSD,209.69,210.74,209.51,209.62,2855.32,599970.72
2020-05-08 07-AM,ETHUSD,208.08,210.1,207.55,209.69,1574.21,329089.99
2020-05-08 06-AM,ETHUSD,210.7,210.7,207.21,208.08,2658.07,554252.58
2020-05-08 05-AM,ETHUSD,212.57,212.57,208,210.7,4286.5,900946.36
2020-05-08 04-AM,ETHUSD,213.12,213.12,211.93,212.57,814.57,173141.64
2020-05-08 03-AM,ETHUSD,212.84,213.31,211.26,213.12,517.93,109867.68
2020-05-08 02-AM,ETHUSD,214.72,214.72,211.5,212.84,2448.05,521393.45
2020-05-08 01-AM,ETHUSD,216.23,217.08,213.82,214.72,2381.96,512314.35
2020-05-08 12-AM,ETHUSD,212.34,216.23,212.19,216.23,5809.87,1240331.02
2020-05-07 11-PM,ETHUSD,213,213.77,212.22,212.34,2170.41,462520.14
2020-05-07 10-PM,ETHUSD,212.62,213.76,212.01,213,3078.86,656103.72
2020-05-07 09-PM,ETHUSD,211.7,212.9,211.14,212.62,3997.31,846978.32
2020-05-07 08-PM,ETHUSD,213.02,214.26,210.53,211.7,3174.49,674543.49
2020-05-07 07-PM,ETHUSD,213.15,214.3,212.15,213.02,15506.08,3305627.27
2020-05-07 06-PM,ETHUSD,208.46,215.18,208.46,213.15,18600.63,3953891.74
2020-05-07 05-PM,ETHUSD,206.35,208.94,205.36,208.46,7601.35,1578474.06
2020-05-07 04-PM,ETHUSD,206.07,206.87,204.67,206.35,5811.11,1194920.38
2020-05-07 03-PM,ETHUSD,206.76,207.4,204.04,206.07,3010.0,620169.85
2020-05-07 02-PM,ETHUSD,206.5,207.32,206.32,206.76,2553.19,528262.85
2020-05-07 01-PM,ETHUSD,207.34,209.36,205.56,206.5,7852.24,1627692.32
2020-05-07 12-PM,ETHUSD,204.3,208,204.01,207.34,4145.02,855217.74
2020-05-07 11-AM,ETHUSD,204.3,204.77,203.47,204.3,1145.54,233882.62
2020-05-07 10-AM,ETHUSD,205.92,206.04,203.96,204.3,995.52,203874.02
2020-05-07 09-AM,ETHUSD,206,206.04,204.41,205.92,1092.72,224180.05
2020-05-07 08-AM,ETHUSD,205.11,206.46,204.32,206,988.78,202915.96
2020-05-07 07-AM,ETHUSD,203.44,205.11,203.29,205.11,706.93,144659.32
2020-05-07 06-AM,ETHUSD,204.88,205.39,203.05,203.44,1231.26,251962.97
2020-05-07 05-AM,ETHUSD,205.08,205.64,203.68,204.88,3003.91,615127.75
2020-05-07 04-AM,ETHUSD,206.05,207.1,204.61,205.08,1088.57,223813.21
