Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2020-05-12 01-AM,LTCBTC,0.00483,0.004831,0.004825,0.004825,5.034,0.0243
2020-05-12 12-AM,LTCBTC,0.004861,0.004861,0.004826,0.00483,15.96,0.07713
2020-05-11 11-PM,LTCBTC,0.004815,0.004861,0.004807,0.004861,279.39,1.349
2020-05-11 10-PM,LTCBTC,0.004795,0.004821,0.004795,0.004815,11.69,0.05628
2020-05-11 09-PM,LTCBTC,0.004804,0.004833,0.00479,0.004795,353.67,1.703
2020-05-11 08-PM,LTCBTC,0.004756,0.004811,0.004745,0.004804,118.55,0.5644
2020-05-11 07-PM,LTCBTC,0.004718,0.004792,0.004709,0.004756,499.3,2.375
2020-05-11 06-PM,LTCBTC,0.004784,0.004815,0.004718,0.004718,813.53,3.888
2020-05-11 05-PM,LTCBTC,0.004708,0.004784,0.004708,0.004784,122.04,0.5808
2020-05-11 04-PM,LTCBTC,0.004705,0.004759,0.004669,0.004708,901.39,4.243
2020-05-11 03-PM,LTCBTC,0.004703,0.004713,0.004686,0.004705,27.75,0.1304
2020-05-11 02-PM,LTCBTC,0.004732,0.004735,0.004699,0.004703,66.07,0.3108
2020-05-11 01-PM,LTCBTC,0.004726,0.004749,0.004702,0.004732,147.95,0.6987
2020-05-11 12-PM,LTCBTC,0.004722,0.004746,0.004667,0.004726,317.15,1.491
2020-05-11 11-AM,LTCBTC,0.004746,0.004746,0.004711,0.004722,181.86,0.8582
2020-05-11 10-AM,LTCBTC,0.004828,0.004828,0.004724,0.004746,162.61,0.7708
2020-05-11 09-AM,LTCBTC,0.004784,0.004828,0.004784,0.004828,11.2,0.05379
2020-05-11 08-AM,LTCBTC,0.004794,0.004794,0.004772,0.004784,34.44,0.1646
2020-05-11 07-AM,LTCBTC,0.004793,0.004794,0.004757,0.004794,302.08,1.442
2020-05-11 06-AM,LTCBTC,0.004819,0.004819,0.004793,0.004793,204.64,0.9814
2020-05-11 05-AM,LTCBTC,0.004815,0.004831,0.004811,0.004819,13.14,0.06325
2020-05-11 04-AM,LTCBTC,0.004817,0.004827,0.004815,0.004815,65.37,0.315
2020-05-11 03-AM,LTCBTC,0.004823,0.004832,0.004817,0.004817,13.71,0.06616
2020-05-11 02-AM,LTCBTC,0.004836,0.004836,0.004823,0.004823,36.82,0.1779
2020-05-11 01-AM,LTCBTC,0.004845,0.00485,0.004836,0.004836,17.39,0.08427
2020-05-11 12-AM,LTCBTC,0.004825,0.00486,0.004817,0.004845,43.45,0.2103
2020-05-10 11-PM,LTCBTC,0.004791,0.004842,0.004773,0.004825,255.65,1.234
