ID,specific_sheet_name,Year,quantity-type,quantity-value,quantity-units
1,consolidated balance sheets,2016,Total assets,1442,thousands
3,consolidated balance sheets,2015,Total assets,598819000,thousands
4,consolidated balance sheets,2016,Total Assets,2409819000,thousands
5,consolidated balance sheets,2015,Total Assets,15028258000,thousands
9,consolidated balance sheets,2016,TOTAL ASSETS,540778000,thousands
10,consolidated balance sheets,2015,Total assets,81421366,thousands
12,consolidated balance sheets,2015,Total Assets,243215000,thousands
16,consolidated balance sheets,2016,Total Assets,52154752,thousands
17,consolidated balance sheets,2016,Total Assets,6077,thousands
19,consolidated balance sheets,2016,TOTAL ASSETS,4044200,thousands
20,consolidated balance sheets,2015,Total Assets,6533,thousands
22,consolidated balance sheets,2015,Total assets,1669,thousands
27,consolidated balance sheets,2016,Total assets,3855,thousands
32,consolidated balance sheets,2015,Total assets,10612119000,thousands
35,consolidated balance sheets,2015,Total assets,161184,thousands
36,consolidated balance sheets,2015,Total assets,33285,thousands
42,consolidated balance sheets,2016,Total assets,171229000,thousands
44,consolidated balance sheets,2016,Total assets,136724000,thousands
45,consolidated balance sheets,2015,Total assets,443539000,thousands
47,consolidated balance sheets,2015,Total assets,71576,thousands
48,consolidated balance sheets,2015,Total Assets,506156000,thousands
51,consolidated balance sheets,2016,Total assets,632897000,thousands
52,consolidated balance sheets,2015,Total assets,8710602,thousands
54,consolidated balance sheets,2015,Total assets,9537840000,thousands
56,consolidated balance sheets,2016,Total assets,657440000,thousands
58,consolidated balance sheets,2016,Total assets,321686,thousands
59,consolidated balance sheets,2016,Total assets,14588,thousands
61,consolidated balance sheets,2015,TOTAL ASSETS,258811000,thousands
62,consolidated balance sheets,2016,TOTAL ASSETS,642623,thousands
63,consolidated balance sheets,2015,Total Assets,40157,thousands
64,consolidated balance sheets,2015,Total Assets,15028258000,thousands
68,consolidated balance sheets,2015,Total assets,31331608,thousands
70,consolidated balance sheets,2016,TOTAL ASSETS,77963000,thousands
