ID,specific_sheet_name,Year,quantity-type,quantity-value,quantity-units,FILING,FILETYPE,CIK,COMNAM,datadate,filingdate,NEG,POS,TWORDS,TONE,ACQ,LINK
3,consolidated balance sheets,2015,Total assets,598819000,thousands,3,10-K,3197,CECO ENVIRONMENTAL CORP,31DEC2015,23MAR2016,85,70,10683,-0.0014041,37,edgar/data/3197/0001564590-16-015157.txt
5,consolidated balance sheets,2015,Total Assets,15028258000,thousands,5,10-K,764622,PINNACLE WEST CAPITAL CORP,31DEC2015,19FEB2016,84,73,10543,-0.001043346,6,edgar/data/764622/0000764622-16-000087.txt
10,consolidated balance sheets,2015,Total assets,81421366,thousands,10,10-K,2098,ACME UNITED CORP,31DEC2015,11MAR2016,30,11,2960,-0.006418919,4,edgar/data/2098/0001026608-16-000091.txt
16,consolidated balance sheets,2016,Total Assets,52154752,thousands,16,10-K,353184,AIR T INC,31MAR2016,29JUN2016,65,44,7701,-0.002726919,19,edgar/data/353184/0001437749-16-034573.txt
19,consolidated balance sheets,2016,TOTAL ASSETS,4044200,thousands,19,10-K,98618,ALANCO TECHNOLOGIES INC,30JUN2016,30SEP2016,49,16,3660,-0.009016393,1,edgar/data/98618/0000098618-16-000031.txt
22,consolidated balance sheets,2015,Total assets,1669,thousands,22,10-K,3453,"Matson, Inc.",31DEC2015,26FEB2016,87,52,7429,-0.004711267,24,edgar/data/3453/0001104659-16-100342.txt
32,consolidated balance sheets,2015,Total assets,10612119000,thousands,32,10-K,1475922,"Primerica, Inc.",31DEC2015,25FEB2016,224,126,14896,-0.006578947,11,edgar/data/1475922/0001564590-16-013368.txt
36,consolidated balance sheets,2015,Total assets,33285,thousands,36,10-K,4969,AMERICAN EXPRESS CREDIT CORP,31DEC2015,14MAR2016,105,63,8272,-0.005077369,0,edgar/data/4969/0001193125-16-503634.txt
44,consolidated balance sheets,2016,Total assets,136724000,thousands,44,10-K,713425,AMERICAN SOFTWARE INC,30APR2016,14JUL2016,679,417,28443,-0.009211405,11,edgar/data/713425/0001193125-16-648270.txt
47,consolidated balance sheets,2015,Total assets,71576,thousands,47,10-K,318154,AMGEN INC,31DEC2015,16FEB2016,117,103,11896,-0.001176866,10,edgar/data/318154/0000318154-16-000031.txt
51,consolidated balance sheets,2016,Total assets,632897000,thousands,51,10-K,6284,ANALOGIC CORP,31JUL2016,27SEP2016,119,67,9460,-0.005496829,15,edgar/data/6284/0001193125-16-721523.txt
54,consolidated balance sheets,2015,Total assets,9537840000,thousands,54,10-K,1163739,NABORS INDUSTRIES LTD,31DEC2015,26FEB2016,13,20,1497,0.0046760187,9,edgar/data/1163739/0001104659-16-100551.txt
58,consolidated balance sheets,2016,Total assets,321686,thousands,58,10-K,320193,APPLE INC,30SEP2016,26OCT2016,133,59,9143,-0.008093624,0,edgar/data/320193/0001628280-16-020309.txt
61,consolidated balance sheets,2015,TOTAL ASSETS,258811000,thousands,61,10-K,7039,TRECORA RESOURCES,31DEC2015,11MAR2016,64,49,7914,-0.001895375,28,edgar/data/7039/0000007039-16-000034.txt
63,consolidated balance sheets,2015,Total Assets,40157,thousands,63,10-K,7084,ARCHER DANIELS MIDLAND CO,31DEC2015,19FEB2016,183,134,11760,-0.004166667,24,edgar/data/7084/0000007084-16-000046.txt
68,consolidated balance sheets,2015,Total assets,31331608,thousands,68,10-K,7623,ARTS WAY MANUFACTURING CO INC,30NOV2015,03FEB2016,26,13,2562,-0.005074161,2,edgar/data/7623/0001437749-16-024657.txt
73,consolidated balance sheets,2015,Total assets,14754,thousands,73,10-K,1004155,AGL RESOURCES INC,31DEC2015,11FEB2016,171,132,16688,-0.002337009,19,edgar/data/1004155/0001004155-16-000098.txt
76,consolidated balance sheets,2016,Total assets,5515,thousands,76,10-K,769397,AUTODESK INC,31JAN2016,23MAR2016,183,107,16174,-0.004698899,19,edgar/data/769397/0000769397-16-000067.txt
80,consolidated balance sheets,2016,Total assets,11239805000,thousands,80,10-K,8858,AVNET INC,31JUL2016,12AUG2016,135,62,8256,-0.008842054,9,edgar/data/8858/0000008858-16-000038.txt
84,consolidated balance sheets,2015,Total assets,355480000,thousands,84,10-K,9092,BADGER METER INC,31DEC2015,26FEB2016,55,46,6143,-0.001465082,7,edgar/data/9092/0000009092-16-000015.txt
86,consolidated balance sheets,2015,Total assets,881223000,thousands,86,10-K,9326,BALCHEM CORP,31DEC2015,29FEB2016,72,47,6098,-0.004099705,18,edgar/data/9326/0001140361-16-055524.txt
92,consolidated balance sheets,2015,Total assets,4942,thousands,92,10-K,9892,BARD C R INC /NJ/,31DEC2015,12FEB2016,222,74,11204,-0.013209568,30,edgar/data/9892/0001193125-16-461749.txt
95,consolidated balance sheets,2015,TOTAL ASSETS,264944000,thousands,95,10-K,10254,EARTHSTONE ENERGY INC,31DEC2015,11MAR2016,135,69,9669,-0.006825939,9,edgar/data/10254/0001564590-16-014606.txt
100,consolidated balance sheets,2016,Total Assets,25586,thousands,100,10-K,10795,BECTON DICKINSON & CO,30SEP2016,23NOV2016,163,94,11002,-0.006271587,27,edgar/data/10795/0001628280-16-021658.txt
104,consolidated balance sheets,2015,Total assets,552257,thousands,104,10-K,1067983,BERKSHIRE HATHAWAY INC,31DEC2015,29FEB2016,680,145,19510,-0.027421835,13,edgar/data/1067983/0001193125-16-483023.txt
107,consolidated balance sheets,2016,Total assets,242000,thousands,107,10-K,720762,NON INVASIVE MONITORING SYSTEMS INC /FL/,31JUL2016,25OCT2016,29,12,2814,-0.006041222,0,edgar/data/720762/0001493152-16-014232.txt
116,consolidated balance sheets,2015,Total assets,2382,thousands,116,10-K,13239,HEXION INC.,31DEC2015,14MAR2016,240,138,14009,-0.007281034,11,edgar/data/13239/0000013239-16-000082.txt
120,consolidated balance sheets,2015,Total assets,75302000,thousands,120,10-K,14177,BRIDGFORD FOODS CORP,31OCT2015,15JAN2016,38,38,3122,0,1,edgar/data/14177/0001437749-16-023725.txt
123,consolidated balance sheets,2016,Total assets,4183,thousands,123,10-K,14693,BROWN FORMAN CORP,30APR2016,16JUN2016,153,168,12292,0.0012203059,4,edgar/data/14693/0000014693-16-000160.txt
127,consolidated balance sheets,2016,Total Assets,35297419,thousands,127,10-K,1518487,China Xuefeng Environmental Engineering Inc.,31MAY2016,30AUG2016,31,50,5929,0.0032045876,7,edgar/data/1518487/0001096906-16-001889.txt
133,consolidated balance sheets,2015,Total assets,339097000,thousands,133,10-K,18396,CDI CORP,31DEC2015,03MAR2016,160,31,8017,-0.016090807,15,edgar/data/18396/0000018396-16-000133.txt
137,consolidated balance sheets,2015,Total Assets,35039,thousands,137,10-K,277948,CSX CORP,31DEC2015,10FEB2016,168,149,11739,-0.001618537,0,edgar/data/277948/0000277948-16-000046.txt
140,consolidated balance sheets,2015,Total Assets,42806204,thousands,140,10-K,766792,CVD EQUIPMENT CORP,31DEC2015,30MAR2016,37,19,2831,-0.006358177,0,edgar/data/766792/0001437749-16-028683.txt
142,consolidated balance sheets,2016,Total assets,3987341000,thousands,142,10-K,16058,CACI INTERNATIONAL INC /DE/,30JUN2016,24AUG2016,31,30,5806,-0.000172236,16,edgar/data/16058/0001564590-16-024672.txt
148,consolidated balance sheets,2016,Total assets,7837,thousands,148,10-K,16732,CAMPBELL SOUP CO,31JUL2016,22SEP2016,186,127,10973,-0.005376834,12,edgar/data/16732/0000016732-16-000146.txt
151,consolidated balance sheets,2015,Total assets,22681000,thousands,151,10-K,202947,CAPITAL PROPERTIES INC /RI/,31DEC2015,15MAR2016,12,15,2523,0.0011890606,0,edgar/data/202947/0001193125-16-505226.txt
154,consolidated balance sheets,2015,Total Assets,121156,thousands,154,10-K,17797,"DUKE ENERGY PROGRESS, LLC.",31DEC2015,25FEB2016,509,299,29457,-0.007129036,46,edgar/data/1094093/0001326160-16-000221.txt
156,consolidated balance sheets,2016,Total assets,2726148000,thousands,156,10-K,726958,CASEYS GENERAL STORES INC,30APR2016,27JUN2016,80,44,6486,-0.005550416,4,edgar/data/726958/0000726958-16-000258.txt
163,consolidated balance sheets,2015,Total assets,4323354000,thousands,163,10-K,1089819,CLECO CORP,31DEC2015,26FEB2016,178,94,16652,-0.005044439,30,edgar/data/1089819/0001089819-16-000071.txt
165,consolidated balance sheets,2015,Total Assets,964325000,thousands,165,10-K,320431,"UNIFIED GROCERS, INC.",31OCT2015,01JUN2016,114,27,5987,-0.014531485,1,edgar/data/320431/0001193125-16-610093.txt
167,consolidated balance sheets,2015,Total Assets,2069060000,thousands,167,10-K,19411,MAGELLAN HEALTH INC,31DEC2015,29FEB2016,155,45,9362,-0.011749626,11,edgar/data/19411/0001047469-16-010571.txt
169,consolidated balance sheets,2015,TOTAL ASSETS,657870000,thousands,169,10-K,215419,CHECKPOINT SYSTEMS INC,31DEC2015,03MAR2016,359,197,15303,-0.01058616,14,edgar/data/215419/0000215419-16-000143.txt
178,consolidated balance sheets,2015,Total assets,2277444000,thousands,178,10-K,20212,CHURCHILL DOWNS Inc,31DEC2015,24FEB2016,152,67,11062,-0.007683963,39,edgar/data/20212/0000020212-16-000065.txt
180,consolidated balance sheets,2015,Total Assets,121156,thousands,180,10-K,17797,"DUKE ENERGY PROGRESS, LLC.",31DEC2015,25FEB2016,509,299,29457,-0.007129036,46,edgar/data/20290/0001326160-16-000221.txt
183,consolidated balance sheets,2015,Total assets,1818456000,thousands,183,10-K,20740,CLARCOR INC.,30NOV2015,22JAN2016,145,86,15106,-0.003905733,66,edgar/data/20740/0000020740-16-000123.txt
187,consolidated balance sheets,2016,Total assets,1850816000,thousands,187,10-K,317540,COCA COLA BOTTLING CO CONSOLIDATED /DE/,31JAN2016,18MAR2016,129,114,17456,-0.000859303,26,edgar/data/317540/0001564590-16-015048.txt
190,consolidated balance sheets,2016,Total assets,1161148000,thousands,190,10-K,21510,COHERENT INC,31OCT2016,29NOV2016,125,99,13207,-0.001968653,31,edgar/data/21510/0000021510-16-000074.txt
194,consolidated balance sheets,2016,Total assets,262819000,thousands,194,10-K,830524,CHASE CORP,31AUG2016,14NOV2016,90,76,9573,-0.001462446,25,edgar/data/830524/0001558370-16-010069.txt
201,consolidated balance sheets,2016,Total assets,3130869000,thousands,201,10-K,22444,COMMERCIAL METALS CO,31AUG2016,31OCT2016,263,112,14859,-0.010162191,3,edgar/data/22444/0000022444-16-000059.txt
203,consolidated balance sheets,2015,Total assets exclusive of assets under vehicle programs,5918,thousands,203,10-K,723612,"AVIS BUDGET GROUP, INC.",31DEC2015,24FEB2016,80,38,6800,-0.006176471,10,edgar/data/723612/0000723612-16-000244.txt
208,consolidated balance sheets,2016,Total assets,13390,thousands,208,10-K,23217,CONAGRA FOODS INC /DE/,31MAY2016,15JUL2016,246,111,14523,-0.0092956,4,edgar/data/23217/0001628280-16-017613.txt
213,consolidated balance sheets,2015,Total assets,1110204000,thousands,213,10-K,733590,TRANSCONTINENTAL REALTY INVESTORS INC,31DEC2015,30MAR2016,128,48,7480,-0.010695187,8,edgar/data/733590/0001387131-16-004817.txt
219,consolidated balance sheets,2015,Total assets,14919808000,thousands,219,10-K,732834,"CONTINENTAL RESOURCES, INC",31DEC2015,24FEB2016,212,75,13908,-0.009850446,8,edgar/data/732834/0000732834-16-000018.txt
222,consolidated balance sheets,2015,Total assets,12276,thousands,222,10-K,24545,MOLSON COORS BREWING CO,31DEC2015,11FEB2016,66,50,8732,-0.001832341,11,edgar/data/24545/0000024545-16-000054.txt
224,consolidated balance sheets,2016,Total assets,107004474,thousands,224,10-K,1582244,Corning Natural Gas Holding Corp,30SEP2016,29DEC2016,37,53,7030,0.0022759602,11,edgar/data/1582244/0001582244-16-000187.txt
229,consolidated balance sheets,2015,Total assets,12055,thousands,229,10-K,25598,SPRINGLEAF FINANCE CORP,31DEC2015,29FEB2016,220,82,13977,-0.009873363,16,edgar/data/25598/0000025598-16-000043.txt
231,consolidated balance sheets,2015,Total Assets,2366,thousands,231,10-K,1091862,Chemtura CORP,31DEC2015,22FEB2016,247,174,16052,-0.00454772,4,edgar/data/1091862/0001091862-16-000020.txt
237,consolidated balance sheets,2015,Total assets,15134,thousands,237,10-K,26172,CUMMINS INC,31DEC2015,12FEB2016,225,114,15615,-0.007108549,16,edgar/data/26172/0000026172-16-000033.txt
241,consolidated balance sheets,2016,Total assets,4108720000,thousands,241,10-K,30697,Wendy's Co,31JAN2016,03MAR2016,186,72,13853,-0.008229264,1,edgar/data/30697/0000030697-16-000011.txt
247,consolidated balance sheets,2015,Total assets,247787000,thousands,247,10-K,799165,DAWSON GEOPHYSICAL CO,31DEC2015,16MAR2016,95,37,6976,-0.00831422,30,edgar/data/799165/0001047469-16-011203.txt
252,consolidated balance sheets,2015,Total assets,53134,thousands,252,10-K,27904,DELTA AIR LINES INC /DE/,31DEC2015,05FEB2016,127,148,11828,0.0017754481,1,edgar/data/27904/0000027904-16-000018.txt
254,consolidated balance sheets,2015,Total assets,1844402000,thousands,254,10-K,27996,DELUXE CORP,31DEC2015,19FEB2016,178,121,14244,-0.004001685,23,edgar/data/27996/0000027996-16-000050.txt
259,consolidated balance sheets,2015,Total assets,2249,thousands,259,10-K,28823,DIEBOLD INC,31DEC2015,29FEB2016,285,135,14424,-0.010399334,17,edgar/data/28823/0000028823-16-000157.txt
261,consolidated balance sheets,2016,Total assets,3865625000,thousands,261,10-K,28917,DILLARDS INC,31JAN2016,23MAR2016,110,65,7514,-0.005988821,2,edgar/data/28917/0000028917-16-000262.txt
264,consolidated balance sheets,2015,TOTAL ASSETS,298218000,thousands,264,10-K,29332,DIXIE GROUP INC,31DEC2015,09MAR2016,123,44,5566,-0.014193317,15,edgar/data/29332/0000029332-16-000142.txt
268,consolidated balance sheets,2015,Total assets,7279,thousands,268,10-K,29669,RR Donnelley & Sons Co,31DEC2015,25FEB2016,424,133,18912,-0.015387056,46,edgar/data/29669/0001564590-16-013400.txt
273,consolidated balance sheets,2016,Total assets,5506,thousands,273,10-K,1498301,"Ascena Retail Group, Inc.",31JUL2016,19SEP2016,206,88,13569,-0.008696293,39,edgar/data/1498301/0001498301-16-000157.txt
276,consolidated balance sheets,2015,Total Assets,121156,thousands,276,10-K,17797,"DUKE ENERGY PROGRESS, LLC.",31DEC2015,25FEB2016,509,299,29457,-0.007129036,46,edgar/data/1326160/0001326160-16-000221.txt
279,consolidated balance sheets,2016,Total assets,1719716000,thousands,279,10-K,67215,DYCOM INDUSTRIES INC,31JUL2016,31AUG2016,183,87,14180,-0.006770099,13,edgar/data/67215/0000067215-16-000096.txt
283,consolidated balance sheets,2015,Total assets,121729713,thousands,283,10-K,350846,SUPREME INDUSTRIES INC,31DEC2015,26FEB2016,93,52,5805,-0.007062877,0,edgar/data/350846/0001104659-16-100382.txt
