Pos,Neg,Neu,Total,Price,Year,Month,Day
4360,1098,9633,15091,966.19,2017,2,1
4315,1000,10148,15463,985.97,2017,2,2
3976,1055,10265,15296,1005.7,2017,2,3
3489,1107,6904,11500,1018.8,2017,2,4
4962,1139,7137,13238,1030.1,2017,2,5
5403,1211,8578,15192,1007.5,2017,2,6
6582,1860,9939,18381,1022.3,2017,2,7
5711,1482,11091,18284,1056.4,2017,2,8
5164,2298,11952,19414,1053.4,2017,2,9
0,0,0,0,988.0,2017,2,10
4234,1005,8441,13680,993.5,2017,2,11
4544,874,8742,14160,1000.5,2017,2,12
5258,1336,10678,17272,996.46,2017,2,13
5012,1127,9949,16088,996.83,2017,2,14
4679,1577,9203,15459,1013.8,2017,2,15
5610,1561,9686,16857,1013.9,2017,2,16
4387,1092,9259,14738,1038.5,2017,2,17
3828,984,7782,12594,1056.2,2017,2,18
3910,938,7523,12371,1059.8,2017,2,19
5464,1165,9585,16214,1056.2,2017,2,20
5781,1209,10289,17279,1091.2,2017,2,21
5700,1319,9836,16855,1129.6,2017,2,22
7655,1286,10471,19412,1125.5,2017,2,23
7530,1215,11686,20431,1189.8,2017,2,24
5219,1181,7974,14374,1185.4,2017,2,25
4046,1254,7174,12474,1153.0,2017,2,26
4724,1757,9476,15957,1178.3,2017,2,27
0,0,0,0,1195.5,2017,2,28
